,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,251439,248004,249815,225883,194299,160108,135544,131943,130541,135340,157700,201705,223189,214759,231272,243764,217155,215838,236199,237190,225108,234891,247753,274132,0.965
1,b,514,303,316,398,722,1404,3640,6766,6798,9317,7562,8551,91920,146545,130541,126914,67796,5204,5199,4997,5798,3983,1924,1108,0.965
2,c,162115,102016,69287,68549,77459,135589,199068,303755,390480,514614,709916,601137,669339,907382,854414,751360,662469,550171,578527,855552,830061,1093834,534687,437825,0.995
3,d,5409753,1846649,880987,445768,884612,3781375,16788274,57737104,100923759,145172989,154587898,131092536,135745701,127956615,111157062,93584772,77704163,69146669,70173759,95230168,133878287,132326258,79308587,24579604,0.955
4,e,34385717559,36717578787,38755733228,39359439407,32386472554,25978318526,20726796049,18650444296,17112642778,17570041574,17712216904,18790203058,22257705582,30447449774,42368521919,52016798253,56947673731,57369584548,55978608443,56895181354,55066752222,50772943714,44812594448,36210438804,0.915
5,f,7936052,4169729,2304898,1628147,1177477,1605105,4259263,11550475,24343949,39307383,52876986,46488891,63135731,76089072,71286801,59348726,48141602,40631807,41303354,58306105,83934824,78819287,56008022,24030022,0.95
6,g,1,1,0,0,12,0,1,1,1,1,2,4,4,2,2,4,3,2,2,1,1,1,1,1,0.965
7,h,6696,3229,1896,1953,3894,12537,36636,89538,146896,191565,246092,275349,288388,277508,265044,285028,261688,194204,175269,165645,177149,140036,70611,26279,0.955
8,i,3682730,1499842,1030667,858639,894087,1186961,2232985,6867812,14989670,22756895,28030762,26304478,24710946,31805433,37037528,37486514,32438230,22761052,15085010,13663572,18823380,27067670,24683346,9694443,0.91
9,j,40456949,63325775,87420928,119553809,173742708,137604446,148828339,168792442,190297856,208502418,164539292,157522578,260171288,378548203,510247864,487908008,162436903,52076435,15544274,5032245,2404725,2523927,6242219,19346837,0.935
10,k,34437,55161,68028,78923,70378,109635,132944,142769,132499,129055,106019,105100,121505,134269,178943,158944,97610,45059,20381,9492,4929,4138,5474,10268,0.975
11,l,7,6,5,4,17,22,33,88,100,124,174,297,145,117,103,131,117,127,109,138,161,102,52,28,0.955
12,m,416,657,1051,1094,1040,1140,1191,1979,2102,1684,1465,1526,1408,1743,1893,2541,1916,1705,1263,854,815,291,417,5751,0.935
13,n,20232,6311,4071,1924,1985,5529,33534,163370,519406,601800,919513,640146,780541,654304,506177,455809,371040,332157,425098,577182,1030461,1029629,698556,209275,0.91
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985
15,p,13321930,9627595,7043029,3987380,1666949,954963,942429,2379371,3980568,5006889,4521562,6961447,12651919,17993196,20475228,21104414,15982301,19779655,23438009,25281626,27052569,26070476,21925153,14621975,0.975
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
17,r,3122432,1351626,981907,1343439,2894707,7458301,19712366,42113683,62910263,77564001,85810180,95910635,93515175,89978885,79021517,65646826,60480712,64642744,69597784,79554482,85646282,70520265,27989582,9320240,0.99
18,s,25908,24624,22652,31154,9271,9854,26888,87728,161781,229365,280673,268099,257114,283325,270561,291998,292400,269235,286825,344336,470108,467562,308568,126101,0.99
19,t,191787,225645,134732,131551,99968,103709,164837,376767,599183,701052,679953,701572,1091266,1214949,1247171,1089696,786992,675365,495709,353974,418546,350697,413837,286958,0.98
20,u,259,170,144,170,284,602,1932,8489,10372,9369,8543,6996,6585,5636,4462,3546,2988,3091,3156,3484,4829,3775,1537,538,0.92
21,v,356,1753,6766,12513,16558,11497,9761,11521,15010,16815,13175,6366,5923,9621,17205,19833,16639,5388,1640,418,127,37,42,107,0.975
22,w,55425,59885,55338,73847,89206,55467,98686,60281,63429,76821,53898,120471,65623,86873,184717,117947,89087,70349,45952,34374,70583,28142,22539,38061,0.96
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
25,z,170537,537756,1502360,2441534,2928692,2384080,3136903,3813852,3906997,4022089,3297097,2141019,2417312,3637812,5244432,6535737,6347457,3564138,1552549,568602,208750,110975,65736,79075,0.94
