,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,194363,140340,102771,98259,100506,114222,135904,159569,190232,212528,235315,265889,287511,302829,304639,332827,321547,346245,362365,380112,382870,381232,333723,264045,0.965
1,b,658,342,180,169,351,809,2551,5824,8975,11656,8616,9667,10636,12306,12543,12396,13423,12119,11778,15103,11517,7337,3329,1014,0.965
2,c,176613,145674,139811,104357,106570,137394,235453,608382,1007447,1456137,1727921,1682834,1955511,1906907,2417391,2670051,3065605,2607622,2716681,2554688,2098836,1426121,1018693,408971,0.995
3,d,5422035,2423637,1063235,428325,639482,3537861,21334623,94570407,174314726,262176622,281322164,281891245,307088063,361350398,352822667,311526098,255881153,228082231,240320236,355908998,480319613,276850352,84287618,16359305,0.955
4,e,49332185557,55045970177,60533060987,57239382309,45321125596,32217967601,22441046296,19948198314,18524102094,19686407923,21287120911,23637844283,31714080783,45013285657,66362577749,83582529676,91422104088,92143299742,95485986593,96312964951,95553587791,94101716612,77912450275,57721602928,0.915
5,f,7870410,3008704,1752083,1150792,944513,2060619,6712647,20664032,53254550,81106256,109786359,88360957,125047606,157398776,166895493,166332138,154792650,150570405,149587161,167529687,210905730,168805302,77067771,24369820,0.95
6,g,8,9,0,0,0,0,0,0,2,2,3,3,4,4,5,7,7,7,10,8,7,9,7,16,0.965
7,h,7970,2435,1169,1138,2192,9457,33070,102673,173798,238234,283094,294966,334400,351273,369687,420473,438741,433907,451392,505809,486981,307416,110953,31912,0.955
8,i,4976553,2555196,2060605,1671973,1742679,2312514,4089036,10383490,21899532,32055908,39974654,41895962,44762988,74098864,96150694,90263830,71014628,51853870,38118267,36105762,61132888,57435060,31293157,10812064,0.91
9,j,36332482,58352678,83765934,112233307,174664789,128154961,129312329,148405997,167233424,162482087,132749255,165669217,250575293,330471696,335704678,255689926,108669497,29834512,8345733,2964081,1401150,1822552,6398989,19233267,0.935
10,k,21771,42185,55602,88410,90286,144434,162637,165812,150121,168287,126970,135256,225580,236646,255882,329066,236639,110221,45863,19426,9423,4492,7072,14953,0.975
11,l,220,49,3,2,4,23,236,498,736,668,772,913,893,1054,1169,1722,5510,2077,2688,2445,1535,535,142,76,0.955
12,m,1801,1448,922,953,1285,3346,6254,6625,3677,3202,2245,2518,3495,4346,5098,4834,3837,4044,1784,1452,1174,1218,1029,770,0.935
13,n,24538,6371,2563,1281,1136,3630,26046,175200,725172,996931,1260185,1160665,1536480,1666542,1331767,1089417,846116,810667,1016776,1300835,1730942,1316947,468905,108388,0.91
14,o,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0.985
15,p,25332286,18626370,12921052,6608372,2473243,1214160,1338202,2788072,4209579,6488628,10109792,13203430,22225085,33300507,47752489,56905485,48793680,63174405,84565493,98190306,98129267,73179123,48643670,31997167,0.975
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
17,r,2588557,1503707,1291148,1949892,5387778,14706588,37531041,73446180,104910871,128512948,139120367,156253881,185007359,193526331,210234474,201593011,200644792,235331102,267976102,269869237,200463558,100944487,30145010,7678254,0.99
18,s,32681,16700,7590,6299,7045,23401,74606,321544,663864,897225,760993,821498,1086744,984621,942521,951047,806722,1036648,1009228,1227135,1182816,806221,301868,80530,0.99
19,t,52907,29076,23163,34490,52500,103574,216483,557085,858401,1056359,874947,950513,1036145,1229741,1574362,1808649,1778143,1922353,2141193,2134977,1677144,816316,396878,129490,0.98
20,u,1163,632,218,171,627,1959,15009,43386,59740,56562,57774,50059,46858,46946,56576,71448,68835,83194,103344,103282,64201,27562,6539,1410,0.92
21,v,667,2847,10021,17864,21273,14036,10489,12355,18361,20198,13979,7799,8675,37810,55885,56675,32407,10708,2521,639,364,157,141,299,0.975
22,w,239,169,96,122,130,1254,16685,20986,5061,3589,1359,1375,15144,3834,2299,2341,2942,3544,1744,1292,536,483,382,258,0.96
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.9
25,z,212036,674966,1844141,2901982,3725550,2698872,3411670,4048236,4028682,4369641,3931900,3018752,4062892,6716144,9792685,11441318,8261383,3837627,1405064,535960,291902,327197,199134,242650,0.94
