,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,198233,139662,106655,94687,94617,107125,129725,157863,193314,226696,238828,278195,291403,300083,307820,308438,295032,320505,344949,352521,359268,347977,325618,258687,0.965
1,b,536,323,331,303,709,1131,2626,5202,8773,11760,11887,9553,12986,19260,27961,22038,13338,13051,14111,15316,10651,6881,2401,852,0.965
2,c,258358,215000,136690,153564,150451,218431,497447,748146,1226109,1757200,1950043,1844643,1816081,1888861,2450660,2486099,2400791,2281240,2411470,2606758,2298705,1588376,934936,467013,0.995
3,d,3079529,1003432,557222,396968,824503,3522445,19265841,79219238,140717617,203607677,212449540,217401629,237971364,281491678,265026335,219617490,175238828,154472457,184283455,273095438,323673788,210757819,87476751,15506823,0.955
4,e,53400641978,54118213765,59238137325,54481370662,42982562232,31791037295,23240904055,20183179223,18117096879,19238847063,20543069915,23333640913,31141447917,45808070319,69737022208,85795623646,91649802390,91005388819,95113762843,95959037736,89758571329,90674916292,77668467863,55333140468,0.915
5,f,6782844,2726410,1625005,1189037,1291866,2419429,7726631,23138133,53333187,69949988,89825377,70470865,95095961,114416518,124673318,124899818,112500077,134335874,142291657,136998610,182885686,166419174,71635597,20395956,0.95
6,g,0,0,0,0,1,2,0,1,2,7,14,10,23,13,20,8,9,11,9,6,3,3,3,2,0.965
7,h,5303,2406,1289,1629,4436,18949,53194,166355,231082,374721,393972,366012,429473,504063,529779,492299,610148,559649,618242,630023,523959,298682,100845,21311,0.955
8,i,3385654,1966464,1540571,1306718,1632838,2140800,4248324,10958076,22505287,29492898,35599120,35362233,38191042,61153991,82161076,76468836,64579749,47348254,35617350,33141233,54922085,65110126,36985309,10470028,0.91
9,j,39002926,73629406,99905715,121403438,146807847,153467251,160274580,164510584,192538366,200944383,200953110,265780592,451472071,495095392,474520258,337895792,170937582,68708249,22621770,7806409,3308225,3287177,7586781,21912237,0.935
10,k,18723,44566,63841,86493,91959,166961,188939,190120,199694,192462,186501,185181,245999,295327,292361,388903,250545,134707,51168,20120,7301,3750,7167,10759,0.975
11,l,19,10,7,11,25,106,475,955,1073,1125,1229,975,1180,962,1018,741,847,1109,1273,1406,1050,402,102,28,0.955
12,m,478,719,892,1088,1713,1539,1508,2153,2868,3393,5455,3497,4077,4706,4950,4287,2953,2801,2042,1939,1106,1055,1007,850,0.935
13,n,17572,5495,2632,1916,2121,5837,34476,200784,700236,908336,1096239,965405,1146174,1100189,1026707,818056,662336,679438,934726,1388841,1820577,1594630,553624,101955,0.91
14,o,0,0,0,0,0,0,0,0,0,3,33,47,24,20,22,18,37,111,39,14,5,1,0,0,0.985
15,p,22292484,17156433,10567983,4889390,2658621,789087,681419,1089519,2637566,5664261,11140234,15836976,25694229,39227525,51270688,51737588,48551851,66443433,76219725,80161573,80513370,67798464,51381783,34996720,0.975
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
17,r,4065685,2023514,1514255,1864119,3838336,8159067,20744460,43275968,71964583,106763464,129719216,144658946,158501716,173691910,179149591,198471809,215589370,242575657,262990994,260982579,208958938,112303125,38156134,10766320,0.99
18,s,28294,12843,8081,6168,7592,18765,65862,314222,613410,900387,794937,852914,1031517,944344,844438,753436,752949,845308,1002729,1230023,1134369,856612,322686,87280,0.99
19,t,44165,22427,21241,29899,45071,106894,249710,606633,881124,1052742,1010208,1067938,1117735,1346924,1733359,1974792,1874889,1912781,2078840,1998678,1576167,1039508,471350,119273,0.98
20,u,24592,23374,18230,15520,18682,25303,25331,38062,68493,99528,98310,109579,103701,97426,95666,79886,30758,38493,41785,48386,32770,15774,4136,880,0.92
21,v,368,1667,5740,12267,16632,11793,12122,11739,13818,15623,13678,8754,9719,20881,48282,42004,22682,7990,1918,405,129,73,66,141,0.975
22,w,154,150,192,210,171,202,229,316,1097,551,2329,1843,2454,2530,2744,2633,2441,2805,2785,2398,716,1358,936,272,0.96
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
25,z,215391,630945,1737425,2982219,4557709,2798842,3677566,4169229,4325432,4697725,4334077,3393571,4471950,7086760,10333137,10940515,8363394,3977374,1515667,554233,246678,151665,95986,101176,0.94
