,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,208764,171978,134809,115585,106566,99030,105165,127358,157235,170679,176651,216937,241709,267851,254605,251318,244884,247309,246833,258724,264799,270432,276643,255251,0.965
1,b,370,342,360,396,367,1643,4494,7559,10308,13017,7349,6990,4804,8185,14953,4903,5286,6602,9086,10337,6867,3323,1314,447,0.965
2,c,867449,628677,439643,420946,626272,800581,1284161,1740875,2217645,2465214,2102304,1429035,1514880,1790958,2823952,1856609,1741434,1753078,2265164,2352767,1965280,1783078,963067,662449,0.995
3,d,5281564,1840068,742629,475662,698418,4067942,21154563,75223846,127541199,182061924,185269512,161267416,155504618,164136358,143604431,116009768,108046047,102689232,104699887,150548806,227551498,232569753,123697090,37742457,0.955
4,e,38269436828,38773376628,44663862256,44980947600,37246834050,26220184989,20664924162,18723700295,16882842994,17283168655,18268239551,19183928185,25163653306,35851787528,48216086882,58835535436,63588254764,63214013544,63923460004,62252607108,60111306164,57746722483,49563209015,38732391080,0.915
5,f,8439488,3436220,1981012,1409041,1079823,2104478,6710931,18209331,41029868,56162128,69570329,53121926,70700394,93763532,99366710,87919500,73483416,66782612,70928768,76607201,102610576,96042664,55547142,21050198,0.95
6,g,108,134,115,397,533,34,95,99,85,100,15,9,9,25,56,6,9,18,24,27,11,5,5,3,0.965
7,h,11995,6703,6842,5768,10606,30057,101033,225837,300244,344241,282698,310785,300736,362349,525420,361017,355240,312240,296137,382863,367698,216765,103773,37947,0.955
8,i,4705825,2365515,1522854,1235216,1041039,1159435,2484232,8081420,17496157,25535377,32002118,30270850,28625168,43383210,58069139,54721817,47509282,37257362,25779795,25295532,37709698,42316070,28723619,10660979,0.91
9,j,38111214,58902599,78773660,102490074,155277950,125229980,127915411,145596218,156237086,128278530,104249424,123969291,276347249,306893257,340604425,314790182,102157695,36816715,11198135,4012734,1849965,2118613,5713769,16027315,0.935
10,k,34087,59128,76729,82640,72706,124615,149574,157980,185831,166114,151463,118973,125744,169802,266610,170861,105877,58758,45706,19508,5478,7365,5498,8532,0.975
11,l,37,25,19,38,16,34,174,441,600,396,366,449,367,357,623,383,254,349,436,882,709,272,89,19,0.955
12,m,3423,2900,2932,6634,2159,5927,13152,5632,7267,8114,3680,1920,1068,4608,12771,1815,1923,2267,3102,1625,1594,891,1073,1000,0.935
13,n,31468,9800,5563,4133,2367,8283,49776,302152,950394,1000112,1371551,925323,1250070,1234842,919007,595954,459482,425173,588592,761271,1070562,1090904,646619,182326,0.91
14,o,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,1,0,0.985
15,p,23768953,17798982,10441925,5977190,2738944,1373935,1578461,2943639,4087129,5292479,7340090,10262469,15511406,21588869,29599707,25523512,19416587,26425855,37178939,40795315,49577828,46527235,26878793,19597879,0.975
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
17,r,2958293,1275537,941434,1340643,3337662,9054168,24693090,50518595,72821659,90193243,95422557,102513898,108504779,108567053,102242641,80793383,81347286,90887292,103914995,110045612,117024276,78138488,31471722,9501588,0.99
18,s,85398,41734,27403,11119,7380,25205,125275,372074,718572,771143,592605,515110,369547,544431,795494,615369,373427,363219,500095,717468,769558,662316,355077,134320,0.99
19,t,88292,40058,39957,80576,83031,144045,242995,648385,1048699,875091,641503,603583,744444,852804,1036253,907234,783475,701877,599352,598143,654112,801572,449937,161282,0.98
20,u,519,320,220,310,275,1584,8074,21324,35548,25193,20970,15840,14160,18172,14498,15338,13480,10373,9988,20669,19068,6864,2467,575,0.92
21,v,628,2388,8629,16132,17157,11247,8627,10795,17808,18659,12562,6208,4761,8599,17838,16761,12357,7609,2465,562,240,116,70,131,0.975
22,w,1055,671,925,1159,726,1565,1030,1455,1488,4208,39484,54953,1785,2464,2246,885,1190,1056,1083,859,2361,746,666,648,0.96
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9
25,z,203792,657774,1571693,2498403,3122526,2402144,2930128,3685409,3879795,3942705,3278032,2266526,2579884,4159602,6381801,7579298,6505580,3541569,1427099,460323,185997,89745,64299,86739,0.94
