,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,202094,163041,130709,111464,100419,93943,109882,132620,155250,179668,192616,214015,228903,255084,233549,228388,212348,209396,221698,234263,260385,269787,287606,236141,0.965
1,b,313,211,242,196,271,359,1158,2559,3275,4277,4261,4962,4665,5271,5320,4203,4318,4561,4332,5117,5659,3267,1430,358,0.965
2,c,172756,135083,107545,78472,47459,78634,128695,217532,352199,440247,583138,643998,747994,899446,1037709,955372,760313,642769,664525,770774,1139213,1209543,819722,476271,0.995
3,d,4914653,1838172,834641,711837,921015,3462133,15687146,59092039,106408508,147861778,160984815,155545208,173826573,190293212,166065910,129562378,91703468,80196478,77321272,119778329,193263189,175856248,68285168,17355712,0.955
4,e,50792780289,53161343128,54515453561,53179688084,42102534866,31714643278,23715627451,21660974362,20366490036,20248999532,21481716605,24421906534,31878717850,44068284367,60297864103,73700314947,77287890883,77682824439,76201008303,75863972192,75029275220,79279395772,68185313510,54521583181,0.915
5,f,8018738,3454309,1968971,1125661,873151,1198326,3205863,11498424,26652661,47673327,66632700,60689096,78569600,92329592,88145343,83499533,73202607,55169737,59520932,63137957,87211160,101587884,65334272,21323559,0.95
6,g,7,5,5,2,2,1,2,2,3,3,3,6,1031,10,6,7,10,9,4,4,6,7,11,3,0.965
7,h,12619,11996,4601,3863,6171,16935,47954,104643,156284,213383,240781,259220,296215,305045,306354,251400,229102,214063,223077,238763,278577,199212,102481,30508,0.955
8,i,6141651,3496353,2619005,1825080,1666233,2300279,3576022,11141241,24336287,33754631,40608691,42033036,52233909,78859286,78589878,58502063,43092845,25893104,18304272,18221173,37480226,42444559,31578433,14330976,0.91
9,j,34913069,63785674,98750351,125262480,177757691,146257317,171966338,178438556,202851748,175249267,123119365,146524120,205404768,325397949,347951505,324640339,101777267,32389449,9411600,3257826,1599508,1752376,5474591,18289654,0.935
10,k,13279,25178,36341,40531,31777,44669,58609,61362,60150,59618,45267,49145,61196,78836,91383,77355,43013,18782,5745,3043,1869,3013,4574,4415,0.975
11,l,49,26,24,11,10,11,47,98,148,177,181,220,218,298,212,176,195,2240,572,216,394,237,137,33,0.955
12,m,374,609,819,724,825,691,715,977,1440,1674,1454,1303,1365,2551,2633,3282,3663,1652,833,483,467,2084,960,2937,0.935
13,n,22958,7957,6686,11915,4598,3588,20110,103884,310877,448029,931601,522313,598274,612707,602713,519412,365514,385956,394340,519616,836150,902662,408937,95400,0.91
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0.985
15,p,21005957,16749310,10531568,4651742,1681506,722534,1018897,1389878,1940556,2873805,4269390,7347912,13985836,20431207,23455040,21909970,17504553,25369607,35331433,39573678,49123916,44151688,29273053,23956101,0.975
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
17,r,3282506,1460604,1061399,1249530,2535099,6249032,17860887,38913709,59701510,77508494,87318506,95617589,105134645,105229248,97640567,94345348,71560274,72344214,96325886,121101080,117869142,72593818,28890463,9249171,0.99
18,s,251680,80313,86180,75098,20377,12132,39437,145050,272980,382539,421138,365604,471962,431443,371063,319039,304477,297808,312587,418684,789874,465678,196300,108093,0.99
19,t,121480,74788,86231,134834,142126,141894,202785,565447,825506,1042680,1084493,1358748,1450577,1645448,1765850,1631075,1159968,693018,552265,759342,799885,856058,498792,212516,0.98
20,u,190,73,72,84,220,366,748,2484,4507,5519,12488,6174,7039,15444,6271,4845,3304,3285,4129,6505,8119,4078,1316,241,0.92
21,v,491,2026,7688,13698,15942,10341,9174,10948,16019,18118,13416,7494,8449,21660,45665,44495,23846,7523,1702,370,158,115,98,204,0.975
22,w,630,629,698,463,484,406,709,971,1079,2635,798,748,701,1054,1067,1096,898,793,779,754,1013,1005,1071,613,0.96
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
25,z,171064,615331,2486292,3903951,4422559,3769103,4503597,5396437,5534811,6167576,4698267,3054567,3180791,4807122,6754625,8001320,6892785,3577889,1509494,529675,220493,121997,73966,84872,0.94
