,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,215504,160834,117476,86106,79521,84402,97325,122342,157683,218176,243624,262885,289881,346196,306355,303954,308113,346446,362569,356408,361233,359787,325400,261848,0.965
1,b,564,223,149,83,99,115,487,980,2631,14673,11638,6543,8520,10637,9650,8511,9299,9863,12514,8690,9008,7194,4232,2017,0.965
2,c,263238,212988,152568,65548,65722,49101,69496,129039,177803,336819,704589,624322,705993,1491467,1077379,989134,1229288,1289630,1217078,1273320,1043131,1128749,912117,623925,0.995
3,d,36404122,10799630,3278826,1385099,694538,554074,1185103,3409225,13330657,40225411,76489224,111679673,117171037,135275208,146020999,156673386,183616980,193714226,194761907,205942707,269245861,364778101,350881090,191644437,0.955
4,e,44657347427,38554940576,36748917405,38427308195,37475028973,34967699424,27075310338,20175650022,15074467370,14816144748,14750577578,16265559837,16812821688,20488223679,29298214555,40823233331,54552427437,65066579328,69618416551,68540746668,67021909092,70428908860,72005355995,78021025794,0.915
5,f,31326444,9568248,3738340,1970239,1372147,1099170,1677602,3858025,11189268,24879145,46065785,70202566,79764956,88028641,110630828,112493331,115258980,132744918,140039264,154216520,135351505,163724630,149833250,105695469,0.95
6,g,1,1,1,0,1,0,1,171,1,2,3,3,4,6,132,6,2,4,3,2,2,2,1,2,0.965
7,h,19201,8668,4478,1551,1502,2150,19802,22361,51924,107085,229767,332376,246771,298988,293545,316303,349995,444035,512140,565753,526563,397329,285419,126026,0.955
8,i,20027950,6821137,3278090,1779108,1246449,1084530,1108502,2480566,6477282,13704925,21251936,31975864,30591655,36350575,54880903,57564826,49613825,44703738,41406788,32296751,27293198,53367001,61386984,59182048,0.91
9,j,49345567,76677792,110585147,140728534,169876073,193913116,199354496,207915077,235177996,238121973,249756504,230275696,370736033,585162917,540455422,443622568,229471521,106784589,37836894,13022849,5438160,3733419,6167576,17233807,0.935
10,k,9192,21326,39300,61654,77797,111883,131229,127840,105844,108243,180331,140604,127176,164684,167827,171789,111369,64034,25896,12352,5490,3182,2360,3641,0.975
11,l,21,18,43,5,4,34,41,600,56,791,220,205,403,904,462,327,305,350,331,361,400,337,174,85,0.955
12,m,140,190,295,358,538,637,1096,1744,3033,1981,1269,1058,4181,7459,3425,2724,2122,1808,997,574,368,299,520,772,0.935
13,n,200793,47078,15237,6636,3021,2149,8498,26004,96583,207628,414637,578460,620345,720121,998219,931225,1003028,909011,761863,992203,1208359,1630771,1475095,735823,0.91
14,o,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985
15,p,16455877,11558814,7626069,4280804,1880176,730688,370519,407792,1312809,1488846,3141868,5655987,9602487,14178327,18494529,21512038,23367316,27832028,32729425,41246256,38705164,37642561,35014180,26345232,0.975
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
17,r,8297715,3481159,1824752,1539226,3114886,5591158,13203528,30945922,56179883,78242748,98265192,117156754,157675886,161984228,154876372,170759323,203546357,253445486,282462602,285414624,276868983,189730465,98421062,39750785,0.99
18,s,104659,37327,14325,7156,5652,5054,9942,28772,93234,179310,942808,374721,369177,615051,476919,551067,569253,580637,631152,841784,1582175,1295824,901950,630307,0.99
19,t,259684,113490,88021,60169,68290,72120,89187,177323,352996,636433,1159958,1439086,1212962,1438829,1590515,1547943,1550045,1474424,1534565,1296992,1255861,1372786,1299821,880012,0.98
20,u,4948,3687,2358,30,40,54,207,1626,1866,4137,6036,7823,20652,10110,41142,10386,10623,12566,15172,17681,16193,13596,6338,2332,0.92
21,v,223,989,3637,7702,10111,8573,8885,9628,9581,18700,9124,5936,6069,13654,19370,24576,20942,8264,2371,658,227,101,77,91,0.975
22,w,71,71,60,46,35,40,65,66,53,80,526,724,512,608,1145,653,1022,2510,713,126,132,107,136,83,0.96
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
25,z,127200,312619,744833,1652659,2637248,2817035,3717292,4232995,4315844,4388166,3756307,4143786,3888942,6058801,8739319,10808933,11590548,7998127,3833199,1627371,572972,240398,133895,102708,0.94
