,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,210099,160324,119611,94070,88713,97420,114655,138181,165609,183935,202940,232550,266716,276504,280663,299221,316384,360800,377602,390538,378581,366550,323059,258926,0.965
1,b,451,141,81,46,47,91,259,589,1460,3312,4608,5331,5656,6273,7649,8785,10435,11625,12293,12457,14679,9355,4216,1594,0.965
2,c,399081,200012,138690,74116,58263,65563,59529,78549,151511,447321,906568,1214889,1063582,1233621,1594965,1752007,1899605,2126509,2272662,2249059,2033128,1813536,1225758,695377,0.995
3,d,64752165,17449022,5224994,1885071,881931,632663,767048,2537726,12909269,48274178,121819867,202452860,213245083,236828208,261060325,265202997,289501280,317308749,323039848,360321138,460625858,501007734,431621321,228305634,0.955
4,e,56403788152,49269499053,45091631444,48278062933,49735575923,43448518638,35489704843,25724579625,18629686545,16755702377,17306300162,19169284906,20132026671,23042015853,32971470448,48563070894,66395049934,81643640283,89611321569,97246658327,99782490410,101938780597,111206125372,101436719623,0.915
5,f,34255594,13600199,4736041,2245868,1352398,1134865,1337371,2700930,7808688,25649418,61366374,91416568,96074494,111640212,158373806,176548263,181676436,201882677,219194676,210040691,252303340,238263542,226006225,101232878,0.95
6,g,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0.965
7,h,33936,8907,3520,1733,1534,3052,10497,36641,99811,195504,341294,613087,423632,487763,545502,620217,660857,706856,692654,688426,715073,565897,262029,101538,0.955
8,i,14950667,6425754,2532931,1415943,935120,759824,782015,1233137,3781695,11976129,24024544,40824533,40231693,44839117,67238190,72698281,63027167,70146750,78626579,63653708,64064197,89818340,74005741,46574571,0.91
9,j,32097264,75508074,98892663,136627353,145235270,174586683,207032145,218296925,243011279,255074830,276899168,259102048,498744089,542260540,497741258,373657708,160094245,54474878,13651343,4326223,1840516,1546570,3870532,14267618,0.935
10,k,8512,12372,20828,25272,30944,37287,53331,57425,71351,86075,79786,93566,114341,143573,148175,160999,115616,63383,27675,11648,3827,2088,1807,4213,0.975
11,l,19,5,3,1,0,1,3,9,47,194,378,551,603,546,672,750,940,1257,1306,1226,921,611,305,102,0.955
12,m,94,100,142,435,320,458,547,594,771,892,722,678,694,918,1077,1510,1552,1200,804,515,367,321,168,149,0.935
13,n,253152,62583,16198,5585,2594,1617,6360,17340,44226,202988,518109,864564,989509,1097657,1191214,1211556,1291086,1246825,1197465,1585226,1835357,2056119,1546547,630390,0.91
14,o,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985
15,p,14640919,9038554,5799253,3026803,1274330,526958,266836,257910,557822,1450408,4064411,7321817,11714626,16481088,20082341,24475117,27059368,33509685,39574187,47322083,49506713,52166521,47250506,26384940,0.975
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
17,r,13150088,4024952,1618370,1207981,1512509,3014009,8303541,24411209,56308268,101160872,149812712,181689943,204790954,224429734,244394303,263128207,320726458,374783329,384172421,369408943,305768345,199024490,90400520,30002831,0.99
18,s,177074,45357,17502,7243,3860,3337,5513,15247,63801,207994,418095,560775,590380,591251,756789,786835,848834,973637,1257955,1449431,2236614,1670997,1053078,429303,0.99
19,t,404929,198513,105268,68521,66480,64634,82388,123485,234374,422105,794673,1007676,1207056,1505999,1607066,1526026,1368856,1060112,998525,1194668,1393005,1537146,922985,657907,0.98
20,u,1002,382,168,127,102,130,249,670,2194,6262,12407,16195,23803,20576,20509,23970,28364,34140,36651,36792,30302,19010,8835,3067,0.92
21,v,122,305,725,1282,1815,1836,2173,3077,2589,2385,2138,1821,1550,2488,2223,2403,3036,2634,1014,698,188,65,27,27,0.975
22,w,28,23,26,790,16,21,241,398,624,464,15620,2154,59,86,108,97,95,100,113,135,85,100,68,51,0.96
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
25,z,70336,139276,300496,571032,986220,1127029,1580401,1659671,1625478,1459927,1184033,704137,1001929,1450824,2094812,2988057,3099439,2091253,1142489,510799,196807,95540,56417,44913,0.94
