,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,207690,171171,129511,113079,102599,104750,123385,146354,166167,193174,207944,228238,244715,252799,251815,250933,243781,229254,242541,255093,264734,280906,281492,260676,0.965
1,b,737,616,610,832,1243,3513,4717,8808,8391,10737,8859,11384,11140,11929,12036,11638,9843,9721,10394,10384,11221,7905,4322,2735,0.965
2,c,316441,211338,144613,62751,54243,74378,130453,250455,331850,510205,574662,582336,961075,929653,894551,932489,1144551,749680,715999,904655,1078291,1270169,563542,244243,0.995
3,d,5797753,1846900,822314,569614,592791,2249255,12084498,45385150,92253096,139633961,169453723,166682592,190050698,204922644,193709234,153438588,111752517,100884213,104844152,155213590,206524796,191817399,84354752,21614724,0.955
4,e,48671577756,48028819555,55024799960,63300692062,54528697143,49626819578,42974834337,40839896635,38102462199,39046242158,39795532369,42860208794,53834090542,66755584987,83601144838,104790505174,109603797937,109178155895,106769228410,107769144309,108072952958,100324436202,83558250268,62531668452,0.915
5,f,7678596,3149778,1938905,1239230,975767,1629641,3183657,9118721,21819362,34162321,45871608,43972220,59350195,67034314,67589235,63531561,53283362,47321853,44498428,62472677,95623826,107477327,60482334,21627659,0.95
6,g,1,1,0,1,1,3,2,16,5,7,3,7,6,13,12,16,9,13,5,4,6,8,5,8,0.965
7,h,7593,3264,2249,2397,4956,17521,40521,103843,154557,211434,243398,263371,290503,312377,350317,334684,272522,244394,241393,221214,254964,215753,96137,33197,0.955
8,i,3758851,2082228,1706850,1280764,1188673,1771212,2435575,7490091,15115074,22418484,29411414,31265290,37063460,57088019,55300271,44031150,30684244,19540293,13376179,14835706,22704314,28413174,20877529,9886496,0.91
9,j,36475663,63790296,100536160,127255359,175177303,153615149,165954359,198713668,202557827,163032269,131482053,148857164,237983828,296687145,326963329,213178712,99478159,34554572,9452091,3109762,1624641,1770275,5008815,16341335,0.935
10,k,10793,22753,32832,41698,36720,59402,70518,83162,83410,76994,52312,53409,67831,118831,75194,92618,53439,18956,7656,4131,2699,2347,2970,6559,0.975
11,l,7,3,1,2,4,24,50,179,192,250,168,257,399,282,271,188,119,147,156,163,244,168,64,62,0.955
12,m,108,307,551,628,756,942,1073,2170,1834,2063,1682,1704,1788,3834,5806,5751,3182,1947,1249,422,311,338,299,471,0.935
13,n,49005,18437,9675,7357,7633,16009,40385,139840,316225,459424,520427,579447,567044,566558,598267,558649,413443,431779,547971,792215,1086364,1194312,633776,206320,0.91
14,o,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985
15,p,12209838,10578970,8017087,4660743,2152492,1094757,1151428,2413174,3324143,4300910,4334450,6594203,9704417,15152966,21043979,23555812,17837042,25547397,32565537,35675782,49071575,41956729,24914897,17070916,0.975
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
17,r,6355309,3759572,7256390,8710507,17669294,55790007,139110005,250729081,278756556,304992640,305685938,302857712,304643802,293544226,290529003,288593191,285542411,289884183,316704344,325700575,238660910,131052020,47303493,14920236,0.99
18,s,24349,9787,4432,3424,3814,9535,25116,99590,183836,237658,250779,289062,313529,337648,360648,339446,290445,297101,339199,614525,487834,496770,303945,127091,0.99
19,t,112205,70700,60104,100119,98217,131501,210604,557840,869957,1128549,1279213,1707639,2052207,2199629,2277290,1757750,1130328,801595,640916,669346,800626,807627,492031,252667,0.98
20,u,71,29,24,46,74,255,847,3679,5041,5789,5954,7148,7382,6395,6255,4953,4045,3661,3943,4528,5982,4051,1252,399,0.92
21,v,336,1655,6464,13402,19528,13967,11229,14431,19139,21050,16463,8176,8021,12803,22645,25542,19950,5885,1618,363,168,89,69,129,0.975
22,w,132,397,206,201,181,301,1071,782,839,3155,564,444,480,619,784,2308,813,529,440,386,478,410,286,260,0.96
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
25,z,165656,543928,1654818,2790175,3625377,2964914,3840960,4751891,4915667,5165842,3997712,2642040,2877423,4517750,6580363,7784682,6637483,3292766,1329401,507248,215586,127607,79682,92025,0.94
