,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,188915,139461,106710,85008,82990,95498,108386,131955,157275,174030,191197,219613,262236,279070,285921,299968,313971,342782,362771,370359,357246,338239,296114,251549,0.965
1,b,358,136,86,96,106,149,1165,979,2789,4244,6450,5121,6102,6478,7263,6788,6203,7487,13993,10407,8257,7035,4399,1343,0.965
2,c,346383,209714,152939,89497,103402,101664,99338,239937,600213,950267,1385044,1609824,1437342,1617366,1676747,2102160,2510584,2633131,2570375,2274770,2488628,1887495,1487623,830061,0.995
3,d,38019792,7472542,2085305,985698,679933,994980,4105680,20722944,86379042,169199469,260733680,296855748,304629108,335260398,398359241,380784896,332128593,271877647,243077555,282339888,358449052,430753672,313911760,134864851,0.955
4,e,65925596856,59898674250,63408551793,67508035001,62842020044,49856741162,35032622486,25818434665,19872977243,19213300038,22888872494,24047075625,26764759405,35409478865,54015038387,76476484872,90940110056,99211214514,100054731131,100392407082,103264366320,105081074025,104471321598,91802435901,0.915
5,f,23046512,7735548,3056710,1748809,1162041,1103698,2155609,6738495,23975935,54437070,91510947,107225491,82344737,116415241,146805162,163803139,169870153,192713621,193193410,197931473,197361489,240840751,188785493,87032906,0.95
6,g,1,0,0,1,1,1,0,0,4,2,6,5,6,6,6,4,20,15,6,34,15,2,2,2,0.965
7,h,19126,5572,2632,2173,1934,3855,15220,46200,129960,189587,268972,318360,321544,412494,564524,606338,567525,709078,702140,658073,569861,373928,279416,81646,0.955
8,i,20806644,7469860,3958072,2400382,1910416,1796928,1913186,5069793,12875701,24333782,36519675,49749564,55028239,65512589,89022149,98542097,88860997,77873444,59983210,43725920,45088575,73399729,86319575,83776514,0.91
9,j,31427934,65890945,103646496,141507466,225785301,187407822,190227342,214182003,234732428,211740730,177792636,207135926,306833793,419875383,427546066,289952580,132226511,39852225,11795350,3902581,1845250,1613055,4250464,13626656,0.935
10,k,13067,31217,49926,73765,71556,122437,131719,161870,144871,141379,114186,129425,204293,253636,275193,296554,207370,180874,49799,18704,6668,3102,3930,5775,0.975
11,l,18,5,2,5,5,6,15,135,410,781,910,619,827,907,1017,985,1050,3871,1816,2480,1269,806,265,84,0.955
12,m,249,289,458,674,850,841,701,966,1661,2115,1803,1585,2210,3262,4262,3751,3160,3217,1401,1330,725,588,359,263,0.935
13,n,117132,23377,7342,3961,2416,2385,6666,38317,298705,1038743,1332585,1763262,1535826,2132607,2117340,1767683,1846543,1318507,1293281,1741079,1992630,2001185,1648237,673786,0.91
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0.985
15,p,21284999,11710917,6863122,3333608,1345576,498996,325870,551208,1599016,3321408,6444115,12151742,19033028,24753316,30231929,30584362,37734068,46637622,55066701,61101720,65550516,59718798,55494289,34645294,0.975
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975
17,r,7845932,2985692,1782988,2000070,3626474,8694103,21815458,52329207,89379578,131936894,159273197,171209531,199613250,213318357,234530872,256973074,239277737,273774667,287421399,291612772,262083206,162101034,82522186,25204782,0.99
18,s,91538,34254,12406,8367,6778,7202,15993,59119,370279,696390,985698,900002,925557,1234853,1210410,1009246,945560,1124978,1176841,1172983,1257710,1288664,844649,335369,0.99
19,t,324940,150461,96986,137929,117987,96030,85067,239598,470575,678530,951200,1229016,1604180,1890189,2188032,1906071,1454639,1084354,1278138,1047214,1131290,1116224,1997022,898744,0.98
20,u,501,163,54,38,40,107,323,1769,7120,13006,15577,16819,17210,17792,20499,24635,29091,36132,33723,36942,27547,17573,8819,2569,0.92
21,v,223,798,2881,5595,7007,5251,4645,6176,6896,7247,5523,3878,4201,9238,21078,19910,19866,4085,1076,509,106,73,69,111,0.975
22,w,67,87,65,43,38,46,45,50,171,412,17555,3374,309,218,509,304,367,725,1296,2521,1055,299,116,131,0.96
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,42,47,24,0,0,0.98
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
25,z,138492,377518,1196624,2203325,3014687,2576800,3154681,3596596,3891220,4231962,3471275,2265043,2801805,4170684,6105684,7385440,6208230,3225470,1428345,595463,321083,163435,110613,92931,0.94
