,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,266726,198251,142077,111024,98381,100186,110935,139608,174821,209681,241045,275395,312100,323588,334860,336777,344578,361679,399958,408188,418143,435727,399113,328276,0.95
1,b,902,341,301,332,378,609,1094,2659,4537,9410,9796,7741,7643,10408,11853,12614,13486,12831,14384,13077,12695,10364,5348,2152,0.92
2,c,461721,235610,168527,127498,99543,83330,110479,195386,395544,551834,886836,1074864,1231362,1370945,1255217,1377754,1569464,1718818,1704996,1617802,1682250,1854093,1485555,822260,0.965
3,d,54963668,14209644,4120114,1704433,797801,787485,2069367,9119870,34050508,75085747,126721918,164836322,165859011,186308292,186422488,163201705,139545443,132787837,138936272,161452793,238299955,350348528,379938032,238695676,0.975
4,e,53815320306,47215695103,48134521318,53136988937,51119821216,41802944846,31417793039,24463708644,20068338794,18472992255,19786392297,21309235002,23361286337,28186131586,38205159741,51599750505,62698580079,74684566354,75137514530,68794223009,70314645432,69448504001,74381075194,63163566474,0.945
5,f,56704047,15769471,5251903,2487693,1319573,1065374,1928979,4965924,14146491,35290834,62576732,99186345,91366377,114714069,156531429,167222773,165153512,147096340,137165358,132476427,159834717,241480375,225207156,121123626,0.975
6,g,5,3,1,2,3,2,2,2,6,9,6,14,19,10,10,11,17,18,7,5,7,3,5,5,0.945
7,h,48915,17030,11250,13468,17107,39612,73677,131492,242820,382165,495171,554968,610230,682513,933636,939615,841330,851661,697756,696762,683398,727412,528396,199380,0.955
8,i,27686625,11260378,4405116,1959354,1261198,713769,691783,1873222,5024804,11543708,22313196,34195950,38153152,41790869,56600144,66536437,53109779,47369382,45708473,42549568,38152356,57546650,65399608,61729293,0.95
9,j,26729831,45730456,72609389,107679517,162740027,144167582,163118151,182544480,176645456,152863067,130274331,148160000,224226673,335908949,445102385,321681782,120680507,53463174,16525098,5595830,2236869,1571965,3147724,9404212,0.905
10,k,20062,21377,34538,47673,47734,73067,84075,87650,86768,104844,102097,91763,116506,173915,155824,153944,120859,59027,43798,19404,5830,8104,9272,10525,0.96
11,l,106,30,17,15,8,13,35,252,405,559,618,720,635,654,648,586,500,617,600,792,750,575,359,172,0.915
12,m,549,566,990,1352,1444,1437,1647,2296,3197,3240,2757,3184,2588,4149,6932,8820,6621,4269,2608,1255,649,606,462,331,0.94
13,n,290395,49471,15072,5084,2670,1710,4741,19486,113348,383928,668299,841518,1179757,1054977,1071278,999376,926832,750281,793808,936765,1880603,1864372,1953975,1498176,0.925
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.905
15,p,17595784,11237214,7610582,3741552,1450554,612005,444234,659806,1529901,2832723,5077667,8182553,12136309,15222364,18142747,18439922,20525691,22970725,25374151,26409671,29733537,33125849,32640379,24553880,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
17,r,18272426,6952815,3256631,2394427,2812366,4779665,9275867,18681838,35895163,61130030,82374294,99166423,114368767,125515639,135517840,138737763,163889028,195942058,192437474,207933242,199566813,169436532,106720433,51371843,0.95
18,s,257263,82804,28800,13745,8694,6921,14104,37469,111873,257899,551144,618140,617001,717636,775370,867449,907883,953348,964223,1359222,2485021,1730866,1672542,1109996,0.955
19,t,17960,19769,34086,94575,98038,99511,67125,138685,131755,93852,81176,91715,104955,141932,184043,187289,157164,103282,64014,42880,28742,27052,19408,14275,0.975
20,u,1065,430,114,74,74,88,196,814,3655,6065,9637,10200,9059,9574,9957,9114,8922,10136,10571,11438,11590,10891,8015,3615,0.905
21,v,552,2169,9376,15447,18149,12545,11781,13572,17669,16713,12796,8338,10677,23980,44782,42591,30404,10802,2432,561,211,119,85,194,0.945
22,w,19992,14340,14960,13439,17823,10028,15676,24620,17111,18888,34270,27421,15996,16561,21148,71918,19878,24268,29987,24726,21067,19114,15602,3467,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
25,z,346486,910155,2339015,3756456,4557155,3625853,4556311,5671037,5616980,5808999,4777923,3800933,4553949,6889005,10220066,12242752,11417194,6544665,2951772,1125206,446685,218024,147048,152801,0.945
