,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,258906,191203,140597,122387,127275,151656,183929,210881,234017,266894,286937,323619,352328,379755,412889,442767,488176,525956,570869,581339,563728,512480,430232,339218,0.95
1,b,482,315,384,758,1191,3390,3942,8639,11275,19037,16027,15129,13225,16705,21506,23335,21305,26110,30061,23174,18717,11093,5135,1362,0.92
2,c,671395,282524,150332,125695,101816,145676,262921,352843,657555,866963,1741447,1310728,1239665,1405450,1383247,1482234,1793249,2479071,2117672,2543328,2273238,2111473,1323016,679777,0.965
3,d,12433099,2325193,758371,371470,315359,568705,3546748,21974598,70741348,110097995,163385677,182360213,187694666,198331859,231135595,220344402,190551909,172355900,196436971,262656264,322776845,351999434,224244481,80302071,0.975
4,e,54401974715,52689355111,57734286279,59759536056,50148495357,39038791703,29184632078,22655395930,17844139153,18191959836,20321291967,21701038403,26203736480,33629239952,47691401738,63258874833,78368544416,81384989492,80715405884,79203511851,80271362650,78566446527,80210687860,67172794557,0.945
5,f,21175437,5831678,2413932,1557494,1103436,1314093,3391135,11313565,30958202,61141601,79323647,108277842,88434764,126734090,141202304,149423087,164163445,155858243,168371088,174561200,238833083,294938929,253018182,87763494,0.975
6,g,7,4,2,2,2,3,2,4,7,13,9,23,13,11,8,9,12,12,12,15,15,6,14,6,0.945
7,h,36494,17240,16794,19661,26514,58811,167360,310290,539771,644967,719149,812972,755981,913182,1113460,1194312,1711979,1540302,1347362,1242025,1150936,846140,406058,123111,0.955
8,i,20307159,8819994,6327180,4564899,3347114,2961440,3250910,8803490,15781389,22196875,28442507,35817139,49034783,58683887,72960185,77287047,63064546,52891569,43919021,32015914,39343394,76292918,88924596,89672923,0.95
9,j,33856248,64665212,90346463,123649839,179372699,139487395,159912753,178725638,209032154,174313084,159043396,187374501,311513198,350454910,307686972,225570697,87319024,24300723,7036295,2327549,1268729,1556646,5307678,21476369,0.905
10,k,22834,51252,65589,105155,112066,182953,215063,222335,194990,196944,173129,222091,284196,342821,384498,493235,375022,176337,67238,24783,10882,4041,3734,9189,0.96
11,l,46,29,18,19,15,39,79,530,1141,1538,1306,1889,1698,1866,1696,1808,2136,2752,3738,4051,2714,1477,601,178,0.915
12,m,2679,3112,4074,5992,6796,8098,8803,14013,10856,12826,11158,12400,12823,13955,23611,28082,23134,15031,10094,5215,3517,2656,2332,1995,0.94
13,n,82087,15852,4501,2122,1257,1831,7184,48591,275427,1030434,1153810,1553396,1237864,1690403,1551561,1254401,1114064,966065,1097069,1917001,2056403,2312698,1506576,522222,0.925
14,o,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,11,7,12,8,8,8,0.905
15,p,30500879,17999581,9367249,3475017,1072914,370660,364994,885064,2507895,4963652,9452836,15731164,22789949,30720196,34535963,30132947,38104161,56367569,66017960,76183304,75587868,77493505,66333552,50251263,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
17,r,4955871,2317918,1652745,2294323,4164459,10029822,23599233,50706555,75557919,97301132,104186870,109886147,117749824,124163714,131485455,140583100,151073466,179312162,195645097,214486747,199063964,109020651,40849707,11950892,0.95
18,s,81967,27318,12331,7921,6549,10626,31806,118433,436895,781776,1032987,1026957,1050864,1364557,1252800,1108464,1132166,1306163,1497188,1704696,1722395,1883987,1048137,324596,0.955
19,t,19673,33794,81930,297527,284477,230531,158571,402897,456750,308032,249991,344776,435664,579197,658969,458151,261699,130140,71083,42589,28919,23066,20093,23970,0.975
20,u,811,214,106,75,125,605,2448,28739,88965,120942,96093,114686,94384,83239,60640,83096,126229,160369,186532,191959,166350,76503,26154,5315,0.905
21,v,1398,6876,25625,41576,48437,29538,27538,32451,45498,43576,31347,19115,31442,90778,189932,186644,76764,22459,4175,940,264,142,176,655,0.945
22,w,10332,755,564,616,610,525,592,1131,2357,3161,8442,5373,4008,6129,6419,6786,7065,3720,3744,4368,3543,2877,2923,1690,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
25,z,789237,2144693,5030932,7794713,9151842,6940137,8995497,9694563,8798816,8728158,7374767,5623968,7772112,11216938,15646064,16937907,13248761,6451864,2421058,860645,391864,240493,220592,262169,0.945
