,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,267077,203741,153012,116981,104280,102417,116256,141827,178820,214506,244245,284552,301481,317507,326357,334373,342526,362731,384600,392903,398875,399971,377388,313850,0.95
1,b,216588,106361,119211,109214,129324,144731,157430,171724,185860,229836,250159,281358,279464,283590,339638,386892,364891,218180,94591,44461,14956,11297,6755,2548,0.92
2,c,477337,296320,184936,122234,78705,42117,52409,97768,184361,385645,637875,1256269,1282058,1295918,1498520,1797032,2523667,2400068,2178569,2174297,2268964,1556634,1573199,837085,0.965
3,d,35433823,8036323,2145072,785034,343118,308304,584259,2251801,9553153,31027616,62669553,87004139,110742860,125417367,135479425,141891087,147347032,153810480,153975229,183063237,250863740,331245067,381092823,210970074,0.975
4,e,43102484666,36052518600,36755249330,40431099639,40796957796,38845523043,31886188398,22632830134,17743217688,15783447456,16685689621,18198586521,21178129546,27011838633,36312739358,49097929016,57382594740,64477758005,68928081735,68188622361,69292659690,67868950046,70628965259,66855223772,0.945
5,f,25373924,7963550,2906857,1530437,1039634,962067,1468999,4003084,11556841,26961210,52410984,69372574,73539911,100135934,128197108,130930748,142924737,136159234,161365417,167410554,197144202,217015559,198435696,117979466,0.975
6,g,3,1,1,2,2,2,3,3,6,7,4,12,7,19,41,86,96,34,8,6,7,4,4,3,0.945
7,h,43877,19086,16122,17619,18844,28171,62059,141801,241280,364122,493881,605936,639554,752448,1039310,1273134,1381102,1431964,1312914,1158090,1047332,922502,769219,258917,0.955
8,i,12449725,5004194,2185343,1215558,831588,757897,845536,2200816,5817876,12092029,18337009,26350126,27082461,35849460,49591680,51250715,43526982,43373139,41140058,30632516,31721060,54083531,43277158,38525275,0.95
9,j,29696593,49830295,71548027,101804996,107704932,134168669,141131670,144391032,147540442,155345876,153458954,160852459,299112255,399353594,317478953,281384311,138003939,59107212,18324507,5969220,2250490,1614250,2728105,8273183,0.905
10,k,8548,15473,27056,36967,52268,70260,73406,132073,76332,97541,117025,141046,135520,228686,248390,222368,156666,58921,66731,26776,15489,11671,6263,3990,0.96
11,l,52,26,16,12,11,13,17,75,172,243,249,446,443,643,1175,1840,2473,1796,998,1117,983,805,450,187,0.915
12,m,309,378,630,938,1520,1804,2283,2767,4586,6271,2835,3790,3114,4619,9755,12925,11415,6262,3351,1340,845,478,386,373,0.94
13,n,198399,37674,8895,2915,1255,1052,2081,7760,51213,208324,443979,695309,745020,881624,991575,1146453,1127428,971467,998736,1207623,1668861,2115286,1850190,1020755,0.925
14,o,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,3,1,0,0,0,0,0,0,0.905
15,p,13987822,9937983,6496932,3441196,1384619,554168,322648,336132,717341,1819557,4065014,7107655,10596989,15183927,19419185,25832192,30850305,29479335,32486701,45468016,52518185,45197566,41179691,28366234,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.95
17,r,8931490,3986035,2243011,2273450,3252836,6443052,13836057,28397576,52920745,75511365,96248304,115232597,129714046,140363833,152269974,178872915,200586172,226821863,247684296,253121716,264534412,197907937,108434151,43994955,0.95
18,s,151506,39921,17207,9050,5357,5870,9353,28246,141227,259523,890794,633627,602200,672741,805833,957458,1117159,1058745,1139395,1211267,1796851,1670429,1344123,689637,0.955
19,t,9257,11411,19548,36220,55167,66378,71749,99255,134366,136004,124414,123100,115462,159707,243200,251460,196442,114302,69179,38067,26363,20689,16610,13625,0.975
20,u,745,239,90,64,81,221,506,1329,4089,7987,11718,15846,16796,17581,19759,22242,26512,27328,27467,27724,25202,20650,11661,4244,0.905
21,v,591,1835,6127,10536,13973,11083,12417,12060,13372,15092,10615,9247,9155,18689,29521,57604,45837,16608,4266,910,244,132,96,130,0.945
22,w,19882,21837,17254,35183,49620,47997,58687,55239,78551,80432,79478,50442,63142,55005,79879,71631,86748,56646,57099,75547,44367,56885,55798,38937,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
25,z,246003,619121,1305827,2547122,3643563,3757431,4514538,4973153,4978599,4950136,4440712,4152165,5308292,8471016,11719876,14905037,13794188,8277705,3730042,1501831,575050,281366,176006,163401,0.945
