,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,251379,185715,137770,121468,124738,152220,189944,216389,247463,262509,284183,326716,352841,378180,390315,423168,458647,505544,557808,588934,575445,503505,414270,333135,0.95
1,b,580,347,515,728,988,1810,3340,7563,11716,16555,18186,16488,16355,22281,29359,31738,27716,28098,32776,26293,20140,11567,6725,1596,0.92
2,c,458276,216012,190608,121505,115111,99453,164853,214377,492053,865209,1650674,1838554,1760473,1461666,1704734,4345560,3695087,2101195,2847642,3302541,3116102,2311180,1697221,660079,0.965
3,d,20001178,3973170,1287376,634793,499731,755326,6106944,22955417,72474815,116854782,165271572,179555785,181929800,197813814,225740418,220653040,178498062,161516524,160469557,201230415,264730385,316776897,205882754,71561635,0.975
4,e,52002608013,51595932950,56379485223,57371841943,52455481773,41805005227,34708174589,26460073893,21502845999,20199303730,21554812875,22896878475,27767161270,37324970724,51224951508,66164408097,73028533385,77867253551,77863286674,77390596505,77442270293,72744130435,67164257128,57080996570,0.945
5,f,20020511,5534207,2139139,1328585,1165953,1317242,3466350,10577575,29293304,58766056,80746506,110731532,90365187,124386973,160102780,171304213,163086466,168195687,161666945,168155063,214377069,235932802,167124278,76382738,0.975
6,g,3,2,2,4,3,4,4,4,6,10,11,27,15,20,23,29,35,37,27,15,11,9,8,52,0.945
7,h,46821,30992,37013,38608,52347,100424,236156,437320,651828,815190,893053,1034009,1026421,1457230,2116602,2428912,2369753,2229196,1709018,1329868,1221974,953730,498296,174287,0.955
8,i,17410220,8880910,5898750,5153374,4259194,2946468,2646485,6876278,14335272,22134440,29506633,38230251,49878775,64980309,81820197,80162552,62128173,51835453,41361134,32218705,37219310,59909042,64372831,48976752,0.95
9,j,38295393,64764896,85441405,115484749,166038349,132040134,157119181,159147191,163242314,145325208,131356888,173964039,360067569,344827728,284150974,192198107,74789188,23025704,6474022,2365483,1239280,1450948,4363665,17678936,0.905
10,k,16701,45832,83450,130426,135663,219039,281746,258632,224464,201857,164379,206274,258027,341457,444035,560495,420104,210511,71947,27566,9626,6868,5482,10495,0.96
11,l,163,45,26,207,127,46,103,639,1532,1688,1543,1930,1747,1704,1607,1841,2346,3457,4611,4297,3488,1914,820,222,0.915
12,m,6015,6954,8950,11809,18746,13778,13932,15942,19979,21884,23178,17976,12839,21127,46468,56938,44196,26502,13530,6915,4215,2825,2399,1952,0.94
13,n,94533,18244,4952,3995,1819,2676,9000,48484,250490,952252,1173266,1638830,2135268,2463678,2804281,1689694,1377537,1139902,1195487,1879855,2004572,2395228,1609330,560441,0.925
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
15,p,26866359,15992099,8441633,3297661,1019652,393016,327863,758386,2272025,4570333,8840718,15202384,22822541,28860987,32271225,30090665,35475857,47077711,56236261,64167902,62736840,77045374,55966171,39924935,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
17,r,5436749,2253776,1786059,2637332,4955488,11007226,24679033,53088712,77302010,96130076,104212316,110993891,124638295,133088302,147823272,168058606,172862529,189831857,203170811,194629304,160668061,96586395,40382252,12993059,0.95
18,s,94331,32865,15851,11730,8547,11000,27981,84894,365115,729962,1018018,1017397,984665,1198444,1180453,1099497,1065063,1142010,1248676,1404052,1646328,1593254,1083623,340699,0.955
19,t,16425,29389,69021,265620,260355,216195,175153,333391,315741,213546,182862,224163,288832,497535,713601,570941,314859,147922,87804,42966,23606,15224,11328,10245,0.975
20,u,1979,531,194,128,183,577,2167,32280,119205,163756,141348,164405,139207,121140,86669,120945,178959,232774,269045,280572,227438,119464,42967,8125,0.905
21,v,1483,6423,21082,37486,47295,28420,26145,30033,43526,43443,47994,18542,30452,83067,166706,157765,76329,20436,4269,972,331,148,2173,573,0.945
22,w,1323,1249,999,995,697,604,683,892,979,1520,10721,6975,3702,4048,6551,5462,5061,3091,2258,2235,1769,1373,5789,2031,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
25,z,489286,1506057,4840605,8199948,9456248,6292524,9632876,11291873,11119769,11595356,8007357,7228348,8284024,12005264,15080565,16834155,13685091,6692565,2487645,937597,425992,262756,215019,256384,0.945
