,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,238463,174127,128583,101247,105454,123957,150085,186563,210942,242792,257451,292181,327256,359039,356565,384267,407980,440100,455004,477371,458770,427078,371482,318819,0.95
1,b,556,401,380,503,810,1688,3115,8210,11414,16346,18215,19724,12320,14462,19268,23404,22590,22583,22211,20896,17122,11003,4627,1602,0.92
2,c,677961,427697,377582,257100,259284,301142,380670,679390,1139443,982383,2287311,2683851,3323049,2945315,3244139,2325562,1917732,2169148,2386256,3274975,3508512,3128357,2634938,1351197,0.965
3,d,15735625,3583001,1119436,488660,347006,500703,2575975,13625855,51151049,103505072,169759594,190060847,190556557,205663534,238660235,219072560,178940595,144179641,147605358,166422094,250558210,286050517,203554249,63574868,0.975
4,e,51593732471,50865518459,53003966001,56449174885,61416214866,45474005867,32792411208,24366664747,19012611821,18849338206,19092984240,20515013349,24612165507,32135490816,47291871756,66006798581,78069823130,82019759134,79736773656,75072274347,75024453475,73686360841,68861992823,57264752749,0.945
5,f,18429455,5682399,2385912,1420992,1395260,1173510,2403859,7975170,22829035,49286584,71929682,95920377,80905899,114258227,141344357,145092802,144750097,142501439,116208105,113814513,146637762,178209279,135633360,58385808,0.975
6,g,2,2,2,2,2,3,2,3,3,8,6,23,10,16,11,26,26,29,13,14,5,5,3,5,0.945
7,h,28457,10832,9566,14409,20597,39499,98363,230389,417320,588370,670165,757292,800656,914000,1127580,1439153,1439488,1399833,1118472,1032547,976880,675263,349137,116637,0.955
8,i,14918588,5733726,2696696,1552631,1197603,1119067,1250243,3708710,8852200,16152379,23804940,33752982,36198794,42091707,58622178,64691360,54222274,44843545,33967728,24284536,27619805,75579243,113857575,63975475,0.95
9,j,27330112,50521951,66384019,78892521,182506374,117499646,127333051,131174047,136035759,121419139,111136581,119714182,221828427,257879336,251677953,182237813,67103386,21511428,6361963,2285468,1149511,1249418,3261143,13081105,0.905
10,k,15386,32258,62659,96966,126759,227637,310990,225892,160366,140299,130844,156722,162551,184114,248355,319937,404660,341247,94398,29863,11662,4718,2527,6734,0.96
11,l,48,18,20,10,9,17,47,421,822,1136,1097,1397,1028,1064,898,1207,814,1238,1279,1675,1608,1047,306,120,0.915
12,m,512,1111,1431,1967,2837,2686,2598,3764,3813,4084,3917,5049,4267,6594,10353,19614,13312,10564,4433,2583,1383,1097,673,540,0.94
13,n,102904,22963,8056,3724,2386,3172,7998,45958,252930,858045,1124181,1688586,2589400,1800600,1463056,1370144,1146789,998298,1237429,1631598,2319009,2811387,2244710,533446,0.925
14,o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.905
15,p,21849926,14125874,7648181,4056731,1543124,600406,418860,810072,2028177,3458200,5607256,9146508,14200589,21052672,27014326,29670355,32216218,36363476,44834688,59111205,65562354,87737857,49851917,33726878,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
17,r,5207449,2683953,2238475,3246946,6359192,14521444,33483615,67302322,95421275,120552021,129166578,137842364,144786859,160869584,169782724,169980760,169719794,187271401,204173498,220891118,177888065,106990060,43740075,15609162,0.95
18,s,92154,32696,18483,11526,8688,12925,27881,95499,345116,730318,874072,954504,892996,1065283,1048681,1031714,910790,966939,1024878,1219309,1467413,1492120,868766,334185,0.955
19,t,10732,14768,28615,111320,111097,97231,69262,142824,154540,124777,102696,143004,157980,233435,331569,332372,191219,114804,61009,42327,34332,21121,17590,15926,0.975
20,u,727,184,99,69,83,276,1025,8118,23826,36917,35494,41054,33474,33532,30186,39598,36779,43484,50162,55362,41667,25958,9800,2955,0.905
21,v,187,562,1260,2540,3933,3804,4174,5113,4140,3935,3227,3325,3346,5184,8339,11826,9747,5585,1607,481,179,124,53,67,0.945
22,w,15515,19918,17966,16735,19729,11436,9382,21940,13145,15219,58865,35393,34525,28241,23814,27226,29545,30198,17188,20532,15230,15482,13295,13502,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
25,z,282222,732261,1697146,2848012,3674620,3042561,3724412,4195119,4141772,3951425,3228133,2342866,2691516,3899994,6011318,7190406,6805941,4640165,2306506,1019119,468551,256045,188077,173257,0.945
