,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,240142,183117,143013,121041,118600,125710,142245,170765,191408,217192,236479,279355,311471,339480,345455,350218,348940,371571,385168,394811,395704,385450,349102,286670,0.95
1,b,304,206,396,547,1172,2281,4107,7559,7850,9829,11509,11428,11250,10934,15151,17230,18564,18919,21670,24297,15598,6971,2805,570,0.92
2,c,308148,184188,148804,132465,93888,108275,179514,418684,605521,863665,948572,1012064,1028377,1222014,1304675,1817962,1866658,2082028,1907622,1780113,1747078,1367862,833071,431964,0.965
3,d,6699359,1897009,627351,279862,229418,682432,2939533,17990546,44208914,77625281,101719911,107624926,114618416,121487121,128215620,162630754,183125180,193678986,206260408,306198531,386105977,274865702,83691224,16235254,0.975
4,e,40519752945,38062447191,42241985092,42469038321,41204885150,35652287535,26608283070,22165137265,19896599946,18737806372,19014892720,21400082511,24242607471,32028881474,43693831449,60241418143,71340806317,81432015170,84449727675,84794039924,89742604746,90823222231,81301379950,65290937664,0.945
5,f,8951405,3505960,1771751,985551,827986,1137941,2715878,10986621,27234873,50523150,70143020,78501874,91483873,117803570,111906448,109677184,109005838,122480690,138666073,180021319,236168340,217197126,100534643,24281079,0.975
6,g,2,1,1,2,6,8,4,7,10,10,14,21,11,8,10,18,15,21,10,9,6,8,11,5,0.945
7,h,26126,14348,21111,29059,54529,119558,265659,563344,684883,810316,949885,999972,1006786,1070709,1192230,1463147,1327186,1060943,816285,893240,686035,360044,136518,34166,0.955
8,i,5443587,2417991,1340813,971028,942192,1129938,2141237,6057839,13097134,20959777,28259730,33746111,51764266,80352860,87425075,69079008,50734320,39506992,30769698,41738072,80007394,72388543,47412805,17961170,0.95
9,j,52582058,89148305,101150969,135743384,142131769,169584843,162491229,167938421,180327734,174878672,194232153,227944070,376194103,454388915,411851077,267045595,104799884,33031931,9730302,3294436,1777885,2022770,8194777,25067185,0.905
10,k,8176,14364,23496,35534,44634,66960,80992,105709,120876,119098,131530,155058,193197,257466,339169,275598,229355,134430,42540,14466,6217,6931,4854,8718,0.96
11,l,27,11,17,8,19,44,65,236,402,521,752,833,722,705,736,908,911,1251,1222,1530,1016,390,175,54,0.915
12,m,775,795,1768,2193,3356,5015,4954,7446,10279,10541,7836,8851,7722,10599,17691,20727,17135,11417,5097,3184,1603,1487,1014,777,0.94
13,n,40102,9554,3865,1774,1565,2896,10846,87717,304489,601712,840471,949843,938631,909290,917201,998929,976975,1148520,1363532,2013902,2668363,1954551,785721,96054,0.925
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
15,p,10061391,8650595,6257816,4699054,2419208,1018116,669259,1007314,1877251,3384863,4962197,7913283,11556617,15850699,22260399,28525959,31976129,47758146,47011979,54156577,57511223,50399770,39931391,24183015,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
17,r,3528053,1572641,1202160,1316567,2484989,6064896,14991963,33314219,56306979,79296929,91077340,99906092,109651660,112685184,116008725,121636512,134892767,155390496,175027122,186765356,140258903,72416581,24544544,6814671,0.95
18,s,46888,15790,9337,5313,7087,13588,44061,203813,435664,681820,853190,906264,1001561,1035112,1121414,1245606,1194085,1312125,1805850,2661720,3332904,2804054,1372222,244209,0.955
19,t,7199,11794,27890,62405,118469,151095,158062,223597,257551,286760,284215,276736,281547,393849,542369,489406,283480,130172,58394,30224,17882,12889,10618,9515,0.975
20,u,212,125,71,71,129,423,1563,6498,16156,30800,44713,47760,47564,47878,55001,54688,59007,69845,75208,77142,46507,15927,3656,744,0.905
21,v,749,3036,11431,23425,31240,26529,28056,27803,29726,32311,29055,20433,23028,59594,123111,122396,68280,20678,4411,1172,325,184,158,430,0.945
22,w,1319,936,942,730,782,1017,1124,1509,1924,5033,6303,6096,5263,6207,6613,6970,6171,4740,2364,3706,3010,2638,2479,3307,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
25,z,275616,766438,1882047,3828538,5045601,5323843,7395991,7194622,7385340,7282428,6452442,5761366,7465034,11608528,16602219,20018118,14812309,7022550,2515157,987263,406645,196436,141784,193191,0.945
