,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,237458,171085,125256,102495,96622,97896,121585,155944,196147,235793,262541,299485,341540,352471,344662,344958,330684,329468,350881,365930,389373,400136,374206,327478,0.95
1,b,172,98,174,296,626,1271,3211,3937,3981,6922,20686,11968,7822,8299,9584,10897,12142,26016,17361,15683,9629,4440,1874,569,0.92
2,c,364869,155903,124394,102977,83942,146041,190190,452797,724549,737183,898515,1038500,899577,859677,1159077,1085215,986055,1057624,1061308,1224573,1606741,1479578,827144,391995,0.965
3,d,4389154,1420859,576343,328836,611284,2768465,10819314,41422014,80500449,110482916,123710593,114769374,118980579,111567416,93543009,71979306,59469730,57761874,76789306,136150644,271619292,261056025,120589273,30741970,0.975
4,e,41720785585,42854751432,47725857010,46673796182,37051867251,27851391386,22357353035,19564804470,17703331274,17103510451,18147786700,21518722493,29373509551,39492412125,53656966477,70881881749,73907551531,73979086937,73970384012,73353665979,68949452102,67695558872,59675090357,45432266037,0.945
5,f,6189492,2423463,1255044,759517,718889,1413223,6153721,20760160,45755252,66629673,91482092,80176089,110692699,108113520,102848975,89621967,80683757,80054800,81338888,103158344,138754220,126738517,70115124,23772652,0.975
6,g,2,1,1,1,1,1,1,2,2,4,9,21,11,14,6,9,12,9,10,5,3,4,5,2,0.945
7,h,13229,8438,9527,15073,28770,65570,133546,278165,388636,481566,574741,625938,612694,615362,654634,755224,812437,830084,796594,716561,549759,330268,160441,49659,0.955
8,i,3206759,1449566,1166264,914909,1064908,1446074,3232235,8861024,16177728,19877657,24123644,26289197,29531853,42081943,51284006,45109915,35489970,24766431,17877495,24263871,40922583,40759669,29671616,15208414,0.95
9,j,27801667,40205950,55591467,95244987,179594037,110237899,112372767,123384412,129612697,116826899,108295977,112671677,169603925,282379530,333557229,217757358,82009973,31266421,10086022,3380988,1520406,1582020,4681848,13722113,0.905
10,k,10948,23533,42984,75478,87213,124311,131871,156305,138701,103139,72350,84914,98057,114426,115321,99511,73222,35314,13743,5838,2801,1523,2131,3562,0.96
11,l,10,4,2,3,9,31,135,357,470,467,611,810,635,505,441,361,367,349,408,464,417,178,107,27,0.915
12,m,727,1180,1899,2472,3276,3355,3336,5844,4925,4877,5366,4858,5022,6033,6669,7846,6654,5628,3612,1872,1248,946,782,554,0.94
13,n,49379,4873,1600,864,1566,3883,27923,190625,666772,819469,1071912,1023924,1084206,842167,633161,478050,410146,413833,612770,945028,1259100,1096369,591263,144176,0.925
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0.905
15,p,21393518,17256350,10775176,5551708,2490690,1156871,1396455,2776065,4017742,5254686,7519715,11475336,17221812,23783387,28181265,26383307,21517738,26019451,34136930,41806294,44045809,38259526,24708342,17137126,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
17,r,2725263,1550762,1566516,2475040,5601915,13748275,31623676,54898894,75572971,90791216,95449670,92981963,94424997,97169806,92161787,90385149,90662630,96800946,112166783,121432690,112745362,68106826,29076859,9351783,0.95
18,s,22541,9170,7158,4454,5726,16634,52476,178433,325666,454973,538510,596065,610154,747662,655746,609782,604856,656203,903056,1181335,1269140,978842,557370,155453,0.955
19,t,5112,8088,16169,28024,43841,49335,50611,71776,82290,87209,86682,71523,71591,96784,144048,155717,134276,84682,49543,31878,21020,12537,8468,5164,0.975
20,u,111,45,38,57,246,1175,9854,24936,31227,27860,25676,18071,14185,10728,8793,7599,9425,8136,10007,11670,10272,4899,1757,405,0.905
21,v,1022,5507,16911,28747,34961,23174,20812,26388,27702,30166,26489,16573,20951,59601,117526,107537,59589,17267,3622,830,287,86,144,321,0.945
22,w,92084,93348,89143,88068,94770,90558,102640,98335,113858,134649,164948,36259,30721,29609,22786,31730,35020,36134,32731,31541,31120,31241,28831,20380,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
25,z,336527,863951,2075384,4043981,5409699,5210876,5986990,6851945,7008630,7170686,6674077,5210507,6713709,9966963,14043404,17669473,16155967,9464606,3871808,1404008,510042,241019,157205,155560,0.945
