,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,256424,181352,135631,121526,133722,152691,193810,225168,249296,259076,273351,310214,338132,354671,340598,343532,358457,380780,412391,443981,458253,452297,406419,337439,0.95
1,b,541,330,423,634,953,1667,3730,8640,12579,17894,20434,21221,19306,23292,25692,30566,27543,27712,28089,27170,18866,13824,5714,1925,0.92
2,c,283420,168594,137200,85944,79165,101403,176787,325575,599021,988316,1205416,1760153,1626558,1978205,2584920,2226907,1931331,2414169,2644035,2742930,2283551,2553475,1508790,887160,0.965
3,d,17139809,4702057,2109553,1098152,764310,1080507,4707451,17383953,69018475,109161846,148279647,160845195,166619633,172011373,195638002,173554861,147728628,137666180,137272708,189527499,253328518,269590923,188722568,69974414,0.975
4,e,49565682795,49067142853,54504507152,56981244745,51045005966,40770319455,34069615073,25967901689,20460794551,19351275166,19647727325,21160125837,25382476600,32220037100,48162535670,63767092827,74080681827,78742101792,76133231452,73470258921,72652436427,68896896891,64317361649,51801143683,0.945
5,f,20220183,5512334,2386899,1527213,1038167,1321051,3483376,9951330,29669514,61975009,81489495,103396431,83980909,103259481,123360064,131790313,147767363,140457438,148285545,164015947,265281217,245759504,188498981,77841935,0.975
6,g,14,2,2,2,3,4,5,5,11,15,13,32,20,21,163,67,31,39,15,14,10,6,17,9,0.945
7,h,54119,30628,33778,38062,46807,95850,239838,438275,687982,851992,977718,1070057,1063436,1345993,1923764,2245252,2180929,2007530,1490803,1108013,973843,730837,429727,165125,0.955
8,i,17787264,8850661,7178289,6004273,5001038,2717910,2970439,7150579,13086512,21734333,28962874,38700145,46424274,56318191,72793975,71470650,59317367,52197757,37706738,28977933,31096180,55151687,62073835,50473535,0.95
9,j,38216315,67279247,86615462,112156786,167609141,136642944,169600162,159678206,158956377,145689220,125961251,140488965,235766044,293491536,287163978,192293070,70551863,22312918,6567403,2428293,1336009,1487303,4588160,16293366,0.905
10,k,23619,39860,65264,122522,133269,205583,321046,246509,221044,200507,164987,206694,227180,298020,404190,443688,349246,184361,68478,26579,9110,5270,5361,10350,0.96
11,l,98,44,29,31,30,56,181,670,1504,1842,1816,2695,2454,2019,1542,1947,2224,3115,3158,3654,2802,1824,701,239,0.915
12,m,2374,3422,8278,9768,11772,10858,12227,13375,18815,25095,20608,22950,23661,35521,67010,93617,79975,50923,27347,9535,2968,2449,1980,1892,0.94
13,n,96209,19291,5326,2762,1718,1736,8356,41461,227700,885242,1099861,1524120,1222696,1708279,1513388,1214440,1033811,1006830,1000569,1292209,1791126,2000460,1449700,541419,0.925
14,o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.905
15,p,24694429,15520519,8351978,3334803,1118878,342147,312256,708667,2057495,4511136,9080296,15597550,22308399,27940202,30018334,30367486,36254978,45822615,48659452,52530857,54824042,60019375,48228487,33867174,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
17,r,4319287,2162657,1690577,2332421,4441684,10258203,24074755,51488304,76605461,99100284,104960246,112230858,117899933,123950972,132542547,148152877,155851130,171620976,175147644,176829722,139904943,88253280,36838272,12999168,0.95
18,s,88518,29186,16077,10896,9157,9914,30826,97346,514614,842629,1047531,1095334,1011675,1205823,1193996,1072371,964514,1131309,1150561,1330727,1658933,1972156,1124513,420247,0.955
19,t,14376,24949,56074,224341,212623,163921,178831,1898784,3038382,314798,167406,184316,230693,409783,603283,504785,291875,185557,76209,42686,23629,15143,18431,10386,0.975
20,u,1596,449,207,155,535,671,2383,36388,128018,177620,141431,166228,137742,105211,74956,94517,128856,170837,184910,201914,165495,90046,33953,8478,0.905
21,v,1086,5616,22811,36273,45009,30043,26903,32273,48390,43587,33670,20987,33713,91356,171345,154244,74220,21518,4490,1050,318,177,553,684,0.945
22,w,1572,2096,1104,1301,1389,1344,1971,3086,4763,6661,16753,16444,8755,7115,7511,7275,11209,9789,9021,7101,4116,6351,3907,2109,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.98
25,z,492365,1476767,3899929,6841349,8316497,4830647,6588252,7945304,7795299,8107448,6922629,5600587,7412019,10081314,13957035,14597808,11492839,6259931,2179926,816362,374607,329250,225476,247462,0.945
