,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,232838,169258,130415,121027,130973,150662,176081,205131,229597,251942,270072,310136,335379,364103,384551,413227,445541,489743,538164,499375,494798,449376,387786,316371,0.95
1,b,392,345,459,825,1366,2510,4920,10415,13897,17947,18676,17118,13025,17946,24016,29384,27522,27906,34484,21131,19623,12731,4243,1611,0.92
2,c,263346,215681,137303,93658,106111,124071,145513,278105,459717,929996,1247801,1644629,1390840,1495478,1854649,1834541,1998038,2356882,2625945,2401530,2698056,2927166,1652377,759422,0.965
3,d,10397734,2187278,736861,579411,569644,653207,3625087,18963202,64557866,103834939,151524536,169860736,166981396,186317735,200265918,187255896,145589663,117714635,151054805,158148719,224976369,273222107,181766213,61769721,0.975
4,e,54776431058,58551808870,64669268158,58955854100,44656221199,30278501392,20976359238,16727463828,14991269594,16284511116,19898435690,23874839953,28985539259,41441486770,61109136793,77868293279,85326830673,93055780279,83215203790,78142111305,73569662537,72671438148,67651215929,57086484669,0.945
5,f,20569190,6498062,2632596,1301776,981343,1108145,2532262,8921675,28639042,61406780,97257900,126773933,107517388,130952689,156296129,161369057,152853286,140655686,138345770,152903196,186631825,237303993,179945259,79876026,0.975
6,g,4,3,2,2,4,4,5,7,6,8,13,34,17,16,20,46,29,35,13,11,7,11,8,7,0.945
7,h,33144,20182,23013,30134,43833,84882,209145,375665,585400,783743,898000,983728,922128,1057697,1590658,1894537,1725876,3319924,1445581,1204760,1093276,975430,548347,198516,0.955
8,i,12233947,5763227,4947741,4363712,2616673,2367711,2723672,8414677,12898025,19266220,25614949,33838625,45568775,49022915,63431751,63842407,51201592,38289613,32516719,24178980,29970404,63661680,90919215,52537255,0.95
9,j,36878007,62701529,85045694,113142581,162610369,128515405,130095423,139691342,136638988,122341849,124124638,161073092,227557057,306384672,307153550,172023853,66299059,18361724,5133979,1686622,898082,1200435,4656118,17523898,0.905
10,k,16825,42640,65232,90994,85899,143795,176282,173519,145564,152487,122474,157031,174624,289826,285899,350413,298400,113792,43473,18464,6820,4906,3685,11105,0.96
11,l,36,20,17,12,16,24,65,242,449,807,1496,1623,1265,1262,1173,1628,1136,1436,1502,1905,1526,1109,299,120,0.915
12,m,2230,4405,6515,6211,7394,7347,6520,8875,8386,8890,9140,9843,7781,12017,25639,34557,22463,15027,6536,3972,2284,1776,1602,1181,0.94
13,n,62561,15078,5313,2662,1569,1513,6623,40183,218332,764735,1075794,1403920,1311589,1693928,1576013,1354416,1210241,992482,979785,1446725,1882849,2026280,1237378,428784,0.925
14,o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,138,31,0.905
15,p,28593823,23969225,12261400,6883004,2861729,976785,665574,1080719,2424096,3859708,6893770,10949856,18761128,25450808,31516338,31512925,27423099,39772756,52189549,57821010,61113560,55088289,43875794,34953190,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95
17,r,3605478,1629556,1321674,1913308,3765408,9145050,22619245,46659219,65761950,85369104,90898642,98370396,103234963,103411504,103905494,105030919,109928616,129341717,145049207,145881420,119581699,73189253,30656826,10008581,0.95
18,s,63077,27775,14510,10237,9408,11702,37836,96236,234872,448898,592413,715459,662496,747098,874754,1025163,883537,958020,988734,1083289,1118680,1102668,757263,279258,0.955
19,t,9506,14890,44824,157993,178514,159139,111226,231982,260327,196167,158676,169557,199829,317632,482407,473431,291713,161448,68292,33755,20708,13047,9547,5496,0.975
20,u,430,131,67,73,151,555,2259,14567,40033,57901,51319,62656,46590,44425,40015,39009,45766,56087,64766,64116,48709,32016,13102,2838,0.905
21,v,1389,6304,22261,39982,49846,31511,26850,31602,43196,44287,32141,19453,33068,99671,192394,181189,76702,22597,4324,813,239,127,168,832,0.945
22,w,4531,2164,1801,2356,2361,1379,1149,1296,1376,5692,8282,5702,4387,5410,6624,7935,5322,4476,2797,2809,3101,3556,2643,2108,0.935
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
24,y,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
25,z,579277,1668170,4120497,6689045,7773799,5111040,6250312,7909278,7667027,7656868,6318481,4885474,10288050,14123465,17664891,18518833,14502447,6794354,2484635,864365,399152,261011,203998,269964,0.945
