,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,291533,242787,200993,171602,145988,143752,149488,173987,223284,263129,285254,320431,350939,358984,381396,378883,357726,348295,345851,358634,381365,396829,398133,379719,1.0
1,b,362,279,540,1100,1650,3179,5543,7885,7717,10851,11471,15118,12056,13368,13176,14625,14484,15344,14780,12234,9881,4602,1913,595,0.91
2,c,109507,87773,58675,57855,141262,138553,234631,358820,463526,1049831,1201049,1334785,1132891,852772,979776,1126905,1020070,1156214,992255,1404085,1130804,1079454,628297,297816,0.905
3,d,3912418,1339225,360693,258571,489564,3112043,15317497,45070131,83051555,110038360,124894777,122275277,124102594,122177625,108095206,99890795,90600682,84147729,101393778,170258430,233810687,256113511,139888868,27467636,0.935
4,e,37111740844,38708777246,42475189046,43731265846,36502297866,27734717606,22511972259,20176495176,18459154205,22839463480,20873026971,20909869951,26882516421,36574808520,48610690737,56113076450,65211134298,63526714651,66214258044,65543585829,62270038711,59312310638,53748540679,40242889811,0.93
5,f,8778941,3360007,1438884,798389,720826,1554714,4982002,14496553,31142698,47421769,62134640,64532318,84626856,92948479,99217926,87091665,69377758,63238711,67128448,95495113,123672048,121606797,85222245,29890070,0.93
6,g,4,3,2,3,4,5,6,5,6,10,21,51,25,20,23,26,35,32,17,15,7,7,6,4,0.96
7,h,47752,78355,87877,26973,46020,100142,193804,357997,423365,585228,672216,835481,1066931,1098423,1015508,982617,1068745,900272,670340,601524,502830,334312,163388,54776,0.905
8,i,3998486,1961113,1631330,1129063,1287075,1794052,3787617,9737740,17975673,24326785,28248093,28121276,31155811,41272232,44739326,38246380,33290248,24461070,18820090,19888151,30574841,38369191,25960879,11375259,0.955
9,j,37892384,68347471,89647267,119013473,160938612,134256279,139386911,147381539,148208637,120991392,101910032,117099216,183519229,305282083,355592337,218268940,93845027,35976360,10764396,3812717,2061670,2658570,7199298,20456195,0.93
10,k,24559,44952,61034,76041,51411,74723,80931,93532,98402,101936,79728,97008,96797,104614,124712,112546,84767,41492,22127,15551,11018,9101,9597,9964,0.935
11,l,23,12,13,14,20,53,111,174,275,422,466,761,760,658,475,394,400,429,455,530,421,374,197,67,0.915
12,m,1248,2008,3982,4736,6335,5188,5156,6755,7276,7928,7357,10187,8965,10135,12629,23747,18994,13443,8183,5150,2563,1406,1104,794,0.97
13,n,24386,5583,1852,1146,1261,5178,27698,105137,269927,395809,542836,572017,683881,707113,725866,631907,587853,657960,908731,1292886,1529622,1599712,981032,234181,0.985
14,o,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0.92
15,p,13678468,11955065,8117294,4219970,1845303,1135448,1097601,1719094,2472842,3097351,4264659,6495313,10212549,13522727,16285418,16881792,16750401,20157095,21486401,24056475,28623936,27901046,22189324,14448573,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,2019713,1000244,704922,990258,2128685,5453936,13720454,27551171,39869934,49640598,56866431,58831316,62228401,61379477,57401898,49845976,47115348,52798428,59170859,69176229,69334519,49808679,22162528,6964102,0.98
18,s,31443,13683,7767,6151,7406,16098,55871,153964,281814,362518,405155,485939,519678,511853,518817,517408,519287,553364,598928,825112,928142,912340,468646,139271,0.96
19,t,12099,22048,57211,156544,159173,135300,96594,193132,193235,145547,116088,106702,116967,139431,198781,208176,148057,77664,36403,17842,9860,6841,6495,5338,0.945
20,u,259,85,75,131,258,741,2835,6938,11487,13433,16422,18151,19230,17475,16606,13069,11146,12619,12834,14897,14568,9590,3740,1003,0.99
21,v,900,4232,16110,32400,37951,30032,27684,32547,41277,41622,32750,17806,13462,22035,37434,51120,44891,20058,5494,1436,392,186,126,279,0.98
22,w,8253,6132,3308,3563,3556,4634,6564,6535,5808,9105,20165,15665,15512,13014,15914,11898,10361,9907,9926,9746,7928,6563,7755,5613,0.92
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,z,497761,1504156,3763264,5646385,6627264,5103314,6654693,8208191,8392342,8147021,6551849,4250510,4570912,6232232,9343453,11403501,11153891,6789541,3014943,1279368,457692,219281,147402,170561,0.99
