,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,259721,197020,158524,147474,173149,178943,219257,240200,270065,286775,306895,357790,406732,424297,428458,438866,477253,536307,587725,621785,618831,563661,468984,352401,1.0
1,b,349,419,779,1353,4105,5340,15842,19046,20395,21590,20046,19234,21018,29174,38591,34370,33899,35089,43719,33633,19426,7088,2120,502,0.91
2,c,157218,114773,90668,98806,117174,164516,332405,731378,960238,1318170,1498451,1609149,1489430,1566244,1771713,1952056,1843891,1905558,2766615,2316367,1921119,1348379,832791,269254,0.905
3,d,4145777,1198969,469133,328732,637212,2998679,14615996,49711485,92781723,124903763,143284491,149553299,165108363,180747485,170375406,140071675,114173975,109421721,148936268,242565421,315150783,239783542,69565730,13704523,0.935
4,e,59849148053,68452826074,70543325962,72507466543,59470024195,45853298859,35062224440,28754564847,25167645845,27673798372,29966053432,32687357214,38989055442,51909561571,72432737081,93407394364,101253419868,105958791589,108056414635,107353697601,106066762743,109972424236,95460552754,72163597936,0.93
5,f,8515639,2834023,1280051,1079113,1323397,2649557,9504343,27229236,58190373,80520076,105925069,106189225,142679328,155059098,150084316,152725426,159452400,176055396,166597854,251139488,366103511,282442210,112494966,24208258,0.93
6,g,4,3,2,3,12,4,17,7,10,12,12,61,41,14,19,19,18,29,24,14,9,6,9,3,0.96
7,h,33281,28740,35960,52186,97249,204041,482369,733067,962623,1063783,1074790,1135839,1248208,1407586,2090292,2487838,2532882,5605097,2281666,2039329,1384935,870861,434702,97604,0.905
8,i,4488041,2696067,4694650,3869927,3744153,5552918,9894256,19364670,30624787,36471997,49244970,50790843,59781408,88238501,98883659,80902781,59001855,41376768,32790946,43794547,69493347,71274435,46550275,14547880,0.955
9,j,44245665,83059905,124000917,148441653,164131887,181343480,183996977,191238837,203637128,206067851,227276314,337956224,417898236,503006308,447238234,294499941,113479038,38971760,11275412,3744872,1823639,1953550,7242918,20903546,0.93
10,k,17753,42258,77722,146340,176792,225619,324807,300272,244686,253366,213997,289043,335818,357466,503186,547731,404257,196173,72765,22255,6856,3536,3688,7836,0.935
11,l,18,6,7,10,53,55,913,923,1194,1121,1079,1737,1574,1142,1014,1064,1655,2805,3408,2701,1169,332,103,64,0.915
12,m,1733,3651,7998,11499,15833,11780,15186,14575,15503,14998,14400,17440,19820,27903,52858,57778,34824,21648,16850,5400,3192,2396,2027,1621,0.97
13,n,20041,5165,2125,1343,2913,7111,49857,211017,753450,1070240,1353761,1229811,1696560,1525050,1259162,1097862,953594,920766,1421314,1812832,1998776,1480376,492403,107992,0.985
14,o,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.92
15,p,12137004,10177204,10022602,3994090,1833635,964188,1151042,2024174,3066512,4883908,7413854,11582463,17639973,26555177,33209975,33524731,31519664,40208112,55147874,69790762,85255376,62950372,29889732,17172777,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,2715758,1338095,1311758,2161000,5296982,13144322,32707530,60720937,81862197,96146092,102224612,109485951,116652988,122317422,130252916,133113914,148591227,176037210,192130629,173338514,126059144,64351135,21901729,5944660,0.98
18,s,26699,12978,13391,11697,18879,31070,128683,331796,663617,949453,960298,1022125,1257771,1171822,1160675,1069194,1095847,1337733,2079055,2211996,1774836,1057761,321762,75607,0.96
19,t,8541,16717,34327,50816,67335,85288,115579,130090,137139,156391,186939,205330,232612,298176,417933,388856,306677,181866,93259,66157,33083,15084,10958,7531,0.945
20,u,343,142,107,154,401,1415,6516,14395,30947,54119,62906,67400,67048,60709,62292,67547,95576,149145,172346,142867,84513,39127,9980,1474,0.99
21,v,1439,6332,27259,47078,62333,35838,36495,41790,62224,73858,54379,32444,51823,155071,274807,239256,112460,27272,4992,1673,331,154,224,884,0.98
22,w,1054,964,1178,1539,2288,2403,3402,3044,3521,3931,15251,15184,10054,8895,11087,7160,5461,5645,7024,5792,5391,2481,2587,2102,0.92
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,z,789267,2042349,4861016,7609462,9126113,6344119,8328457,9633154,9813378,12559790,11961441,7995181,10326105,14046826,17733403,18403272,13896255,6791051,2619405,1127295,544203,350143,273737,397404,0.99
