,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,300878,233577,181766,168655,197050,213698,191875,214084,248581,273982,294974,331464,352473,359438,358518,355300,366932,382777,411706,435900,485229,477124,446319,371606,1.0
1,b,1013,1522,2576,2079,1960,2536,3310,4889,8106,10130,10689,13588,16990,25904,20967,21624,25053,24597,21908,18518,16812,11511,6213,2343,0.91
2,c,357595,183536,98434,95122,60877,63811,72952,95960,195268,345998,534421,693225,669077,762456,835769,947006,1001675,1260021,2170265,1763787,2554475,2555048,1465364,894005,0.905
3,d,83851275,20948709,4076845,1202923,553778,394991,678814,2300936,11586191,40956969,87633283,126277824,127043532,143210523,147508848,139290718,170443352,212237230,210432722,226735416,352695663,501708598,488672791,231556092,0.935
4,e,47810138022,45439593237,45265952088,50018866662,47009978937,39446723030,29219295074,20923095273,16504459472,14486620025,14675632232,17996117275,18153136289,22275451471,31466598262,41992974215,52751528416,58325126653,61967082895,61612604420,63693740613,65255129710,65103269415,56188337130,0.93
5,f,36671577,11079002,3550585,1742387,1145915,1102378,1819661,4331815,11860150,29488544,53658614,77871684,82782507,96739006,114611999,119901786,120503434,123504460,138648918,147412136,190728573,268432126,234165762,133035488,0.93
6,g,1,2,2,8,6,8,7,5,18,7,6,12,9,14,20,17,23,11,6,2,2,1,2,1,0.96
7,h,94841,40289,41534,61516,114815,152192,206477,327009,519570,767776,1101077,1201912,1296303,1351379,1763134,1829144,1827701,1681382,1254768,1055195,1310602,1013126,655508,287428,0.905
8,i,26839771,9998359,3989079,2274300,1724261,1858067,1849489,2929482,6537332,13857757,23654198,31450304,31750868,38742213,56295511,53761760,45090242,42427163,46545961,41815805,49572738,70581522,79924845,72749786,0.955
9,j,27194158,46285948,65516724,85880852,133753901,105107681,103990824,114589647,123430726,101978755,85598738,94866602,136428028,183631999,191232432,148886979,70275440,24716900,7798231,2911076,1634834,1618455,3530961,11310648,0.93
10,k,10884,24559,37485,73852,105995,140519,144813,138652,122148,98988,78626,97617,90560,104926,122585,112620,72684,39117,21964,9121,4040,2365,2168,3718,0.935
11,l,37,17,10,7,7,8,7,13,62,77,116,266,292,315,354,438,453,463,596,697,573,498,333,133,0.915
12,m,825,1517,3077,6441,10905,12911,34629,14635,11265,9552,8704,9155,8504,11562,21624,30399,21113,16182,6374,2711,1764,1628,1339,781,0.97
13,n,528763,229037,56851,15060,7334,5225,6516,15376,69650,286489,642227,984674,1110448,1334158,1651286,1332129,1370501,1283663,1557706,3047850,2634168,2530437,2549151,1517902,0.985
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
15,p,20875601,15056376,9996975,5282708,2199718,777355,315631,189761,354549,870861,2479344,5986990,12296416,14155729,18232169,22633279,22696578,28105622,32884228,33491817,45460976,52031798,44000749,32616643,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,5018734,2068114,1263985,1561824,3017342,6293929,14286513,28525550,41308700,52385681,57609695,61282480,64061388,65885651,66494387,66230828,67173664,76122155,93267076,102382913,94531810,69121845,37933864,14885972,0.98
18,s,293015,91376,33803,20066,13873,13826,17709,39373,122275,293464,506506,641137,605433,595823,696349,650279,755100,757736,852607,978557,1441614,1741155,1276290,685633,0.96
19,t,13234,30431,52148,143340,180445,162219,145686,172772,184313,164906,158268,150975,146669,203443,280828,249800,197149,130133,70728,38196,23637,14994,20844,11913,0.945
20,u,2579,688,278,193,249,585,1415,12813,55712,65304,57821,53614,44129,34362,28395,25543,26212,25463,27753,29921,30788,26035,14961,5245,0.99
21,v,1454,7439,26794,52035,63124,47342,69181,50996,59689,52816,40532,28624,40639,94159,162982,138847,72767,21317,5200,1162,407,206,184,652,0.98
22,w,1263,1537,1256,2284,1518,1268,1055,1398,1594,1100,10654,6984,6437,3954,18083,19046,19656,15636,11883,12154,7534,6968,5359,3574,0.92
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,z,375309,1228714,3261297,5382011,6232054,4553635,6901113,8007006,8005462,7303409,6117736,4417811,5983867,8205728,10812922,11670386,9929471,5062108,2098304,748905,308472,157090,125568,161373,0.99
