,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,293350,254221,213277,192214,172727,169815,170763,185656,213361,234502,263806,287758,307277,314276,307835,311285,300631,296812,305561,330849,353220,379026,356705,333898,1.0
1,b,288,345,363,596,925,2100,3231,5850,8369,10867,13705,15754,17903,14196,14393,18791,19145,18775,19627,20278,21588,11213,2888,844,0.91
2,c,200270,238925,199868,159508,272540,334164,301316,518817,812437,1040318,1145521,1171764,1144158,1511723,1507983,1509783,1440819,1958270,2131692,2235924,3284056,2416127,1039607,343406,0.905
3,d,7985013,2008633,568620,237170,245167,750607,3799544,17689714,45318215,81923570,97047119,100974728,112527677,106885909,115506801,132672114,139107885,151655467,159934721,222661378,278985707,356318424,185966555,50195857,0.935
4,e,36861720842,35991179465,38943997359,41679424730,40138000041,34133735876,26443276050,21997749895,20729370929,19101952842,19353469252,20567674956,24908140240,32901418787,48962862023,65038428861,76518596347,93768185026,86614603464,85775319221,88299575850,87934833673,79211795391,62765222764,0.93
5,f,10878941,4074204,1972418,1098918,979629,1418422,3617454,11694729,30426183,54158712,74141429,85244501,111670925,151356058,160841044,161511581,175774484,263114880,161682565,202843571,250850830,249858450,155498530,48000347,0.93
6,g,1,1,3,2,5,7,2,4,12,7,7,31,13,7,12,13,16,24,13,10,12,12,7,5,0.96
7,h,24297,15109,21082,27910,43642,102758,221365,413725,640003,761359,854256,921206,920002,891769,882689,972629,1102677,1222987,936723,973826,1161363,934416,368662,93742,0.905
8,i,4290618,1763928,805849,881334,712054,939127,1707464,4694970,11139534,17896333,24007312,28169407,39917455,65244950,74578705,65186821,59527084,55832027,37709895,36444123,53293921,73922121,47132286,14851707,0.955
9,j,46235192,81271882,103782625,127003633,138069308,165281611,156218256,166646462,184864704,188905897,200701017,283071413,400303381,611836661,516509228,351572348,114334255,34773823,9142787,2797832,1374715,2094166,8173260,24308819,0.93
10,k,12719,37642,64963,104340,97842,120277,139717,178417,246364,158689,187019,256094,367203,337865,374447,326693,165117,146767,45186,13730,10596,6763,8904,23176,0.935
11,l,21,18,19,23,19,26,132,178,364,442,540,1063,947,1349,900,766,1005,1117,1086,1220,1329,874,226,90,0.915
12,m,475,794,1288,2106,3770,3607,3026,3415,4745,4763,4659,6182,5548,7025,8181,12177,10541,7083,4565,2299,2150,1340,1654,1001,0.97
13,n,79227,12398,4169,2101,1552,3282,16448,101355,427140,790099,1026778,1159367,1120922,1148347,1313777,1345715,1358920,1646279,1855682,2371578,3247370,3157455,1610210,349372,0.985
14,o,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.92
15,p,9771099,8212868,5869987,4738317,2424270,991365,686042,964111,1903631,3426801,5035492,8232094,12030393,18046374,29006246,42790362,46845351,48116300,56547788,68602499,78103381,95797642,52794107,33325483,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,3173511,1168189,734559,909315,1581031,4081055,10184950,21609824,36284389,50942220,63026611,73946845,80102551,83082117,86307069,91277966,95999254,106681557,110828046,118969545,118040881,80705707,31727741,9437314,0.98
18,s,52410,20040,11072,7884,7950,13067,41425,149797,374529,551769,697231,881648,933267,1098105,1063262,1013258,1020106,1144378,1072288,1524132,1627164,1333255,572760,125231,0.96
19,t,39640,48729,68365,117471,135323,146486,152588,188786,219610,223038,243634,267932,289174,350627,457317,382243,212329,107145,39326,22220,16514,13280,10999,9843,0.945
20,u,398,128,92,81,187,491,1885,5443,9387,14815,20258,30870,26444,23619,26723,24485,23805,29254,30764,32948,36092,23666,7961,1901,0.99
21,v,1072,4482,14079,24665,30980,24835,25803,24686,27279,30592,28464,21907,17187,28417,61190,87722,55181,29656,7098,1949,571,300,191,333,0.98
22,w,3654,3384,3479,2745,3961,3790,3574,3844,6835,10340,19302,19381,23246,22503,18271,19988,9453,10006,5651,5130,7737,7594,5626,4353,0.92
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,z,342546,955372,2340762,4936237,6796557,6984082,8997926,9063355,9717953,9189044,8209226,8761221,10223247,14740366,20245846,22568627,18530318,9964200,3939641,1371930,519072,283004,196629,272072,0.99
