,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,324302,275416,234530,205836,181590,166536,169427,183329,213737,244201,267257,307060,346546,349725,354654,346623,329322,318257,331968,345873,369069,373948,381454,364224,1.0
1,b,247,195,375,850,1273,2358,4482,6602,6399,11519,10354,11760,10546,10992,13538,13508,12725,14994,10324,11298,9518,4964,1717,504,0.91
2,c,440130,155837,103643,118910,117559,97626,153383,323400,465762,542352,606539,696452,727171,646396,780980,869445,735144,720707,717081,818440,1072288,865106,586665,271153,0.905
3,d,3946625,1087227,378973,264776,400313,2292187,13402493,44598412,82308547,107405956,114316071,110665804,115225743,112163927,96960819,88320764,80696206,74829681,87090631,125094116,187780085,206728372,113520576,33268376,0.935
4,e,35822085926,36179090461,41430993271,42674050590,33190836908,25224664649,19196478314,16785151547,15157897178,14635942787,16312869706,18993865373,25245237544,34616924013,46929174826,57454950040,59850718402,58393795945,57725192861,56856909791,57476739033,57374986736,50308466958,40389810938,0.93
5,f,11538287,3869170,1735524,1029191,835263,1383388,4698390,15653583,33728801,51310770,64241745,72235525,90503747,95541121,93778198,87182526,81655643,83076271,92752781,118130404,249143323,250455376,152377559,59478017,0.93
6,g,4,3,2,5,4,6,6,5,6,12,17,24,15,13,16,18,16,12,8,16,11,6,6,4,0.96
7,h,18703,12668,17155,24847,44075,95613,201495,341937,432145,557281,598816,671752,787829,823346,892533,1177320,1107628,834952,590936,544425,536515,353101,167840,52880,0.905
8,i,5274889,2967142,2719500,2073102,1481709,1391244,2457379,7745365,14792107,19694320,24604084,27105330,32456613,46351002,44689376,40376780,33536954,27994110,23159509,27930833,55692086,51934541,37777210,17739071,0.955
9,j,52703917,99835849,151128712,179757716,204630991,210003808,210102688,237794556,255945860,215931753,153486362,215203558,517833457,558715176,574942997,374688036,141571076,61375655,18572673,5813706,2589003,2804944,7013161,19986510,0.93
10,k,15577,24361,39487,48325,39914,56456,72756,96172,82549,78493,65148,70048,89648,102606,114064,97465,56479,36881,13572,7338,3996,2747,2801,5388,0.935
11,l,38,26,13,64,27,57,119,141,287,303,302,502,383,358,335,305,295,443,439,615,604,381,97,47,0.915
12,m,1073,1387,2904,5448,4971,6390,5397,6169,7440,9255,8400,7799,8532,10612,16009,25952,20251,11640,5961,3004,2238,1336,1002,747,0.97
13,n,37361,10764,5004,3818,2752,7044,37320,147726,634326,739669,759524,777778,833164,815810,816959,759166,667187,749593,994360,1753856,2083831,2054687,1088071,324124,0.985
14,o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.92
15,p,18509011,13721409,8820069,4836339,1744331,824572,689528,1109216,1788811,2738566,4293212,7460411,12379741,17522064,21577445,21514753,17414404,21147988,26120562,31834765,39958760,39368870,28756129,18218865,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,2078040,993932,707656,941442,2049899,5474318,12820074,25593689,37786297,46708806,52684436,56478547,60001627,60363605,55883171,50001542,46903284,51193851,58335655,71613963,76069700,52343813,22732882,8022324,0.98
18,s,53604,19563,13733,12329,11197,30339,73572,182473,334997,408608,454413,534260,567712,583389,555863,552660,529010,527073,635084,881229,1053487,1005922,468715,140754,0.96
19,t,11396,21667,58543,207388,198468,172424,122821,245026,252243,164993,124847,115319,116763,179570,271347,260552,179414,92536,38126,18527,12005,9322,6461,5892,0.945
20,u,326,91,78,82,161,784,2615,5983,9846,11262,11808,13257,13032,12432,10216,7584,6845,7104,8967,12323,12742,7529,2517,776,0.99
21,v,1105,5026,20457,37383,45097,31302,27918,34456,46566,44527,34239,20352,20110,36220,63059,71191,46528,18353,4864,1190,397,172,106,213,0.98
22,w,4453,3857,3275,2497,2818,4325,4214,4828,4590,10223,18380,11365,10352,9652,10543,13229,11540,9627,10076,10333,9105,6668,8951,9182,0.92
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,z,465883,1398691,4204915,6701884,7895114,6136622,7773007,9675153,9952222,10128300,9343803,5141710,5294290,7276761,10559747,13828727,14077540,8417363,3778970,1449622,594830,276460,185235,217097,0.99
