,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,296622,234475,188686,162959,146157,148431,166739,194521,218226,264570,269550,336614,396943,370400,344534,341532,345400,357828,348734,368514,390419,414082,389310,369928,1.0
1,b,220,222,347,551,1382,2982,8593,12872,14254,18224,16776,16327,13222,13926,16926,15468,14547,14758,14143,14894,13245,8129,1697,475,0.91
2,c,228715,194154,124375,95166,152045,188861,257299,533365,942496,1856013,1813915,1578830,1518319,1377428,1588173,1524852,1235964,947302,1092913,1318897,1784317,1617729,789424,390264,0.905
3,d,2741211,772833,345881,221981,503186,3578361,17139575,55100990,94789441,131294563,137569378,149270488,155016567,167982749,148691901,122050020,91504534,82840837,106227588,160631769,231696702,200059106,85835098,17118474,0.935
4,e,44025123464,45235208131,49552746665,53951838446,48592010519,42150358187,33279982424,26003548963,22165040361,25252160580,28299651597,28413721043,32029102649,42090401594,54739545721,64876933678,67209286085,65949306026,67350156694,67996242859,71793358017,69946339431,58650021325,44201862146,0.93
5,f,6851755,2548905,1284554,839292,988769,2754479,8748329,19539721,39097735,59469997,82281993,75710882,94888682,100153716,99437297,92570641,84298242,80129287,83544620,110636286,158572892,160812767,81960143,23145257,0.93
6,g,3,5,5,1,2,2,2,2,4,7,9,15,10,6,9,15,11,14,23,16,18,24,6,3,0.96
7,h,12759,7980,13050,25269,57302,142286,376063,660006,916654,1083317,1209932,1329412,1250619,1180610,1175551,1282203,1306068,950869,891200,758641,671570,446823,158627,41294,0.905
8,i,3975943,2058503,2127713,1499773,1661294,2335539,4713515,10708853,20764202,32112151,42658820,40832750,43036802,52717358,62260778,55944483,46480725,34210554,23809005,29163957,51790222,65046118,43205184,14562208,0.955
9,j,39010694,65516153,89581743,112315989,165313316,133660547,142255558,158024589,165327320,144309444,120314776,181254405,257470492,364283912,338036670,223578480,76150361,22360228,7010429,2315353,1235418,2030215,8144215,27061661,0.93
10,k,48752,59654,82632,89155,110179,155319,160638,141830,137953,165302,142534,125574,143290,190390,245700,204665,133615,68182,35170,30085,20149,9875,15025,17330,0.935
11,l,15,8,5,8,32,83,224,211,359,850,488,567,438,410,379,297,224,247,286,540,701,548,134,23,0.915
12,m,854,1714,3051,3634,3921,3819,4528,5634,9178,12870,7082,6819,7637,13852,29088,41553,26713,15032,5917,2676,1793,1812,814,720,0.97
13,n,18446,4494,1612,1070,1435,8501,55344,192845,587157,675540,985551,823038,1103548,1101984,933871,876826,689432,677216,976250,1388502,1780938,1538244,632560,109816,0.985
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.92
15,p,21508850,17721773,9795616,4522642,1972349,915306,1022410,1798653,2801770,4475737,6289295,10255387,17667271,24292187,30970052,28919214,24185802,28996889,35222831,40551718,49823524,47802154,35373102,26054205,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,2462606,1154505,892191,1369430,3224743,8415657,19139406,37797559,52964775,65756805,74240864,75513559,78586015,79472244,80759453,69267919,60713891,65038599,75314077,83793983,83150113,56063385,22340948,6661026,0.98
18,s,25173,9945,5940,5587,8855,25512,79025,171391,279416,385510,421237,499410,489444,561056,614912,580374,524649,532961,623707,919770,1058080,994736,354189,86517,0.96
19,t,14833,23517,66831,224801,215952,189110,127495,286989,313764,250884,228942,329288,433198,609586,693774,491479,230030,90055,31209,16985,11263,9658,7998,7398,0.945
20,u,387,114,92,129,412,2286,11701,37039,49787,44370,39329,35709,30825,28096,24495,18110,12990,14223,17963,27540,38606,27661,5917,1116,0.99
21,v,1058,5044,20816,39250,47855,32665,27522,32848,46371,46527,37012,20970,17208,27685,60555,80146,51674,21280,14887,1477,418,280,116,248,0.98
22,w,3425,1800,1797,3141,2999,2869,3728,3666,5081,5513,11181,11149,12607,12145,12503,11642,11733,12186,10191,12307,15301,13274,9614,5098,0.92
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,z,492907,1540712,4121038,6340573,7697115,5813451,7705120,9341001,9403977,9224765,8331088,5682007,7570028,10717593,15534660,16425760,13642326,7623520,3404280,1197940,464356,259419,180529,275471,0.99
