,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,261391,191216,155547,120780,126071,148149,165015,191590,229272,254742,270633,311201,347891,367346,385578,403415,446517,495708,524033,558975,559565,509416,442249,336826,1.0
1,b,1405,633,1571,884,1175,1772,3077,5688,10186,13559,17202,16678,15575,22630,29978,33554,41880,44818,43004,36591,33090,18277,8992,2249,0.91
2,c,508694,254139,209296,102327,103127,108360,112861,280734,529297,901401,1521867,3005214,3087185,2240727,1324518,1693181,2112223,2162188,2474687,2611645,3013918,2756980,3038915,907982,0.905
3,d,34268364,8437525,2127916,653273,377770,323669,739053,3606282,18978177,56150936,110610007,135573392,135373012,139211534,128271613,133472137,170127233,192874048,225205532,296652417,412466128,436703226,291707677,84457715,0.935
4,e,53095403135,48786441555,50770273569,56541313618,56207500686,47097476426,36760524873,27445146106,22615526279,21035602048,20141843743,20910336005,22060617686,27495699284,39263589415,56953400000,76034365184,87192685449,94305831352,97971524258,100485983522,100878605454,101106508897,86169318018,0.93
5,f,35309808,10946353,4231847,2264907,1480410,1327217,1976602,4610601,16619694,40283006,61101856,90100654,95268589,113877359,122618553,134539376,148375755,178068475,200417290,244986619,374915126,331047729,235937826,109781130,0.93
6,g,5,2,27,3,7,5,22,4,18,10,9,29,14,22,15,22,39,29,17,14,14,6,47,6,0.96
7,h,153667,51065,50514,40052,53772,65029,137578,313947,725661,995610,1186666,1344657,1268781,1585989,1915729,2295025,2456740,2356214,2115272,1840477,1467991,1151592,677751,202255,0.905
8,i,17033780,6314045,2954426,2120523,1700206,1493609,1474811,2879411,9570462,19030401,30151723,41001595,46166522,65180854,103478581,106099748,81261843,65958370,61082126,48438113,66326077,91204363,81967922,52120976,0.955
9,j,32565985,79090351,100438705,123191020,129227780,151190942,153104952,178257619,188269231,191185557,198930313,227276314,352257951,501771187,408900479,312739439,122475065,34744113,9628230,3372498,1607403,1632108,4432091,15738875,0.93
10,k,10538,20392,37883,44155,53067,70949,86370,100365,126480,121900,121024,175830,212145,258628,286874,268921,222616,115080,53757,21098,8432,4486,6665,8165,0.935
11,l,156,79,155,20,26,25,71,84,256,360,716,994,830,811,898,735,1112,1384,1515,1551,1444,927,779,130,0.915
12,m,2575,3052,6316,6697,9133,10884,14752,16310,22002,21821,20417,22029,21138,29633,34761,51645,48189,28532,13167,5584,4677,2798,3214,1452,0.97
13,n,241621,44785,14271,3784,2393,1462,2654,11575,99547,339113,678746,975870,933519,933996,1002149,1016173,1164409,1326931,1260308,1766080,1940911,2326625,1482701,487806,0.985
14,o,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0.92
15,p,21212521,13960747,9885567,5583369,1958558,706988,349611,409841,962802,2306230,5662951,9815911,15143084,22466851,30021977,36218668,40822973,55201779,61143779,73573174,74426030,71854001,61340993,39356181,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,7582649,2853638,1408280,1374976,2018270,3821201,10152218,24672342,49520552,80250977,104442098,127018927,134706197,146385927,160070193,173213098,189987492,217781171,232559469,235380257,192455603,122641504,53711544,17314054,0.98
18,s,238085,66021,35804,11807,11913,10387,15165,45336,216025,512533,802950,945096,976267,1308680,1159580,1376701,1396553,1514972,1729450,1930978,3127851,2226772,1292011,441741,0.96
19,t,14312,19109,44259,75547,134198,151413,166191,209562,264516,285324,261003,284906,278427,393327,542929,535184,377344,183587,80820,39572,26618,15844,14091,9191,0.945
20,u,1918,583,348,184,211,218,833,2277,8124,17992,28830,37667,38389,42737,40656,50408,60331,83074,103462,104694,87049,50536,22647,6071,0.99
21,v,710,3269,13241,28993,41832,32091,34690,35927,40958,40835,36212,29657,31619,85952,174328,158730,79848,26357,5419,1193,351,140,181,339,0.98
22,w,7507,6628,6395,3064,1418,1340,988,1034,1566,1570,2583,3173,2495,2156,1868,2018,2802,3285,2874,2782,3326,2340,2013,1419,0.92
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,z,264649,629759,1604360,3305304,4613907,4971339,6338349,7141661,7306216,7186453,6902798,6209415,7736440,12060770,16363545,18217164,15437595,7487741,2852721,1002993,460469,274711,192283,264957,0.99
