,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,244653,189094,148256,122530,122788,131599,159215,189686,217011,237502,244561,281752,307246,307703,304470,314503,326737,353267,367186,385179,404603,398620,363917,312409,1.0
1,b,831,362,588,590,1075,1264,3305,7633,12470,20923,21832,22284,22131,25559,30266,33939,30277,28582,51087,32321,27942,17700,7877,2422,0.91
2,c,330712,199119,252233,235500,100268,78568,154022,374406,803049,1183365,1551843,1727921,2022448,1683516,1980113,2284099,2780208,2399124,2824039,2561119,2404757,2265936,1779624,933351,0.905
3,d,23735973,4530851,1369451,651195,327380,567285,2900947,14203367,60609340,106496976,162027763,176818115,183917248,205434086,242657552,227947016,186793732,170396975,192919733,228991163,308708785,354617113,261561566,97202627,0.935
4,e,48371260476,46504543511,53233593816,62627612964,53205507166,41039458640,31362180906,26905910707,23754988877,22581428591,21070394165,21185731491,24100296490,32752471041,50081376597,69071298812,72480639754,76776708035,76883036514,75911881750,77933590743,77089647975,71104532758,59563667904,0.93
5,f,25925824,7762376,2936204,1677007,1247577,1352784,3163860,11146055,32006716,67857552,83599619,111539567,91877682,118309161,142999806,145822843,152728935,156442782,170003910,171347508,259796809,281460030,204265672,91320652,0.93
6,g,9,2,4,2,5,2,5,7,8,12,15,40,48,29,18,33,38,47,17,22,7,7,8,5,0.96
7,h,64433,34711,39363,45382,52451,78075,232612,417526,697714,883690,967051,1107318,1142144,1463689,2045330,2402710,2235399,2091597,1587123,1266962,1119663,1305534,486671,206869,0.905
8,i,25817400,9667030,6002506,3633394,2612261,2395118,2241764,7185048,14769759,23740755,29952041,39337611,47345499,58108479,80258158,81904212,72275548,61618927,51809970,36281024,44614851,100617927,88192262,59348460,0.955
9,j,38746331,66577640,91659592,116498290,181119864,137951940,149335663,179983006,168781993,150694326,135981472,160871400,251871373,318817394,293432267,204622157,87482801,27205742,7494289,2461326,1293021,1400568,3782951,15048515,0.93
10,k,19185,29632,46708,61355,73714,99317,134398,142228,128244,122457,95367,115804,131125,157384,175022,253562,145496,78527,54625,35778,16348,12572,11959,17379,0.935
11,l,141,51,51,19,52,22,136,854,1400,2310,1766,2741,2440,2110,1476,1689,1805,3062,3369,3624,2668,1631,587,237,0.915
12,m,3637,5172,9000,10428,14676,13643,15848,21084,23416,23811,20509,25685,32609,41872,61288,89705,66235,44939,26539,8794,3481,2690,2164,1702,0.97
13,n,167699,25971,9596,3354,2224,2119,8092,45656,291030,1131995,1274619,1718352,1476414,2088399,1875342,1495823,1254228,1173676,1153154,1644458,2202924,2796804,1889854,683541,0.985
14,o,1,0,0,0,0,0,0,1,1,0,0,2,1,1,0,1,1,1,1,1,1,1,1,1,0.92
15,p,17251137,14860772,16333540,4518613,1267229,497326,368843,684256,1931848,3759509,6827165,10578759,16067051,19577354,23726628,25537507,29928950,35867393,39888057,43980635,44993186,47748332,38058288,28943436,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,8345841,3294824,2140815,2141427,3457417,6948598,16316267,35721528,58263907,81761355,101430214,116604199,129986221,141151407,152862314,151491379,142660168,164816808,198743242,197011411,172261102,126588735,62798493,23749379,0.98
18,s,164589,53890,26289,14117,11365,11522,32111,96367,369882,800656,989849,1143390,1249846,1409713,1396674,1214569,1221703,1486343,1445323,1506933,1520533,1837224,1250986,503202,0.96
19,t,17716,27513,73765,250451,264378,208148,158311,348164,340455,242452,189457,207287,295611,451768,638428,578454,355328,187215,95179,49539,32873,21037,12263,11673,0.945
20,u,1921,513,256,167,222,285,844,3396,11386,21229,25433,31814,30029,33533,32982,35154,33660,36148,38336,47554,39049,32034,15720,6706,0.99
21,v,874,4246,17509,29143,39161,27266,23837,32355,39632,39282,28041,19150,28456,76044,144729,142171,69763,20243,4288,1135,329,200,151,447,0.98
22,w,1078,946,1069,680,848,822,739,664,973,1011,2415,3050,2259,1615,1734,1793,1546,2387,1755,2587,1647,1469,1216,935,0.92
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,z,425084,1230174,3212523,5118957,6141416,5040003,6582488,7989956,7787645,7617304,6319591,5010073,6266399,10019096,13735643,15140400,12828004,7006157,2621356,1040742,514344,276029,186157,247697,0.99
