,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,262611,191703,144258,116652,123916,137194,165124,198591,231941,254303,263686,303182,335496,363633,372724,383745,400369,445464,474668,497177,503731,482593,418944,329491,1.0
1,b,984,381,464,520,818,1264,2312,4330,7980,12374,15905,18162,16019,17585,23978,25992,26099,25213,134645,30403,26846,15045,6791,2105,0.91
2,c,462885,214494,266040,165722,202485,188913,290772,509119,778246,1361947,1873209,2065566,1898556,2051839,2248638,2544276,2809605,2772324,2737416,2850939,3216020,2405465,1715811,1127570,0.905
3,d,23253215,5387967,2066178,1227225,1015127,1444841,6315634,24803418,77116075,140469764,194633429,208924344,220170360,235750645,273073653,263211062,245292416,197876361,183521779,242210423,359708070,420700293,274806002,87749289,0.935
4,e,54448927568,51034493003,55096150541,59460709326,55195801587,43469923036,33086352604,24624362247,21206202654,20346687213,20708374341,22277368257,25920837570,34237794992,51738684237,71848027770,83492712649,88389413081,87230931254,85857512183,86118415673,84075553694,81340682638,66908470514,0.93
5,f,23848811,6359975,2363351,1379775,1247852,1431485,3306083,10639748,30625302,63718899,86470093,120748428,102490651,130710568,166252558,153696936,165081435,167020501,164974548,175313282,258884276,298178685,188387686,76327954,0.93
6,g,8,2,2,2,2,2,6,6,7,10,16,38,18,18,13,18,21,23,20,15,9,5,6,5,0.96
7,h,48974,24374,26963,31262,46446,61348,177526,368888,646042,815244,1001517,1100927,1178582,1376983,1882796,2297284,2357752,2157410,1758427,1383541,1236863,1010500,561247,188256,0.905
8,i,18494529,4375294,2073986,1856251,1218958,1211576,1743810,4890249,11422710,21891774,31666504,46452154,48736425,63637208,79468191,90698572,78220284,64382131,52949189,37549923,44313297,129579449,134061335,90031738,0.955
9,j,30540202,65655534,97659168,120731927,191393201,129406565,158913394,160434071,172346392,152917243,136054322,197451006,302386002,321253257,355583972,227059786,92861568,28930208,8405970,2941873,1550069,1725838,5288590,16808642,0.93
10,k,11632,27642,29349,64364,93084,110296,127963,122998,108632,110356,101090,169055,167155,191335,279123,303541,292996,179796,81768,31128,10129,4923,3508,6075,0.935
11,l,89,22,21,22,36,29,95,503,1133,1482,1787,2353,2069,1735,1474,1365,1290,1780,2459,2948,1902,1221,445,162,0.915
12,m,3005,2920,4155,6591,8878,9876,10784,12423,13659,14074,11749,12520,12238,14808,30651,45796,39422,26027,12287,6498,3833,2203,2032,2011,0.97
13,n,82909,16013,4298,2580,1465,1518,6296,39168,240214,988934,1160016,1584129,1414527,1883344,1677206,1330770,1179630,1049505,1148058,1520522,1720480,2033663,1437744,477235,0.985
14,o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.92
15,p,19516438,11768371,5842114,2394929,843858,310789,253267,537530,1616448,3510558,6817005,10889582,15909112,20403029,23436501,24064663,31148169,38309946,46039412,53366752,52296570,60429636,47341481,33274637,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,5554899,2263969,1541543,2005130,3878106,9129676,25969417,48239064,71686297,93935269,106704842,116221474,124279898,135879666,142079693,138283364,145130832,169121660,189042533,180557424,149431239,97024706,43025707,14904771,0.98
18,s,150302,36488,18259,11783,9886,10295,30964,89355,388510,727653,1084187,1103829,1122958,1368218,1483819,1362777,1290389,1286764,1539133,1638537,1692931,1766388,1074339,356994,0.96
19,t,9009,18345,69321,307116,346045,260917,187884,472036,457099,298353,235831,271737,326972,498825,715319,634002,394005,174471,71711,32090,18681,13479,11174,9953,0.945
20,u,1377,409,229,169,250,584,2087,17474,50817,71626,79874,87702,74178,67907,56098,67744,80717,96162,114355,125493,100784,61905,22696,5793,0.99
21,v,105,450,1209,2825,3783,4425,5515,5909,5889,6024,6039,5711,5762,10604,14910,19779,18923,11298,3448,936,287,126,82,98,0.98
22,w,75111,67614,63109,60027,59055,57850,42798,42242,14703,8611,77663,94237,68325,62535,103189,71588,81507,94378,53282,19289,8370,3405,2293,4172,0.92
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,z,147942,323446,722584,1391496,2111213,2681413,3216574,3354755,3356643,3442096,3696324,3647282,4899859,6886528,9923191,12783639,12650633,8723325,4248784,1620850,651709,301414,179528,189370,0.99
