,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,158226,120366,97454,92084,91030,96907,118876,138833,156218,178679,198950,235387,272715,274076,292190,282656,291174,326109,346491,366906,385546,328711,280510,219312,0.965
1,b,236,176,215,154,231,646,1933,4759,5706,7210,6406,7281,8224,12853,12181,7792,7253,8515,10463,10163,9981,3953,1353,440,0.96
2,c,164900,132924,93189,99570,81846,91074,171987,411130,700866,1195744,1295063,1255769,1551608,1703958,1965253,2410477,2272131,2342417,2594515,2898753,2279523,1447836,852899,323996,0.98
3,d,4173434,1365733,699600,508096,654820,2582509,13690362,57323484,115410708,174419860,202123975,208819349,229366324,268631845,266913569,232361811,209033699,171106232,190218057,286732742,361704310,257489663,84802319,18911100,0.94
4,e,54072730685,59831097721,66998898566,63476087373,48441656934,33408981223,25261493960,21187625544,20033436048,20767681707,22331075985,24639229453,32744363001,46888180170,70393220031,90160503436,99308401034,103570621473,99179315515,98772335538,101774245383,102428629868,85241408784,65777686211,0.995
5,f,5456436,2613909,1472425,989849,680387,1344123,4244299,14689850,38980634,55623928,73881184,57200071,81647553,110533013,113314423,129487599,134398698,135541216,135628728,135576633,171208179,138817708,60964515,17531534,0.98
6,g,2,1,1,1,1,1,1,1,2,3,10,10,17,9,8,6,7,8,9,6,19,4,5,4,0.965
7,h,11210,4265,2640,1999,3344,12297,32603,90569,156952,214195,274855,293627,349155,432621,438523,431548,442037,506099,559553,533555,428395,252559,82456,21727,0.955
8,i,3025427,2629586,2668279,2577657,2467216,2656585,3814173,8982793,18227005,23917195,31837320,32705915,38842032,67924997,87334045,78554475,61204793,43167392,30351181,34202327,51251441,55170754,39249505,10865251,0.97
9,j,43021399,67284326,98478855,137321267,210064558,158749512,164852145,178886561,185724305,172715306,171427082,228368226,300752459,442736357,518505761,332351614,114938297,35240554,8761259,2985801,1499440,1801769,7096020,26111837,0.97
10,k,17047,34181,53234,79640,80987,137780,152150,153315,135592,157839,171621,162237,218288,322154,469345,394949,227536,104959,40095,13073,4951,2675,3069,7422,0.92
11,l,30,5,10,6,10,27,135,294,565,560,648,1007,883,1303,1396,1159,2894,2102,2681,2045,1126,448,165,51,0.935
12,m,201,372,598,795,952,1213,1087,1586,2226,1967,2192,2273,2109,3610,4228,3429,2543,2942,1422,650,605,312,234,183,0.945
13,n,17582,6685,4509,2719,2818,6678,26388,169286,764207,989814,1421769,1150821,1626849,1716779,1518411,1401183,956742,970744,1318233,1691910,1801172,1080341,405630,85790,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
15,p,14172418,12358910,7938390,4003703,1564612,766409,889138,1866326,2989313,4527393,7935319,10318703,17811423,22391434,29528081,31415182,29963125,43148612,63630916,80595833,66092641,48915247,27980283,17797547,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
17,r,2339741,1122257,974386,1635236,4359684,11729157,30868860,63694552,91178238,108587616,115034751,135430607,153137088,179520331,208049027,213812301,212854881,258242721,282527183,272020143,189291130,85966427,28513922,7786094,0.99
18,s,16624,7552,6825,4115,4283,11721,44243,230567,462775,646815,575463,614119,729521,778075,720107,730467,682343,831743,1068626,1049632,1051118,567519,210868,57358,0.945
19,t,33043,19056,22064,35515,57545,87608,151920,351360,514248,612536,623886,764303,868798,1134398,1404448,1473186,1462265,1701693,1918396,1452207,984387,585185,220038,72548,0.905
20,u,141,39,60,65,139,629,6177,18980,27547,28702,31961,53033,27232,27301,39543,64611,62970,108119,128981,98118,44362,14930,2895,454,0.94
21,v,1383,7084,20977,25194,30669,20743,16438,18766,23855,26134,22590,11427,13298,32919,85189,73466,30476,13677,5134,2377,1140,764,1494,1484,0.985
22,w,60,69,66,77,56,67,85,153,185,507,463,918,356,619,849,584,453,626,709,448,529,374,1060,2449,0.91
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
25,z,154403,493586,1411181,2352333,2789428,2002230,2541906,2936366,2849299,3041990,2787099,2345095,3212161,5261556,7534101,9659269,7027698,3325139,1206817,427897,184589,110237,78075,82311,0.96
