,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,176789,139476,102058,84241,82126,90447,115430,146293,183638,207148,236395,291411,307690,299774,309796,335054,377045,426850,438928,456840,489463,448246,349498,277336,0.965
1,b,2334,1222,798,424,478,132,393,751,1903,6255,5848,5375,5787,10290,11585,7426,10235,12418,14118,14076,19454,9126,4770,1840,0.96
2,c,384707,264628,161201,184999,161826,150106,123698,116370,215791,385835,775148,1015286,1197277,1352323,1439567,1675992,1962529,2253203,2422593,2558312,2508689,2052080,1634371,837685,0.98
3,d,61531931,17805322,4605427,1757852,790999,595798,701835,2401200,10598681,43692721,104484320,183830735,216942707,262507347,307016199,311916075,342139201,354664140,350205556,408857954,544549199,663382371,474150523,179403391,0.94
4,e,45512483651,40859540606,38949329117,41461585871,40099634474,36608435299,30565501111,23626011654,17698058513,16042113305,17156777613,18932259643,21108199242,25294798719,35334304285,49555776335,67012617415,80333652200,86866283780,85090114592,91143270529,95788074215,92627323213,82216908560,0.995
5,f,39566853,14269115,6603492,2881276,1608029,1531474,1687144,2741795,7245841,22038387,56821560,89185247,93513006,105739597,178046819,182791586,186470871,212488895,258226714,222630766,272609435,334691327,237034438,87290021,0.98
6,g,2,4,1,1,1,1,7,2,4,5,3,4,5,10,11,3,7,5,7,6,9,6,8,9,0.965
7,h,33446,9944,3037,2365,2400,4298,16869,47901,96622,171738,353856,377614,392592,593571,687845,677413,700540,706306,718657,709769,770051,642005,337049,115250,0.955
8,i,11931140,5319458,2535523,1650637,1348165,1144350,1151447,1856834,4870966,10511688,20371999,31527280,39316916,47892100,68668378,70472811,53518218,53707048,56944558,45044140,47227236,64867799,55555826,36259302,0.97
9,j,33037349,68792898,92661142,110867923,132299608,140659482,147773002,160848827,169609032,203375817,201516416,221889186,341362669,405341506,518952021,450577495,206761803,75381680,22101746,6745852,3434004,2425236,4200803,13895900,0.97
10,k,13686,35351,46518,56697,74417,86899,117667,163291,257001,168343,155509,187238,341641,446183,375834,332759,206740,97216,40231,14314,5489,3343,3794,7675,0.92
11,l,44,27,10,7,21,7,27,174,76,286,455,741,757,933,912,1173,1475,1744,1695,2051,1161,928,440,199,0.935
12,m,164,203,215,327,486,757,850,912,1052,1172,1109,1195,1451,2026,2682,3714,3192,1474,1214,712,456,415,312,335,0.945
13,n,265073,136373,15464,6342,4519,3598,12566,11995,44220,210067,575700,1357360,1660519,1571728,2043606,1855245,1551326,1459035,1546382,1721777,2400634,2459312,1622933,603276,0.9
14,o,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
15,p,20480350,13069518,8026543,3876200,1492303,590695,297836,292616,553689,1729526,4502185,11320552,17222280,30761515,35526834,41983638,52710452,61651229,70750951,76531119,77982432,75119631,71750954,47921259,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
17,r,14135103,5924475,2977460,2465983,1823141,3127232,8717416,22519065,51314889,99850009,142251017,184728382,216252375,247310149,294162257,338606968,382298005,394033302,391157273,366689666,307808526,189739154,84605722,28451908,0.99
18,s,143718,43834,13701,7245,5015,3789,6792,15275,76403,210120,347292,531417,629920,664498,704679,757693,830991,956214,1053732,1341624,1332755,1070442,900403,469546,0.945
19,t,215637,117700,63944,58217,72422,77007,119018,259395,573808,1162778,1472119,1569607,2080198,2333300,2357814,2126248,1894980,1920455,2273496,2151206,2112281,1560207,999990,516504,0.905
20,u,822,274,97,57,55,56,246,622,3297,7987,16507,25496,32008,37794,39470,57141,71279,63202,66180,67172,56026,46976,27535,6568,0.94
21,v,388,1495,4453,10082,12672,11160,10154,9918,10679,16005,16726,9365,11388,29601,39688,37281,20741,7339,1644,421,190,114,125,263,0.985
22,w,58,45,29,43,45,50,40,36,101,80,11558,2188,158,115,93,107,125,116,251,138,122,117,97,105,0.91
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
25,z,171575,423889,1014666,2164125,3394265,3557756,4500129,5365917,5482360,5504372,4991142,4716425,6287412,9291133,13417694,14768439,12307636,5922235,2367758,839393,302682,153584,106479,142899,0.96
