,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,210607,157262,122511,130953,116197,124927,146338,163161,202048,248246,232282,269176,302069,292453,294356,306054,310176,331620,375236,369432,376781,350327,290234,237125,0.965
1,b,1048,699,526,1074,1598,2073,2424,4650,6291,8185,8391,8882,10192,9958,10296,12062,14940,13997,17114,20932,26165,8821,2299,615,0.96
2,c,4376890,4369266,3782120,3819958,3067494,3600654,3463378,6063992,9611882,13875680,13090068,14352413,13881607,13130696,13561551,15267182,17322216,18935893,21909627,21088943,19950160,15692809,8167673,5734935,0.98
3,d,21162079,6492199,2991370,1629520,1431195,1725157,5341461,20014496,67515467,167440398,253283216,271610094,294791645,310920204,337104876,411072696,432166637,422079845,472804986,558361190,628005339,476591762,176143862,39969834,0.94
4,e,52790675420,47907719519,52380694912,56590265093,67497578701,40319735217,42118386999,34186108634,28911652705,28239046418,27785424459,29091037059,34612889746,45305895461,61217776830,81051354949,99367123543,109176793304,114927783538,120969205365,124093143806,123235634470,108186438206,89618400913,0.995
5,f,22475862,8220619,3936819,2540109,2236254,2192456,4570381,12375423,34025264,69952222,606392530,742217828,286860541,224932242,251127267,263096871,272088279,271513715,242067976,260730100,297656313,257729033,140745385,43219767,0.98
6,g,22,15,8,9,11,23,23,21,23,160,63,60,52,28,28,26,141,245,50,39,73,19,7,3,0.965
7,h,20196,8289,4037,3924,7340,23063,62638,138347,227445,326859,410306,434007,528184,522797,541034,605358,652560,621028,680347,779048,691495,332056,108724,32398,0.955
8,i,6869048,3129221,1699644,1457197,1796734,1759028,2812610,5728922,13184083,26129985,37637044,39757120,49273024,75588809,87822234,78756897,78876548,68616171,46709944,48688103,66376828,63898052,41508397,13782990,0.97
9,j,65642829,113027296,146922124,165168563,181888120,183370262,193075879,206618596,231308096,248037349,246482628,291240682,486642921,601796398,687733466,539861975,256089101,92868404,29403141,9985866,4756256,4697282,12495487,33003311,0.97
10,k,20718,47765,57484,87090,158625,117753,188045,261269,238993,180656,209888,191402,270635,364283,439856,318711,232366,111200,52611,28154,15048,5058,7819,9442,0.92
11,l,304,178,76,68,129,191,278,473,841,1104,1176,1297,1549,1982,2363,1878,2535,4687,3167,3088,4191,1229,228,45,0.935
12,m,1213,1144,855,1220,1552,2172,2458,2596,3300,3443,2781,3134,3443,4349,4800,4455,8782,4532,4385,3962,2753,2420,604,488,0.945
13,n,130898,52093,21943,15215,14277,21563,61023,142233,413000,874273,1588973,1612838,2016435,2633967,2479794,2584045,2568845,2496659,3107875,3773694,4356501,3082482,1305681,381805,0.9
14,o,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,3,5,2,2,4,1,0,0,0.9
15,p,14763001,12426744,11652883,6861760,4900289,2447998,1850428,2365515,3609006,5781236,7949077,11197564,14335583,19256765,27775994,37147092,43957469,49137683,71443310,79389091,80004137,70017173,50677598,33527467,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
17,r,7639501,3560864,2119105,2038708,3660038,7369118,18326397,39629426,72926341,100161284,124363149,141763693,163697591,176541362,179243273,186898950,201240054,243609570,276359159,291995603,252742813,156683583,63276870,20115672,0.99
18,s,93666,43474,22035,16367,16065,26981,55831,150998,370234,707803,893753,908928,1037961,1120070,1046021,1129529,1348112,1413190,1733485,2028964,1884281,1145415,490213,117200,0.945
19,t,148548,96221,58006,54282,79580,85888,125691,271645,582832,971295,1522030,1755221,1903712,2065296,2351231,2469635,2483605,2342386,1986275,1896136,1829301,1198830,730246,255779,0.905
20,u,328,175,266,102,141,318,1283,4025,13307,21620,27189,29449,31000,31092,28690,31321,29114,31666,33889,36905,30816,16262,4370,1500,0.94
21,v,1871,5268,18298,29000,35864,32477,18074,19024,21255,24475,19044,15634,17915,31734,59273,78499,51877,27009,9459,5579,4763,2121,2011,2680,0.985
22,w,277,252,164,174,191,690,1035,1337,1578,1012,4119,2336,3169,3418,3209,2358,2260,908,1157,1148,991,570,321,245,0.91
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
25,z,2263576,4991962,10303161,17931407,23068400,21500506,26989693,29495410,31474520,33328662,30898823,24752496,33112189,47791987,61285343,67929524,47373402,25606261,8924732,3828624,2256717,1528690,1212603,1778400,0.96
