,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,169713,133975,113834,97288,84519,97950,103719,130958,150347,153996,172746,194640,209771,213900,212330,214145,204269,202552,215449,222882,229560,236781,224380,203312,0.965
1,b,372,225,237,440,529,663,1388,2446,2932,3764,5441,5464,5677,5801,5457,4942,4236,4132,4344,5869,5104,3317,2000,722,0.96
2,c,2524529,2192204,1923533,2029273,2067388,2278809,3122807,3991970,6465037,6597042,7000120,7122323,7808377,9698233,9987981,10283113,9174159,8276448,8692768,9542454,8691878,6874723,5320875,3634473,0.98
3,d,8233167,2551656,1117036,786857,704888,2495513,12937530,53125521,122267498,187403226,225607105,225062693,252972566,284031940,269645106,220065147,163223712,141048937,159025629,252684959,343345560,231676517,96759527,24620932,0.94
4,e,58731443017,60199356066,66605714339,63566484163,50354158637,38057504355,26512584726,22287606872,20493734779,19914337309,21835551854,25791984032,33553723730,45789396672,61629478380,76982113084,84705184144,82648416638,83050887541,84903222856,86105706048,90763894639,81028290981,67699128709,0.995
5,f,28553157,15209168,9482829,7217891,6161265,7455221,12439314,18546724,37164674,67004643,94203801,78989053,105280092,129790037,141943593,128638534,112039317,96556667,96699822,111979391,174760192,163072588,105495772,37065313,0.98
6,g,8,9,7,3,10,4,7,4,5,6,9,13,8,13,13,20,11,9,86,22,9,6,67,41,0.965
7,h,11846,4692,6350,2485,4387,11333,35047,70304,111928,166911,195191,229888,275375,284287,274444,262486,214918,201944,228050,244779,268654,207020,95066,29173,0.955
8,i,5737521,2749553,2251108,1772702,1448498,1835751,2508430,9125040,18583256,30486495,46905680,46714836,57525340,99129404,100653228,95220108,65687804,36017769,24104022,26533009,48988848,53124158,39731579,16089850,0.97
9,j,47971157,92608163,154823252,201425976,291624730,267173298,278434010,323102626,338807726,277022910,220362003,251339270,514831622,690644329,683531242,394524781,156097936,56339589,16818660,5671344,2585317,2935071,7689355,22722888,0.97
10,k,15617,31767,45676,59862,58162,86765,86175,102621,115825,115819,87574,90703,121809,144154,210517,152570,66128,25175,11846,5067,2789,2206,3638,8149,0.92
11,l,134,29,19,15,20,28,76,221,288,299,308,330,346,386,415,628,180,192,221,304,278,159,71,26,0.935
12,m,360,481,815,1847,2181,1388,1609,2188,2449,2599,2259,2129,2722,4980,5107,10205,3709,6134,1125,1011,751,2499,930,4648,0.945
13,n,42773,15617,8901,5340,4148,9252,33273,140733,401907,663009,903072,989143,1149453,1238076,1175639,1154060,782149,707886,1004347,1439052,1864119,1685441,651122,174698,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.9
15,p,17191234,14602786,10900619,6711461,2809046,1137893,1039157,1568079,2560889,3737494,5661920,9677503,18020978,25090334,31528768,29591985,22672046,32796698,43561942,52671123,66998855,55741736,37142112,30241720,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
17,r,5206079,2200148,1440517,1544377,3144785,7791230,21549922,48523954,78429846,103795217,110407394,120022339,125983074,122315909,116713942,130783105,120629958,134595351,155006189,180235633,178044321,111420093,43044236,13484326,0.99
18,s,29220,15372,9824,8182,7398,16418,43475,128892,249908,369954,392028,421449,511573,494227,434425,421651,328999,351998,403950,590448,646599,495390,211039,67090,0.945
19,t,67397,40571,51845,92595,93232,111877,120401,329773,548294,701572,816277,1073594,2543638,3135531,1750223,1250762,729720,448101,351758,387768,433193,369222,240998,121738,0.905
20,u,323,205,253,88,160,530,1413,2178,6780,5647,6777,7172,7292,6314,5854,6570,6347,5874,7391,11828,11389,6065,1864,508,0.94
21,v,897,3388,11341,22241,24628,21257,18552,27050,32179,42620,35261,19916,18713,41859,76596,89946,45492,22630,6575,3376,1739,2060,1320,1956,0.985
22,w,793,617,756,420,155,183,199,301,458,379,1059,1358,1103,1404,1430,1931,1190,1059,421,404,471,534,284,239,0.91
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
25,z,202473,634430,1772355,3116813,4231526,3721799,4489067,5586269,6155076,5658020,4354676,2694963,3081311,4713194,6691381,8095948,6784290,3632669,1488160,546404,235912,138979,94923,100424,0.96
