,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,153503,112592,88754,77576,82087,94845,114644,138908,155337,171804,194543,225091,253415,269382,291103,301287,323816,358380,383897,390635,383810,352496,283003,214804,0.965
1,b,194,110,122,158,99,262,622,1474,4559,4839,6500,4193,4085,6510,8808,8637,7281,7644,15701,10785,10769,5392,2700,700,0.96
2,c,254876,143434,100608,80470,154022,200556,107662,222870,536446,1043717,1073594,1378037,1417602,1345619,1521426,1550539,1706537,1555421,1680601,1928204,1893248,1607030,1262817,665393,0.98
3,d,15287489,3896605,1520881,828783,550943,833389,3944719,20718709,79391198,146136327,208793106,230336340,236404705,249302431,273011998,260809944,225112680,194183025,195949161,226392781,268903285,296971309,181349663,65073930,0.94
4,e,78922570054,76639404745,77486011003,67287112088,48754369199,32193637651,22538670968,17796590369,15611145714,17597689117,20795337927,23581223618,29929009519,43904029867,70578915690,89948398539,104723505992,104897447216,104540782768,103375832260,101050071816,102331624824,96260905696,83259954540,0.995
5,f,20962445,7116057,2770800,1436672,1061043,978695,2111790,5920742,17948599,43517322,76515624,109893795,96132469,118841852,156320310,161396619,156034875,139375120,129073355,151762012,145329088,180663651,131999878,59655294,0.98
6,g,1,1,2,1,1,0,3,1,1,2,5,9,5,5,9,7,12,11,7,7,6,3,3,3,0.965
7,h,10778,3460,2019,1679,2572,7693,24208,65535,140097,190782,254132,259801,288564,346638,467768,448183,588388,416816,461930,494885,452084,383502,195200,61224,0.955
8,i,6688018,3851878,2744219,2295696,1831979,1802873,1996410,5414025,10948083,18697715,24442299,30777967,43420911,42440610,60732457,68879384,60778550,48307913,40697158,30515868,29648670,41028198,33373015,22049904,0.97
9,j,34809909,66470922,98465761,151841892,225167219,171494224,171358063,197143904,198780587,183565975,169656611,186573676,311013212,412678574,396264265,263842773,116552492,34634761,9671369,3089622,1518110,1686995,5869273,20484881,0.97
10,k,13291,33755,59841,87288,97587,134730,152497,169254,153718,152370,121039,151620,247435,289254,397229,386203,210278,95004,39259,14308,4944,2920,2762,7898,0.92
11,l,15,8,4,4,6,8,24,73,187,348,378,421,419,435,451,390,309,371,404,554,547,292,155,55,0.935
12,m,224,419,1793,628,1520,990,823,1450,1565,1860,1427,1774,1607,3129,4447,3560,2826,1822,1129,14981,1638,302,338,224,0.945
13,n,73534,15717,5553,3073,2306,3262,9796,50106,256526,915909,1132100,1424377,1135133,1478098,1562792,1377961,1292105,998815,1082984,1698370,2047578,1999082,1233581,477224,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.9
15,p,24302121,14316645,6911929,2764938,863625,325131,324025,786827,2339942,4159125,7817461,13856340,21293623,30681837,35770169,32705915,41807985,60950928,76360790,86611169,78868804,65598160,56679321,39367042,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
17,r,3681685,1719157,1385633,2149627,4918102,11539586,29384008,71116367,106265369,125964116,139357200,149269007,167323438,185134700,212162955,216380712,224658850,252649900,289670607,291434978,220500285,121573641,44396724,13030036,0.99
18,s,65335,23372,10018,4544,4511,5051,15954,51874,159363,291130,408937,429448,435765,477251,606061,636790,584247,616505,710656,1258885,1092308,769049,482887,175896,0.945
19,t,41028,23299,33574,46068,62871,95179,138504,383599,576392,636563,542737,630829,761593,978833,1284948,1305786,1318918,1446153,1349804,1169328,905755,701967,322970,124508,0.905
20,u,329,85,80,267,56,158,863,6087,22199,57386,24169,25646,21274,20849,22228,33470,32156,39853,49103,52153,43259,27147,10422,2613,0.94
21,v,1637,5531,15727,24096,29070,21441,16171,18561,23124,24188,19909,11492,14930,34364,63651,64665,38281,15615,4398,1275,548,377,567,989,0.985
22,w,889,499,271,225,211,204,272,183,181,239,2037,2572,2323,2089,3373,3048,3106,2750,2472,2275,2418,2109,1160,306,0.91
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
25,z,180846,642573,1735233,2772860,3642213,4310638,3193672,3676792,3663039,3809014,3290941,2570803,3688842,5907460,9177311,9930565,7705805,3543322,1266613,522382,252079,152986,115386,96703,0.96
