,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,181403,144680,117085,101848,90952,89028,102132,119007,142248,159921,186861,194123,206039,213247,208868,206728,190513,188153,197910,200276,216933,221970,218029,209390,0.965
1,b,166,118,114,119,160,269,559,1560,2279,3200,4678,4615,4479,4885,5201,5210,3390,3307,2824,3300,3820,2210,1048,383,0.96
2,c,3081033,1997815,1717710,1400832,1568043,2025746,1911862,2559083,3787724,4436684,5531243,5396059,5916609,6508545,6612914,7424598,6733740,5713321,4541957,7416622,10055342,9273969,7715288,4530803,0.98
3,d,6527706,2182301,1005984,745611,798586,2662647,14578064,46802503,102041188,143846083,172747955,168678334,195271955,206839414,190794850,152713647,110710092,85176217,87844941,124916038,188109064,180985109,86527569,27787501,0.94
4,e,43434220426,43328560920,46971518052,48906670986,39613134357,30802130533,22637659385,20300852598,18871987304,18555311200,19963513157,21327370402,28059791339,38550215463,52645181479,66911405398,72829613826,72313894941,71536644069,71181359271,71389343485,73573759451,65035733426,49556983503,0.995
5,f,8519554,3719208,2058092,1465760,1120732,1402810,3002949,8916545,22450651,38300576,53274171,49529425,61451438,78331201,77632784,73664238,64433436,54583485,63188599,67676750,98628771,105354431,60262423,24772022,0.98
6,g,1,1,1,1,1,2,2,2,5,4,12,6,6,8,7,10,5,6,5,2,2,2,2,2,0.965
7,h,8348,3995,2063,1819,2998,8053,23154,54952,106751,139561,184697,197943,227621,239893,231912,218068,172666,154045,145130,158573,180252,153501,76660,25654,0.955
8,i,4495420,3031413,2207769,1615747,1449476,1734739,2464094,6814072,14304236,19858674,27201616,27122193,32190202,52049528,53913722,41309014,27299799,19084852,12819930,12400972,20047946,21989122,20051896,9537167,0.97
9,j,51228932,106808678,168105360,207931087,221177166,245737822,248737175,281844106,295764861,243426560,193691320,203464110,331738337,464128096,478757859,366244041,168051928,64161997,21341034,7209311,3074203,3104458,7674294,22542507,0.97
10,k,17713,37144,56563,69079,61979,96845,82078,94242,101506,96151,71514,65484,83526,109290,94193,109812,71690,31034,11543,4507,2581,1714,2936,6106,0.92
11,l,11,10,4,5,6,10,40,94,200,238,369,323,213,225,300,298,200,306,343,246,196,114,44,17,0.935
12,m,190,329,507,612,676,756,619,816,1447,1256,1631,1362,1209,1867,1985,2196,1672,1336,753,419,317,209,154,148,0.945
13,n,69036,25519,9715,6150,3695,8078,22970,101794,279813,448780,644116,596152,659102,766064,697348,626921,406891,454278,584774,861153,1132681,1198989,646625,223390,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
15,p,15883268,11725308,8048858,4122053,1894846,791644,708026,1220050,2159666,3196526,4878406,7633038,12910863,18128154,23803706,23293544,17657693,24105559,37355203,37000405,40118814,36470357,24147307,19820808,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
17,r,3319905,1248706,848339,1027841,2338366,5639101,16161798,38415312,61681488,85969844,96020222,104320361,108626155,112815187,109272884,93473252,72887303,73240836,87785323,104487044,105815723,72275396,29172103,9196358,0.99
18,s,47520,15076,6760,4815,4835,9641,25986,81742,162360,210697,265790,266665,303497,315676,284747,275847,222448,224007,263635,299792,518777,455663,209587,69536,0.945
19,t,88480,59182,38224,73415,81575,87858,118067,351316,569283,712306,788713,1033758,1244693,1366327,1407388,1064441,654529,437456,284314,299627,336573,348107,229237,110898,0.905
20,u,129,66,30,33,54,202,965,3982,7009,9836,10602,10876,10407,11607,11179,10083,7023,6582,7057,9408,10213,5514,2488,874,0.94
21,v,2107,5793,14784,26304,23863,16372,12220,15346,24179,23960,20622,10212,9302,16192,32099,40631,30954,16419,4927,2772,1261,1267,314,495,0.985
22,w,188,183,127,339,240,145,2890,216,375,496,8639,8410,8356,2468,1881,2031,1753,1532,1567,900,438,478,427,237,0.91
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
25,z,181844,564925,1409967,2607854,3491082,2709429,3264269,4152822,4285084,4644974,3947326,2566229,2778196,4555491,6359644,7381283,6720329,3747284,1567818,688474,299517,163974,110185,104554,0.96
