,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,155677,114732,90384,83643,85434,96235,116169,137818,152012,164966,188838,227237,253671,288540,260472,262924,288335,315620,338188,358426,348614,316633,260374,208766,0.965
1,b,186,100,79,121,171,474,1639,3686,5096,6493,5755,6507,7609,8990,11385,8369,7558,8996,11859,13744,8287,4685,2257,819,0.96
2,c,402739,122753,93919,121129,143100,118863,196496,450118,689459,1089714,1156591,1380754,1302498,1485932,2133770,2494964,2284129,2095057,1979712,2058418,1759884,1303534,669232,268304,0.98
3,d,4633871,1664373,858330,640850,828869,2851433,13671395,58882815,117766895,182465170,213555832,211982334,234165762,287614375,300970266,271926613,191903190,151940782,179767495,263363129,306397828,229980866,79315226,19123217,0.94
4,e,58856742962,63131475242,74832453993,68145205860,51174018787,36362214305,25159329786,21828178913,20385022663,22511902321,23559777201,24931722252,30656138457,45766182404,67220176660,83738042704,91251666977,94958593435,94784170415,95289852589,94159130962,95685949653,79445573966,60424395322,0.995
5,f,5329354,2384095,1396071,912307,709958,1459317,4833831,15872462,41741872,62772441,76499657,57525340,98349835,148934789,150197312,150092987,136084955,122153652,121362148,139655920,184140605,152890404,61141873,17198305,0.98
6,g,2,2,1,1,1,1,1,1,3,4,6,13,15,9,18,11,11,6,9,5,13,6,5,5,0.965
7,h,5903,2794,1631,1718,3359,9835,30536,85841,135853,174200,198095,217544,451810,351596,420075,414559,394411,435382,493443,528654,409159,204278,70545,23391,0.955
8,i,3544301,3091967,2917949,2711816,2622824,2658874,3824096,9677742,20870746,28272753,33474047,43678903,49007524,82477301,100236601,83530036,67616894,47287088,35658293,37632512,51281463,55706799,30141357,11242275,0.97
9,j,54411119,80633484,109039670,147866438,235213759,175922338,183150357,190410483,203080179,181615664,162597564,179526472,276058920,364436956,468005400,292645483,103825250,30228354,8600493,3074592,1966905,1799082,5908033,20952243,0.97
10,k,16706,33758,56287,75772,78217,118689,135032,142755,153144,134042,110959,144079,192073,248113,263981,285731,325276,94788,38443,14311,5944,2884,3932,8737,0.92
11,l,28,14,7,24,34,98,287,440,494,629,620,1145,947,1186,1406,1081,1934,2261,2550,1622,1153,385,156,47,0.935
12,m,196,429,599,780,885,913,831,1276,1848,2011,1705,2394,2226,3853,5783,4406,2739,2078,1525,867,721,439,263,260,0.945
13,n,18862,6993,2824,1773,1865,4869,25031,170786,716379,919588,1349429,1093015,1462932,1646536,1666949,1516639,1072353,1074275,1740825,2504319,2668195,2478830,1269284,236750,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.9
15,p,13876693,10507521,7060545,3935550,1546711,717967,841870,1817283,3014742,4132006,5965064,9213465,15340774,21409814,29136289,32546755,31125943,43382127,61296798,68547681,73492804,50053350,28551272,17767128,0.91
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
17,r,2576800,1327673,1278252,2004098,4519931,12712456,32696496,69161743,97386149,115852304,124319661,130066146,153488122,189017396,211930568,221101461,214015616,253857445,282395766,261978320,190648364,89596848,28780343,7966314,0.99
18,s,16442,8451,4440,3882,4339,11411,36844,216053,527250,695963,634857,668299,816170,821368,776481,739519,670609,725222,924740,1100834,1234176,643534,208953,60233,0.945
19,t,31282,23539,24140,37896,57202,93948,152485,378472,521381,623835,569090,805036,888579,1057843,1417813,1469045,1360761,1638330,1891919,1839805,1421203,750447,279393,81028,0.905
20,u,131,76,40,41,119,604,6085,18997,28036,27094,28545,28683,27296,29087,44495,50517,64943,103889,127049,94761,47986,14694,3054,636,0.94
21,v,1906,5858,18071,20024,23172,16319,13363,14991,23461,20451,17837,13152,15851,36410,63365,66357,41913,15362,5386,2226,1267,920,957,1327,0.985
22,w,344,285,152,105,111,286,198,241,454,637,770,1373,1015,2330,3248,1890,982,721,767,2348,648,825,444,331,0.91
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
25,z,152075,487915,1349290,2159520,2716664,1872236,2330169,2799591,2833584,3047887,2610148,2041206,3489427,4801827,7861181,10439453,9406948,3179482,1156794,433153,192120,113761,80483,92290,0.96
