,slo,cost,emission,overhead,optimal slo,optimal cost,optimal emission
0,0.861882644,1.17E+11,5.54E+13,0.725,0.890678358,64875308264,3.25E+13
1,0.8898213,,,,0.922686027,,
2,0.923871171,,,,0.924175632,,
3,0.928029477,,,,0.957270168,,
4,0.872023182,,,,0.893588837,,
5,0.903287619,,,,0.92134187,,
6,0.918458122,,,,0.967118251,,
7,0.945095861,,,,0.967814044,,
8,0.877813145,,,,0.93697295,,
9,0.891769867,,,,0.938193535,,
10,0.888351132,,,,0.895880263,,
11,0.8111549,,,,0.826903955,,
12,0.862736999,,,,0.934638209,,
13,0.857299837,,,,0.90688868,,
14,0.95362051,,,,0.973943949,,
15,0.873715924,,,,0.900263719,,
16,0.927660812,,,,0.930634213,,
17,0.872831218,,,,0.880775742,,
18,0.866301283,,,,0.868658626,,
19,0.874631925,,,,0.889181589,,
20,0.845706289,,,,0.86396688,,
21,0.896450546,,,,0.965600058,,
22,0.927518628,,,,0.937915841,,
23,0.923659102,,,,0.935663968,,
24,0.927608414,,,,0.928744664,,
25,0.917913791,,,,0.946721985,,
26,0.950485966,,,,1,,
27,0.879335086,,,,0.940755552,,
28,0.935992367,,,,1,,
29,0.920699484,,,,0.961321233,,
30,0.906048534,,,,0.939499404,,
31,0.946649576,,,,0.964609165,,
32,0.9023457,,,,0.941770674,,
33,0.902202405,,,,0.943836188,,
34,0.931942362,,,,0.964050375,,
35,0.947685355,,,,0.942853415,,
36,0.920308915,,,,0.97050894,,
37,0.887719024,,,,0.913737897,,
38,0.916962355,,,,0.931491976,,
39,0.886323472,,,,0.907709253,,
40,0.89264987,,,,0.930801398,,
41,0.819096603,,,,0.832969932,,
42,0.912212433,,,,0.932169923,,
43,0.905850964,,,,0.96423722,,
44,0.824953994,,,,0.863672905,,
45,0.923741041,,,,0.974565272,,
46,0.863043388,,,,0.917714056,,
47,0.838551493,,,,0.841806364,,
48,0.865551927,,,,0.866915941,,
49,0.919837676,,,,0.93791701,,
50,0.946649915,,,,0.977711127,,
51,0.894237572,,,,0.952451965,,
52,0.904307461,,,,0.912624383,,
53,0.93006829,,,,0.972944917,,
54,0.896309492,,,,0.940623464,,
55,0.973061602,,,,0.993582373,,
56,0.939432582,,,,0.979953738,,
57,0.919298901,,,,0.959465884,,
58,0.873376096,,,,0.921755997,,
59,0.919771658,,,,0.964601521,,
