,slo,cost,emission,overhead,optimal slo,optimal cost,optimal emission
0,0.552893607,3175904835,1.00059E+13,2.350,0.939212941,3823779611,3.6454E+12
1,0.530712623,,,,0.846395382,,
2,0.599673264,,,,0.910938735,,
3,0.540973043,,,,0.827953563,,
4,0.518878279,,,,0.821252399,,
5,0.517336803,,,,0.949642807,,
6,0.521220604,,,,0.892031991,,
7,0.582400138,,,,0.903283025,,
8,0.552359294,,,,0.866634561,,
9,0.58404614,,,,0.848476958,,
10,0.584182133,,,,0.834654514,,
11,0.412707101,,,,0.884801227,,
12,0.553447638,,,,0.798548901,,
13,0.553541579,,,,0.754172988,,
14,0.539638753,,,,0.879024565,,
15,0.419534975,,,,0.788100135,,
16,0.546790916,,,,0.864694501,,
17,0.457727185,,,,0.934756091,,
18,0.534881237,,,,0.878669029,,
19,0.591247218,,,,0.842087086,,
20,0.384387339,,,,0.792094181,,
21,0.555176657,,,,0.876977984,,
22,0.510660085,,,,0.93047144,,
23,0.564114003,,,,0.879800399,,
24,0.56033699,,,,0.839184764,,
25,0.569400847,,,,0.890369207,,
26,0.544958651,,,,0.83816917,,
27,0.536399698,,,,0.880434249,,
28,0.484514499,,,,0.878987326,,
29,0.506325784,,,,0.95992102,,
30,0.527491014,,,,0.834933,,
31,0.486862767,,,,0.83144359,,
32,0.47248386,,,,0.8383697,,
33,0.580919861,,,,0.885428187,,
34,0.54356277,,,,0.867223683,,
35,0.478391354,,,,0.85026215,,
36,0.52853476,,,,0.863533957,,
37,0.456482815,,,,0.908052304,,
38,0.551244318,,,,0.921239716,,
39,0.560419089,,,,0.906062791,,
40,0.488703474,,,,0.804337333,,
41,0.528778755,,,,0.856375519,,
42,0.483375577,,,,0.86728256,,
43,0.545784,,,,0.905049493,,
44,0.50511741,,,,0.772163547,,
45,0.634077414,,,,0.883868927,,
46,0.487478922,,,,0.92822425,,
47,0.503281735,,,,0.74806628,,
48,0.415605164,,,,0.85802745,,
49,0.556179033,,,,0.83727582,,
50,0.542689773,,,,0.82973335,,
51,0.455613046,,,,0.849841772,,
52,0.525986399,,,,0.823401113,,
53,0.497975854,,,,0.874365817,,
54,0.518137223,,,,0.926373178,,
55,0.487031289,,,,0.81329859,,
56,0.467067669,,,,0.81577788,,
57,0.498762506,,,,0.837968207,,
58,0.436520765,,,,0.771725961,,
59,0.435022315,,,,0.821410596,,
