,slo,cost,emission,overhead,optimal slo,optimal cost,optimal emission
0,0.686229386,5668476606,8.1442E+12,2.357,0.929897057,3858757482,3.54956E+12
1,0.636746371,,,,0.878049846,,
2,0.69441468,,,,0.864243252,,
3,0.638410417,,,,0.83735289,,
4,0.628878528,,,,0.872438826,,
5,0.643505749,,,,0.8669865,,
6,0.542499701,,,,0.764462264,,
7,0.643785793,,,,0.872157617,,
8,0.587497717,,,,0.925042216,,
9,0.574175785,,,,0.836185943,,
10,0.575147016,,,,0.880491614,,
11,0.609163443,,,,0.848455401,,
12,0.626124352,,,,0.931806736,,
13,0.730657809,,,,0.879516738,,
14,0.668463571,,,,0.851854496,,
15,0.56353719,,,,0.792140648,,
16,0.647568623,,,,0.886515127,,
17,0.605951427,,,,0.81081233,,
18,0.745354445,,,,0.874454674,,
19,0.535385029,,,,0.813153765,,
20,0.598710168,,,,0.862672911,,
21,0.523698232,,,,0.76412283,,
22,0.684408364,,,,0.910251278,,
23,0.60425304,,,,0.825919838,,
24,0.591097999,,,,0.846241435,,
25,0.658813877,,,,0.905985031,,
26,0.613479075,,,,0.864564808,,
27,0.645643515,,,,0.932271803,,
28,0.642352258,,,,0.892974005,,
29,0.621712374,,,,0.879022898,,
30,0.728271337,,,,0.941979523,,
31,0.655154923,,,,0.940890834,,
32,0.610036495,,,,0.876739251,,
33,0.571786188,,,,0.763301285,,
34,0.698921317,,,,0.84921283,,
35,0.585469704,,,,0.775584144,,
36,0.604454643,,,,0.847273175,,
37,0.595505876,,,,0.835989402,,
38,0.617063774,,,,0.827559842,,
39,0.604736753,,,,0.914229746,,
40,0.60812096,,,,0.87679359,,
41,0.617547121,,,,0.812853768,,
42,0.596740351,,,,0.879388132,,
43,0.635211252,,,,0.796194193,,
44,0.54957109,,,,0.790601624,,
45,0.64841543,,,,0.839979742,,
46,0.540273515,,,,0.745925224,,
47,0.68662015,,,,0.921890085,,
48,0.650902064,,,,0.818309402,,
49,0.631205592,,,,0.874593904,,
50,0.619797023,,,,0.867936346,,
51,0.566887831,,,,0.796981658,,
52,0.633087263,,,,0.816079366,,
53,0.634914135,,,,0.808316107,,
54,0.648005079,,,,0.917132836,,
55,0.641755951,,,,0.914933617,,
56,0.662554171,,,,0.947228868,,
57,0.595077014,,,,0.898529925,,
58,0.600333646,,,,0.801172327,,
59,0.608053604,,,,0.823958456,,
