,slo,cost,emission,overhead,optimal slo,optimal cost,optimal emission
0,0.599985953,4506519091,7.80837E+12,2.395,0.969194752,4123948921,1.78408E+12
1,0.627841576,,,,0.893388613,,
2,0.684834482,,,,0.952973071,,
3,0.569246403,,,,0.896573893,,
4,0.594867698,,,,0.917321011,,
5,0.591651021,,,,0.940597093,,
6,0.667997312,,,,0.969462143,,
7,0.602323798,,,,0.95575292,,
8,0.56799993,,,,0.922550466,,
9,0.637922601,,,,0.886994094,,
10,0.589402643,,,,0.942130486,,
11,0.680286807,,,,0.930860025,,
12,0.653797084,,,,0.960283904,,
13,0.63170056,,,,0.938357258,,
14,0.604920096,,,,0.902842172,,
15,0.644239208,,,,0.960887635,,
16,0.675990361,,,,0.935283538,,
17,0.610259623,,,,0.947600535,,
18,0.631172349,,,,0.961211502,,
19,0.688898722,,,,0.966483058,,
20,0.648486016,,,,0.960539167,,
21,0.639417274,,,,1,,
22,0.697524041,,,,0.954566447,,
23,0.481544529,,,,0.939042569,,
24,0.547785472,,,,0.882715525,,
25,0.647260924,,,,0.976272025,,
26,0.647039419,,,,0.970717285,,
27,0.574632871,,,,0.88399591,,
28,0.687023586,,,,0.984271175,,
29,0.622135764,,,,0.96492167,,
30,0.713874876,,,,0.983938014,,
31,0.70444691,,,,0.963586882,,
32,0.657895133,,,,0.989669254,,
33,0.660931594,,,,0.984988718,,
34,0.647151103,,,,0.955779693,,
35,0.611527911,,,,0.951610894,,
36,0.619947134,,,,0.953741074,,
37,0.641339664,,,,0.949304767,,
38,0.643626815,,,,0.9290537,,
39,0.571977487,,,,0.915621753,,
40,0.655748756,,,,0.972576324,,
41,0.666332447,,,,0.970863605,,
42,0.599265075,,,,0.938947913,,
43,0.592449706,,,,0.837943813,,
44,0.573829913,,,,0.981033742,,
45,0.651556026,,,,0.909569109,,
46,0.650824933,,,,0.937680046,,
47,0.45750997,,,,0.779559377,,
48,0.632703956,,,,0.939332696,,
49,0.625368577,,,,0.943321267,,
50,0.653368584,,,,0.938358652,,
51,0.499380958,,,,0.95193567,,
52,0.620331308,,,,0.830713215,,
53,0.613647112,,,,0.927947191,,
54,0.638855588,,,,0.973082541,,
55,0.580135998,,,,0.90506156,,
56,0.60355968,,,,0.949290425,,
57,0.693476011,,,,0.925408807,,
58,0.596928596,,,,0.926438404,,
59,0.657616137,,,,0.935372486,,
