,G1,G2,G3,G4,G5,D1,D2,D3,D1A1,D1A2,D1A3,D1A4,D1A5,D2A1,D2A2,D2A3,D2A4,D2A5,D3A1,D3A2,D3A3,D3A4,D3A5,R1,R2,R3,S1,S2,S3,A1,A2,A3
489,3331616.3860000004,918989.3133,1314006.732,95278089.98,11957288.08,2092949.0,5385256.0,1974088.0,0.0,0.0,1032846.125,1458010.625,1039197.625,1158946.0,1305882.875,0.0,1145481.625,0.0,301752.46875,76058.3046875,3231.28466796875,4329283.0,0.0,93.13358626989955,58.917129513564085,86.13923463338276,100.0,58.917129513564085,100.0,3530054.375,3172838.252156981,4684845.439560988
490,5484024.891,5841158.302,378754.0435,935223.5173,271594.4611,5351459.0,8704279.0,14969041.0,0.0,1748125.625,0.0,0.0,0.0,0.0,0.0,1673577.625,0.0,0.0,0.0,0.0,0.0,624619.3125,286098.40625,32.66633688121314,4.351354586634918,5.987115497913327,32.66633688121314,4.351354586634918,5.987115497913327,1748125.625,378754.0435,896213.7736
491,185205.4174,2967727.4930000002,171132.5307,3459704.389,7620.665395999998,234275.0,779955.0,129185.0,0.0,0.0,0.0,0.0,754816.125,1804139.5,0.0,0.0,10793091.0,0.0,246091.421875,0.0,520050.125,0.0,0.0,-18.966363079287163,-51.51227314396343,50.69423331849673,3.252871794258883,100.0,100.0,7620.665395999998,3622679.401024377,193362.93607562318
492,5652531.919,10487337.8,4730473.157,1163789.044,815911.9932,625463.0,1200950.0,5203787.0,111294.21875,435444.4375,635699.375,0.0,10227338.0,664893.1875,0.0,0.0,61764.6796875,141498.390625,0.0,0.0,0.0,0.0,1251500.375,-72.42127881665263,61.33419838395498,1.6886361206313107,100.0,61.33419838395498,1.6886361206313107,1900541.8092226763,736593.0554921073,87873.02692271645
493,68655991.56,2272607.794,284912.1061,548794.318,721752.6507,201677.0,786652.0,235229.0,0.0,1491148.75,979751.6875,849693.3125,9020295.0,0.0,0.0,3843033.5,258459.546875,0.0,0.0,0.0,0.0,65693.8515625,277439.84375,-100.0,2.0825466447706233,17.625090892914077,100.0,44.22114219750551,22.212309956571193,2646491.530692736,347866.499519521,52249.79458774286
494,1549865.971,1497610.9980000001,1209098.348,217657.6642,342692.1389,2861969.0,7211459.0,147696.0,0.0,0.0,55720.265625,91214.65625,86413.2890625,651813.9375,0.0,328200.4375,2725245.25,0.0,0.0,92633.5625,534902.1875,120969.8359375,156912.78125,5.202445523907613,16.389881618230955,48.697163959247376,5.202445523907613,16.389881618230955,100.0,148892.37813612347,1181949.593047262,793412.1539541146
495,7957363.471,1921289.333,1783091.18,4498776.817,943721.7517,1135270.0,3302016.0,1838685.0,633252.125,0.0,0.0,0.0,1860706.25,0.0,0.0,2599621.75,478329.625,0.0,0.0,666159.3125,0.0,3119481.75,0.0,88.03202432020576,68.48606442246191,89.4111494763921,100.0,68.48606442246191,100.0,1576973.8767,2261420.8049999997,3785641.0625
496,511555.1709,1334206.928,11466364.97,21021335.97,290386.9872,70668.0,173467.0,5000473.0,77879.40625,307976.96875,87870.109375,0.0,0.0,489448.625,0.0,7023.8505859375,311713.5625,696807.125,0.0,0.0,0.0,0.0,811537.875,42.964498163949735,23.240376377873744,3.124454248717052,100.0,100.0,3.124454248717052,466070.3189651013,894218.8392413871,156237.49110444903
497,44161.36835,402068.4309,520050.4131,0.00052245,495145.6328,2328828.0,5063176.0,5942185.0,653.459716796875,57963.16796875,0.0,0.0,487150.09375,1936167.25,180057.9375,441943.65625,236393.328125,4702436.5,0.0,0.0,0.0,2343733.25,0.0,4.485420629047353,17.21116872496801,7.986669877934467e-09,4.485420629047353,22.018077811033752,7.986669877934467e-09,104457.7315270309,1114814.0313895864,0.00047458269948614016
498,15149321.7,36688262.29,635012.3668,375223.4745,272744.5192,3471428.0,8200545.0,12158791.0,1568445.5,0.0,0.0,529646.5,4148347.5,0.0,0.0,0.0,0.0,3485708.75,0.0,41240436.0,0.0,0.0,879156.0625,51.82511968753737,1.3617925320741706,75.35873339503902,59.8189812914652,1.3617925320741706,100.0,2076572.8658666846,111674.40939938181,36716428.50843393
499,7883757.741,6622837.906,3708252.521,51823297.05,12269940.52,2164155.0,9499864.0,6817099.0,3059404.75,4126825.75,0.0,0.0,169743.9375,0.0,0.0,0.0,0.0,0.0,2891345.75,0.0,2374847.0,614121.0625,0.0,76.00994643405856,0.0,86.25830155173044,100.0,0.0,86.25830155173044,7355974.4375,0.0,5880313.8125
500,418071.0824,1252197.164,7559076.601,1399470.851,5809.346814,2694638.0,6500762.0,5761845.0,0.0,3382897.25,0.0,0.0,501583.0625,0.0,1576533.875,0.0,0.0,0.0,40885.140625,0.0,13763741.0,0.0,1330260.875,27.341246671177863,6.123220418683889,83.73256827348705,31.75683909027089,6.123220418683889,100.0,855731.8537252938,398055.9861540432,7604180.412559663
501,2020795.543,40408.93542,5172525.978,2710731.258,228138.0591,2480240.0,5802113.0,14766749.0,791624.0625,822147.5625,0.0,0.0,0.0,12819979.0,0.0,2186911.0,2152358.25,1417670.5,0.0,0.0,0.0,0.0,532800.75,6.367707546591252,77.98249405001246,0.4220249467977056,6.367707546591252,100.0,0.4220249467977056,157934.42965357486,6408357.993255424,62319.36461100072
502,2161695.455,92012.97345,4998191.446,2800.005469,234756.5101,82288.0,154559.0,969635.0,0.0,2381156.75,22218116.0,2006497.375,0.0,116707.296875,259170.484375,274921.34375,343681.75,83498.4296875,2808003.75,0.0,0.0,0.0,455600.5625,-100.0,40.25451091896946,76.3419295662801,100.0,100.0,100.0,5022472.671152144,193152.07160378498,2273831.6472630724
503,270043.6524,246787.1611,2245982.444,206657.5347,11518.04475,4222034.0,6769027.0,4745572.0,0.0,0.0,1219964.0,0.0,2523190.25,0.0,0.0,98157.4765625,175553.203125,0.0,0.0,0.0,5421098.5,1526095.0,953911.5,9.827870795243802,0.7982406997306415,35.39374280927526,9.827870795243802,0.7982406997306415,42.04316884263857,414936.0464512637,54033.128489756054,1995188.8485089804
504,6235.817495,662044.3117,616978.0242,169203.4126,14456.970480000002,3104531.0,6231396.0,542340.0,0.0,0.0,387706.59375,393754.625,0.0,2628145.25,0.0,4274490.0,0.0,8557500.0,592810.5625,11664919.0,3497102.25,0.0,679307.1875,6.394539059340517,-9.326479314231266,-100.0,6.394539059340517,5.483587723716571,100.0,198520.44740433476,341704.06607216544,928694.0229984997
