,hst,chnst,z
37084,334284.0,500940.0,6748734.0
37085,541814.0,779615.0,8327376.0
37086,1071670.0,1522426.0,10270093.0
37087,1319051.0,2248095.0,12895951.0
37088,1421397.0,2612765.0,14139617.0
37089,1505884.0,2924541.0,9120138.0
37090,1613749.0,3070909.0,5766442.0
37091,1988091.0,3668490.0,6414452.0
37092,2143748.0,3843006.0,9083619.0
37093,2694999.0,4611314.0,12642348.0
37094,2655423.0,4404028.0,15783817.0
37095,2189218.0,3542304.0,12369463.0
37096,1727315.0,3098853.0,6605222.0
37097,1393351.0,3508951.0,2728037.0
37098,1302698.0,3351213.0,1043925.0
37099,1350627.0,3684969.0,443923.0
37100,1238122.0,3472246.0,230386.0
37101,684305.0,2001716.0,159374.0
37102,226130.0,713560.0,200078.0
37103,73959.0,232325.0,456838.0
37104,62935.0,191241.0,1453299.0
37105,93281.0,180125.0,3907302.0
37106,231989.0,306342.0,6519009.0
37107,274187.0,354015.0,8150075.0
37108,313073.0,403184.0,6045546.0
37109,467273.0,682171.0,7606442.0
37110,892724.0,1328246.0,9056646.0
37111,1143777.0,1908792.0,9573349.0
37112,1296768.0,2466450.0,9553706.0
37113,1324116.0,2639805.0,8150147.0
37114,1532754.0,3010724.0,5158977.0
37115,1752471.0,3185138.0,5824746.0
37116,1977731.0,3526579.0,7880897.0
37117,2401968.0,3862041.0,11545635.0
37118,2567782.0,4260649.0,13061732.0
37119,2241562.0,3838401.0,11172162.0
37120,1693706.0,3061503.0,5808262.0
37121,1259609.0,2929682.0,2645109.0
37122,1299454.0,3082674.0,960281.0
37123,1257486.0,3615800.0,392682.0
37124,1172803.0,3789965.0,206799.0
37125,669740.0,2210862.0,154194.0
37126,201532.0,581948.0,195912.0
37127,71485.0,224355.0,442266.0
37128,58947.0,143813.0,1576060.0
37129,90130.0,144102.0,4160895.0
37130,185881.0,239230.0,6641697.0
37131,261248.0,316577.0,7816251.0
37132,342962.0,427778.0,5381338.0
37133,503154.0,694392.0,6657300.0
37134,1033982.0,1384684.0,8239034.0
37135,1234401.0,1981636.0,8495828.0
37136,1342192.0,2278485.0,8532770.0
37137,1440578.0,2485066.0,6849857.0
37138,1424097.0,2539367.0,4515377.0
37139,1486485.0,3020584.0,4671055.0
37140,1598017.0,3146690.0,6826060.0
37141,1751263.0,3383865.0,9293033.0
37142,1998812.0,3260083.0,11806354.0
37143,1847267.0,3054607.0,11199804.0
37144,1456137.0,2523355.0,6863439.0
37145,1120237.0,2217971.0,3007425.0
37146,1164839.0,2558238.0,1197119.0
37147,1116106.0,2970259.0,473244.0
37148,981482.0,2816041.0,231442.0
37149,535323.0,1635333.0,139467.0
37150,221714.0,597893.0,171670.0
37151,57681.0,183729.0,343376.0
37152,45526.0,109866.0,853846.0
