,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,230771,186691,148248,126140,108528,108986,125682,151251,179610,203803,225291,249825,263597,273806,269732,266316,254841,241497,249957,268483,278485,290406,290367,272786,0.93
1,b,251,135,193,317,386,732,1857,3822,4521,5310,5672,7536,7227,8927,7784,7576,7771,6863,7963,8319,7777,4264,1757,655,0.91
2,c,117578,71868,64093,109374,95984,112796,223884,440491,577851,665708,531590,561432,565687,1141751,1204988,1240920,864214,537188,576088,696900,1220010,1512971,826773,246834,0.945
3,d,4093075,1188427,516295,297805,371838,2038454,11168086,38372584,80845692,114185124,131848023,133775697,149948844,156808541,146471709,123139339,86482101,76814032,78472285,149832755,234534542,161924022,66266158,16373724,0.915
4,e,33589709728,33564748670,37187812058,40101494619,34157999298,28269594603,22788440416,19908537521,18029468815,17994418552,18733629493,20045026959,25341298960,34643858209,46790690019,56237960269,61382193027,60132994178,59052322827,60456021980,59470572159,61835992111,52050762637,37681620614,0.95
5,f,7510729,3122338,1623114,1040156,825946,1670466,4495109,11337764,29410161,48904219,61156578,59291621,75159150,83845393,79759754,72350154,64182104,60252985,69079303,96472872,115990156,112281687,68158188,25191587,0.985
6,g,5,2,2,5,3,3,4,4,7,10,16,18,18,21,28,31,42,35,18,10,7,6,8,5,1.0
7,h,8883,5067,5934,7790,14572,35660,87390,167033,244408,297609,355561,393242,459194,486139,461443,512521,510782,464372,385278,319543,407778,313315,94253,30421,0.955
8,i,3177776,1361580,985551,696335,747980,1091313,2376526,6249419,13049086,19948482,26457231,28907067,31400948,42941318,44238204,36632571,27167038,18952599,13274858,15257736,25991193,33707286,29122836,10229653,0.97
9,j,42477763,70400100,102967060,128910322,189424479,153615653,153753072,178656900,187191016,154602553,130334304,134096724,235762027,285683935,282514719,224290137,83359514,29930134,9104639,3536781,1878759,2303322,6826344,21622349,0.955
10,k,10926,25490,35313,63178,31995,54963,71831,79656,81296,70408,57254,55770,61493,87261,98234,88673,49983,20111,8792,4890,3318,2388,5958,6104,0.96
11,l,22,18,29,38,36,90,190,278,358,343,464,508,475,543,383,227,278,282,407,456,493,284,135,49,0.91
12,m,526,758,1412,1536,1677,1447,1512,2610,2983,2606,2600,2625,3397,5870,8295,9306,7801,3754,2007,879,467,365,361,311,1.0
13,n,28169,8691,3642,2175,2171,4755,20654,89886,222919,340344,448816,441111,502614,553707,543210,466443,412674,388370,512859,812575,1205396,1091471,500991,135738,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.915
15,p,10611681,9106857,6251294,3630058,1879708,957296,805059,1236529,2060448,2864258,3873063,5538325,8270922,12216211,16044998,16520147,14312973,16725892,21307104,28029953,30628050,29845061,21794576,14312663,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,3344092,1639379,1244439,1617161,3190629,7360352,18129547,36043415,54938563,69753149,76300492,83088798,87514958,88965322,89115573,80420176,66738437,69180959,80445511,96755459,101963629,65867193,27811167,9554457,0.905
18,s,28230,11972,6848,4558,5245,11547,33493,102436,217827,260778,293352,326239,372255,431218,397708,387171,365703,361378,405592,505770,637005,599670,328185,101516,0.9
19,t,17425,24920,47020,118549,126799,117113,100094,192374,206437,178030,216429,270851,432280,477288,520257,400166,208084,84728,37207,23560,18997,19245,25144,20797,0.96
20,u,149,74,55,78,190,663,1507,4981,6986,7961,8834,8981,9612,10186,8526,7034,5267,4957,6360,8098,9041,6147,1916,659,0.975
21,v,826,2787,10951,20822,27091,20455,17858,21274,28460,29751,24532,11090,11019,16499,31002,41322,24882,12289,2891,778,233,128,111,156,0.95
22,w,948,765,861,739,629,693,1036,1396,2588,9547,8026,2601,2145,3486,2471,2020,6896,121486,176238,85055,1775,1385,1638,1437,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,358581,1108408,3232695,5380152,6633952,5257524,6772696,8227874,8810785,8977752,6943584,4411437,4856688,7272710,10416508,12869726,10112540,5311309,2313373,925582,420001,243572,174306,200339,0.975
