,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,232461,165581,128574,107175,105063,130843,150924,178684,207866,236510,253427,286700,313620,350280,364054,376713,393671,454270,465191,478774,486040,457092,393903,303334,0.93
1,b,802,265,250,241,254,511,1270,3402,6851,8967,10384,8639,6568,8027,11700,12297,12047,12191,16838,17232,22592,12130,4020,1003,0.91
2,c,380435,182871,133766,128827,81091,126354,164231,343832,445824,818670,1071994,1212733,1171306,1207981,1473981,1477347,1542854,1775775,1935879,2303399,2270070,1926370,1274907,600363,0.945
3,d,54253823,15537554,6273318,2729321,1549552,2526384,7500909,25119816,82550289,152340023,253799069,254330059,236832573,262475701,328929821,302348065,289141345,284070604,263030244,306004499,417242528,1032020569,379763657,133055606,0.915
4,e,94830642860,97233395462,116813230914,128149007775,117069823719,133984650625,81940117226,47117259274,34056959082,31160719053,31963679182,32424179079,34378974463,45678223572,70322297006,94741559706,113098303720,123486230144,124896749209,123766965724,117199899531,118514109156,118185385224,99586921886,0.95
5,f,32313568,10446200,4319287,2687648,2038976,2726992,4523913,11577883,26671998,61831836,92095223,124867820,103276473,136636196,172459158,173915658,194350447,202388143,199871927,190413967,231657656,338826484,264194762,109351899,0.985
6,g,13,4,4,3,2,4,3,2,3,5,8,10,6,8,9,8,9,9,7,6,4,3,3,3,1.0
7,h,30649,10097,6540,6617,8632,22093,65630,139188,281535,371919,482720,529285,541500,599383,723432,874056,942504,1031078,986985,961443,906831,559375,297496,92859,0.955
8,i,19448860,8477251,5506287,3741214,2971926,2762312,3389888,9292723,20520299,35204548,44832253,55730217,59749494,74366291,91570635,96085535,82585884,61570221,47059414,35073831,39391715,66142412,70345674,51104164,0.97
9,j,32647010,55416984,81742188,114010752,193468519,151017239,162541386,178067642,205832598,168201300,146748291,164893027,233012913,376198217,365059416,244320930,89363797,28188496,8424007,3025922,1411048,1498072,4886257,15090045,0.955
10,k,11592,24061,40502,68248,75435,123374,147664,146262,119941,115887,91665,105250,125744,148639,213740,265837,220224,139641,60860,22480,8506,4708,4224,5989,0.96
11,l,96,35,33,37,13,30,93,363,989,1222,1400,1309,1413,1422,1686,1705,1667,2522,3238,3783,2548,1301,436,117,0.91
12,m,560,664,973,1310,1721,1720,2010,8618,5194,5101,3656,3663,2622,4236,6732,35802,11173,4815,2262,955,544,415,341,295,1.0
13,n,199056,43732,11416,4605,2316,2774,6399,30486,177180,558006,956376,1278180,1230002,1515400,1710059,1585428,1389835,1243475,1216178,1936219,1815546,2248427,1628670,552017,0.9
14,o,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.915
15,p,17727498,11813177,9240014,5799650,3011960,1870837,1197039,1395556,2620206,3989608,6720204,8529987,12538048,18093369,24369820,30470233,33646361,41933749,54868236,65689232,78199749,83377259,52231457,34093931,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,7517930,2967522,2073016,2692161,5443342,13778401,38092838,81339217,116061105,149177695,166493233,187570465,201478730,224556425,257609685,267097981,263119562,311371327,357709464,389628349,328818230,163707304,60603520,19616504,0.905
18,s,110006,39177,17964,10953,8022,8843,21918,73342,241518,532771,780385,778595,760744,1010518,1252963,964420,893476,858607,1041508,1245231,1332861,1298182,827839,296738,0.9
19,t,174178,87311,74796,135657,191924,323780,532200,1226391,1809065,1978219,1665432,2179542,2572137,2799853,3562890,3649049,3851792,3838401,3159400,2596321,2259858,1502291,786745,257821,0.96
20,u,789,188,65,44,57,246,1097,9357,31647,45296,45049,54514,42965,37675,34819,47471,56296,71499,114813,124615,91456,44287,13852,2810,0.975
21,v,540,2248,11347,22101,28948,20350,19276,21546,27309,28482,20116,14397,16804,51900,120368,152700,137681,58991,3263,582,166,45875,64147,64578,0.95
22,w,1681,1598,1514,1723,1909,2113,1580,1759,1966,2791,5850,5876,2587,2661,3196,4311,4169,2756,4430,2529,2223,5157,1743,2770,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,335445,744033,2065310,4265143,5894083,6065830,8175254,8003496,7754847,8128211,7173231,5779230,7330188,10909548,16195690,19957517,18074574,9122666,3705033,1405328,556515,250912,187131,166547,0.975
