,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,207315,149431,115813,103880,104430,123046,156414,176707,202563,223745,244276,279304,302790,309478,300795,356382,274010,299205,309188,318997,345678,356584,403905,275204,0.93
1,b,95,72,157,195,466,1459,4986,7430,8379,9670,8298,8964,7863,8165,10205,9567,11397,9978,9846,12169,10285,5601,1812,363,0.91
2,c,245689,300693,303390,247601,299682,306159,496341,780593,1266325,1697746,1864172,2140319,2450899,2825319,2984546,3879773,3984844,3666646,3501407,2659412,2364736,1352913,683691,364842,0.945
3,d,2736506,963846,716505,438878,615635,3718345,20510373,73370207,126699788,184886625,212780150,209403442,220805223,253923920,242094552,208117101,175281410,158065873,160789681,233897590,294471209,227002003,78474054,17295157,0.915
4,e,45223092601,49493751917,55997531694,56189714084,46818157767,36418701956,27710813129,23700316298,21684519819,21655494462,22704848696,24562803595,32308406442,45860322849,66917159756,83459269832,88605267515,87581251930,87904741158,89003594452,85201504740,83337386450,68033236643,49167462758,0.95
5,f,6180714,2671250,1862472,3427479,1096715,2020400,7145533,21458210,51044873,78673438,98738919,86795038,107333231,125348366,120302163,125770240,121275943,124387410,123695784,153141859,234574244,190449971,86213906,22990152,0.985
6,g,1,1,2,1,1,2,2,3,4,4,5,18,8,5,7,18,10,12,7,6,5,8,9,4,1.0
7,h,4485,2305,3125,4993,14287,49871,131007,268629,333320,409952,461978,480397,475950,515979,527634,569144,567922,593447,610476,610507,502952,296785,104513,22936,0.955
8,i,2859749,1821296,1675547,1506691,1616883,2495997,4455232,11018298,21136586,26009285,33327935,33932134,37662073,61049071,75367280,69817680,56070582,43438469,30581102,33977482,68851677,66723861,38612895,11487211,0.97
9,j,35854038,74042084,91019819,100989185,98471559,111365869,108509768,115362889,135936244,142126513,142991411,170750413,319940418,348222799,354433881,250801637,120263047,48006836,15067665,5070725,2447074,2762554,6864421,19254181,0.955
10,k,8214,18900,34831,65599,84644,122727,129461,117202,97889,95117,80114,88146,93414,110852,141837,138889,111997,87309,40238,15493,6472,3210,3595,4594,0.96
11,l,23,22,35,24,39,98,384,595,794,800,779,1388,889,775,809,1081,1030,1234,1517,1558,1244,616,162,46,0.91
12,m,1234,770,1591,1745,2150,2071,2274,3770,5505,5197,4852,4307,3928,5429,7651,8100,5276,3434,2470,1414,934,1038,735,539,1.0
13,n,16228,5437,5038,2115,3074,8421,55034,243990,846304,1048110,1388513,1173383,1397595,1316314,1166546,999034,821245,840580,1426755,3254126,2692212,2610548,969051,152147,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.915
15,p,19775164,15339853,9785941,5107267,2288422,1410375,1242552,2032298,3417637,5751364,8392197,13331545,21446290,29653376,38121646,37570092,32745225,42984037,58762211,69104117,88784684,58692763,39683696,29681370,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,2539472,1564305,1605671,2797553,7519412,19026713,42572345,79045426,99742432,116290846,123649839,134686835,149318133,165123675,165336569,163404029,152569835,182187064,203443172,209484187,163386726,81575923,26562283,7425366,0.905
18,s,16103,7144,6651,20180,60205,45196,85586,350060,638883,873511,798314,851353,953407,838995,711900,737992,706188,702202,820714,1215189,1479817,916555,297640,66620,0.9
19,t,5459,7242,14454,28973,40697,50427,56881,91467,112062,123439,102392,101527,91449,121622,184182,233505,174287,118312,197018,69262,45805,28523,15664,7559,0.96
20,u,104,73,37,60,250,1345,14809,48030,58502,48580,53979,57829,38594,28409,34760,34759,33454,44735,58861,68834,45112,15194,3022,467,0.975
21,v,658,3634,13259,25599,31880,24756,16808,18290,27109,28181,23141,13777,14918,35212,84088,80825,41036,13332,2693,558,178,97,93,265,0.95
22,w,827,841,736,774,721,669,1173,2445,1865,4490,3408,4112,2118,2777,4421,3342,4224,3354,2905,2296,1983,2524,1941,2796,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,326410,1017104,2702581,4315635,5250525,3754739,4861167,5855925,5901127,6376250,5579395,4249498,5382469,8386366,12477310,13853911,11023294,5511020,2005311,721588,313380,177653,139710,215148,0.975
