,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,226754,183864,144653,123095,108679,108317,124736,149152,175455,197531,214883,244317,265402,270862,271471,267542,253779,253722,278334,325416,305636,304061,296782,270807,0.93
1,b,177,103,171,204,412,757,1348,2739,3649,4974,4872,6977,6966,7629,8113,8299,6836,7296,8095,9220,7518,3796,1359,396,0.91
2,c,151748,104708,85169,74737,83905,120681,141136,239182,311703,440516,567339,565921,525369,580893,712999,704554,812987,793868,916381,876649,848449,717475,408473,262946,0.945
3,d,6212142,1596307,651195,427200,717320,2512983,12167142,40158200,81967591,184729521,142389944,144474584,179939667,187673099,168182858,188710446,105548856,77778623,87062713,148867513,250789078,233143478,76857789,21523100,0.915
4,e,38734961873,39231505231,39352903152,45042607487,38108521504,31549389682,24016883547,20266945688,17885526530,16824493794,17686622903,19492145592,25643780825,34151295240,46437374232,58126588985,62432315408,63772427438,63802634508,64806299110,67462494727,67851495470,57372533526,44072574646,0.95
5,f,8941689,3069476,1501624,934131,801928,1227094,3444257,9875469,22930557,39696046,50954396,52174115,66324209,74766456,72765533,74170383,60893478,55087527,61210378,90071215,124615095,132415115,72893273,24604826,0.985
6,g,2,1,1,1,2,3,2,3,4,5,6,12,10,13,30,13,14,12,9,9,6,5,4,5,1.0
7,h,10010,6893,4808,6608,17841,26929,61389,120966,194734,266538,316299,353220,411285,430217,469281,457375,436663,416841,429348,352116,362616,273940,109698,33454,0.955
8,i,3438698,1610728,1652402,1375909,1258875,1682461,2360239,6742784,12791746,18114779,24888641,28946496,39915713,62197412,61852276,48754802,31104422,20379328,14078870,14901424,29611879,32710670,25550669,11465253,0.97
9,j,33410037,62848260,98745103,137610525,196075256,168654769,177254824,200694101,208588177,173895707,140581914,161879985,253677422,388697398,335099131,206131819,73760469,25653615,8852763,3388542,1742221,1832951,5457497,18373205,0.955
10,k,9660,24185,36546,47086,43206,68647,76881,81234,85004,86385,54843,61400,70213,89252,119685,87292,44171,23427,10007,4471,2739,2077,2272,5622,0.96
11,l,18,11,14,9,16,35,80,135,244,311,248,381,328,464,489,298,251,257,321,366,454,269,92,44,0.91
12,m,198,486,1031,1169,1357,1512,1437,2060,2851,3042,2448,2704,3133,5771,7896,9525,6349,3884,3922,694,465,413,230,237,1.0
13,n,52725,12815,4643,2264,3388,6090,25869,107125,289880,462560,573856,603301,725293,705909,720368,639599,485879,505325,931417,1097349,1617983,1609282,760839,171819,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0.915
15,p,15057339,10934896,8207477,4627389,1761611,825923,689904,1117262,2218242,3778970,5524853,8078100,13253083,18910104,23009591,22969945,18005125,24652126,31429944,38492764,48080103,47440620,31444536,24731269,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,3392343,1637002,1174672,1423433,2879962,6556580,16149913,33914577,54102728,73273395,82072910,88251542,99256847,105237851,100913872,84766937,73245596,73598283,85220546,103006570,97430905,61757934,24725461,8151958,0.905
18,s,30065,11525,6263,4144,5277,10691,33286,93111,189654,254389,312308,366839,471388,518092,605716,456142,390850,387516,423226,655554,854943,715382,330058,91131,0.9
19,t,16752,25955,55859,153431,161508,152272,114504,247881,267870,229803,240170,338772,461847,627319,702050,507700,252450,99218,42856,24909,21714,18087,14063,12026,0.96
20,u,119,42,76,61,156,290,1438,2859,5129,7672,8517,8749,9757,10699,11009,7519,5998,5960,7313,9441,9568,5178,1371,337,0.975
21,v,369,1762,8533,17214,23013,14949,14509,17348,23778,25403,20617,9535,7711,16757,36257,40489,31076,11095,2471,553,183,84,60,113,0.95
22,w,3110,2549,2629,2648,2927,3211,3867,3784,4729,12981,11485,9413,8271,7088,8914,8101,6905,5552,6335,5647,4933,24464,5554,5074,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,381952,1083391,3243831,5449887,6999061,5642353,6907124,8278710,9825888,10030964,8370987,5469306,6180212,9544151,12784934,14803581,12155962,6579500,2700148,1188200,604699,372405,270862,287887,0.975
