,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,260214,196387,161788,137328,135297,148918,168573,197661,229386,252806,272744,290815,316144,333003,348593,349322,351129,384371,417436,435643,440688,420900,384500,317614,0.93
1,b,698,347,227,297,284,632,668,2358,5879,9707,13656,9905,10213,13121,17042,18862,15148,16612,15645,15634,17723,10958,5361,2070,0.91
2,c,559553,333510,282955,171031,197419,214349,298047,558185,934189,1015136,1760473,2001617,1757264,2176653,2384831,2519020,2501650,2681531,3602179,3364279,3563381,3140664,1999472,1100469,0.945
3,d,31695575,5767824,2617172,2174694,1503626,2760620,7378124,29555242,116093251,206513150,301976372,328724211,364641976,387318903,460848777,449039265,437184089,395703728,303913617,352792008,498306184,564509566,364801837,125282026,0.915
4,e,69670134942,64806596322,70955315345,70579814575,65957324906,56294557257,42687163620,32447152571,26195224661,25418579628,27856445282,28848666577,31757781823,41690371461,62959714248,89214544813,98835684449,108066882740,109749677528,105005750593,105899325798,103061534680,106892250675,87505500492,0.95
5,f,25058095,9013759,3227884,1768709,1526584,1597230,2801979,7844373,25693159,60736523,94705213,114240878,86504747,130627218,184547198,194134787,213979211,203864325,184957521,219029209,225313351,257616433,195702159,82626981,0.985
6,g,5,3,2,2,3,4,2,3,3,7,19,35,30,11,49,124,81,84,73,46,9,6,7,9,1.0
7,h,39843,15269,7328,6277,6578,12614,35658,100382,219339,340147,477085,532068,539853,674899,921530,1090364,1026171,1152565,991400,985368,947285,801178,393647,137756,0.955
8,i,17214442,7853866,3984822,2695014,1945569,1851830,1784420,5145030,12385751,23441171,34002794,39537729,46025103,64517218,76639167,85817860,77096369,63562013,53756637,39350904,39495495,83583351,94134986,60952151,0.97
9,j,33312403,64936083,98407226,132816379,215264677,172354542,174452997,192707183,223190938,182522180,161754430,201742033,322261164,353551998,510109525,287703441,140779804,39325335,10326064,3637771,1797382,1473129,4446355,17665367,0.955
10,k,19592,40480,73203,103638,98745,144036,161149,175458,150898,162749,136664,152312,180496,246295,247995,265500,228974,106781,43936,17665,7942,4264,4665,10091,0.96
11,l,60,30,15,18,14,30,42,383,738,1086,1186,1335,1478,1266,1105,1602,1463,2176,2760,3430,2820,1550,513,181,0.91
12,m,303,530,808,937,1046,1261,982,1577,1893,1971,3332,2716,2154,3414,4771,6734,5782,4736,1768,1507,635,1694,1470,519,1.0
13,n,132686,32976,7906,3949,2637,2331,6485,38354,277120,1264857,1601621,1986344,1527236,2070949,2161616,2054715,1848604,1992352,1482713,2069652,2724750,3012106,1972142,697942,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,1,0.915
15,p,27917107,19766442,8088382,3780949,1423489,672634,469578,741853,1864637,3888443,7706352,12614044,19494064,25500782,32643963,33051079,35931639,45945162,51364570,58569641,60915340,58177597,49420780,35152561,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,9630572,3971102,2758049,3063532,5548958,13313600,32439746,72155068,110960263,145176866,181514407,198622574,218667638,246771377,294593918,308492868,295204475,327577795,363117360,356932491,350900291,204274800,80410697,26829550,0.905
18,s,117462,42380,16135,10399,9782,10206,19797,85172,348950,759940,1111897,992866,1044684,1354276,1278872,1200910,2684190,1147741,1336935,1617234,1649290,2013217,1125395,454278,0.9
19,t,147596,92149,85942,163782,170915,185201,245892,690521,952023,1092057,1103885,1481356,1767516,2247659,2529786,2254605,1662094,1405901,1454245,1550245,1420760,1981386,1122001,428350,0.96
20,u,786,282,99,88,109,266,781,3769,13159,18755,22382,24420,21691,22989,25431,36754,43127,48593,59428,65155,51628,30521,12398,3608,0.975
21,v,309,1215,3831,6904,8443,6913,6259,7430,8944,8198,7980,4913,6591,16953,37682,38683,21435,6847,1782,447,182,107,90,207,0.95
22,w,1984,1789,1542,1857,1475,1547,1364,2421,3585,2409,5916,3625,3409,3027,3382,3342,2490,2459,2712,2537,2648,2648,2303,2026,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,248529,669030,1904372,2991024,3704844,3106661,3974072,4828165,4738367,5198178,4937382,3512280,3881679,5945639,9034139,10362295,8512274,4081481,1591663,629701,289699,166693,130154,146311,0.975
