,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,204035,148580,107132,92700,98175,118810,144715,174601,205330,232851,257867,303942,334051,355812,369132,380902,421168,477245,546937,558581,547117,475300,381758,288033,0.93
1,b,319,286,281,426,507,974,2187,4147,6026,9656,12074,12210,11490,15885,17261,18049,18743,28097,25659,25833,20798,11559,3442,870,0.91
2,c,170840,102425,72432,85563,65613,57972,83841,171245,396627,721701,1087551,1264765,1360072,1565298,1650110,2129368,2568779,2536959,2752274,2785171,2525554,1963808,1441737,492627,0.945
3,d,12037441,3416105,825298,474497,305741,388137,1338127,6842013,26758230,69933310,142711666,173447620,164185538,160763225,174595725,193183443,194135964,200796355,233882272,281771335,339050787,355683044,312080309,105724102,0.915
4,e,33738325486,33101760294,33526035133,36114329921,34537293642,27558341736,23484169711,19514454608,16804556015,17531309095,18011061004,20982791683,25443985176,33727720421,46961926092,60859133751,73018617893,87396775040,93385725486,94230264180,92344699058,93658582261,93353011832,80507449295,0.95
5,f,13343977,4508239,1830587,1216048,893468,1016900,2477400,7314774,19528332,40119123,65411427,87897822,90160433,110249597,132019436,143470724,148876630,167027152,207331914,220013673,261814222,265377564,166415193,75791761,0.985
6,g,3,3,1,1,2,2,8,10,6,13,17,32,29,24,9,17,12,16,29,33,25,13,13,5,1.0
7,h,16912,7468,6931,11254,14952,38179,100246,227883,364497,496638,653986,664618,723411,847247,1068342,1162633,1065228,1129091,1203439,1097013,978634,601743,261240,74305,0.955
8,i,4308895,1831441,854888,751346,721631,732204,1175746,3738509,8796984,17433034,24718315,31460706,37413951,48994838,67387410,59524677,46180295,41534377,45381690,44945376,42891641,61193077,50187144,27122985,0.97
9,j,34933970,66024408,96506273,117245409,133780057,146436369,162797558,170492436,186984702,184441443,187845102,221874397,339785366,402749256,395828088,284711333,107898261,35920082,10674242,3784612,1838738,1513156,4150578,15068146,0.955
10,k,8306,14478,23837,36070,43243,55098,127145,114037,154790,318728,236203,261362,251928,313307,237076,232695,203691,144903,79371,36473,20624,9882,5946,12337,0.96
11,l,20,13,5,6,5,10,35,102,225,376,517,672,767,761,573,728,685,938,1156,1334,1737,1153,260,67,0.91
12,m,266,443,568,1603,1539,1671,2471,3515,3892,4245,3961,5087,5455,8012,10676,14373,12560,5690,3310,2698,1052,1623,515,511,1.0
13,n,59814,14789,3519,2346,1563,1381,5048,30420,167270,454807,926073,1560325,1309950,1434038,1293511,1240677,1280051,1151707,1479624,2084017,2009135,2787394,1289879,417869,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0,0.915
15,p,10993212,7969849,5442311,3109482,1248737,514197,366551,869565,1349397,2914780,6326580,10883938,17094131,25025659,33423142,41016408,46861654,53985487,62985498,74205696,74879850,68690150,57589416,37779383,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,5943998,2668785,1474822,1499531,2316950,4661722,11661407,27163153,51496196,79123004,100392274,122802459,137799532,149086420,158678797,173552405,191712676,234826572,261328793,246073867,198127872,132577439,60342415,18097118,0.905
18,s,42881,25575,8996,5485,4275,6626,37745,83341,232045,410432,576848,647183,677095,715347,778172,865847,887898,1008831,1211187,1393476,1487943,1309793,743932,309502,0.9
19,t,11838,17378,24605,44231,75786,107545,128065,163304,227350,212160,229572,221121,373186,636933,604825,482277,379023,235025,123629,74347,54024,35545,21021,17902,0.96
20,u,222,66,41,61,75,135,655,2000,5355,10360,16464,21896,24329,25260,27150,31269,38551,46777,47629,55731,52496,39468,15162,5883,0.975
21,v,416,1742,6532,13233,17897,13435,14144,14232,14968,15829,13594,11006,15186,44778,76331,71390,37453,11239,2273,504,175,101,67,208,0.95
22,w,1816,1959,2065,2886,1978,2145,2808,2538,2430,6071,4227,4837,7121,14505,13568,13968,14909,17055,15698,16613,13529,15177,12583,11740,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,476533,981066,2086651,4103273,5735637,5607727,7018079,7757837,8040688,7527461,6582642,6185501,9071899,13017994,16237110,18205385,14359253,6950579,2638219,1034457,478130,305407,235915,292883,0.975
