,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,211829,158154,121109,104575,114261,135157,162488,185773,210186,236439,258281,293816,320153,352517,372438,401397,455370,495780,528927,528981,498758,454607,375592,297605,0.93
1,b,2044,1465,951,1062,1282,1350,2514,6235,8195,11761,13282,12479,13123,16482,23784,25302,33582,23574,25882,19186,14268,9539,4682,1280,0.91
2,c,283999,158830,131152,117989,131914,109814,116071,212260,532581,824248,1209743,1428679,1423722,1717207,1739340,1938046,2229121,2494948,2769261,2522822,2515692,2513908,1642845,797899,0.945
3,d,15827407,3014925,891785,374379,258468,530560,2692603,15544820,62779092,113219344,166507569,176053467,187218861,199504809,233743443,217334081,191504511,170850598,175716411,187834169,279841263,316606945,207616900,68192737,0.915
4,e,60390200693,58327026443,64207066900,71251652510,57773107825,44006161280,32650244416,24174256944,21014078505,20136954286,22208932198,24424239931,27545794441,36734821061,56012709321,73671514375,86580091709,91278961791,86505725167,84135685989,85755785634,83454411649,86185063307,72473869286,0.95
5,f,20155341,5700155,2504060,1632960,1145838,1359469,3080569,9094660,26377477,56252486,76527324,99973912,81059257,103884751,124527575,133619504,143071062,160567752,164591714,161386218,194649043,278838167,200076810,73819729,0.985
6,g,6,7,3,3,6,5,4,2,3,7,14,23,26,23,27,32,44,45,23,14,5,5,6,5,1.0
7,h,29627,16756,16358,20932,24193,47793,124762,227700,384275,483379,593466,601462,735723,850967,1261905,1360277,1416606,1736119,1289952,1036927,805613,878128,321087,91554,0.955
8,i,11668265,5284437,2774124,1632948,1362076,1302989,1436426,4636773,9785178,16791553,23842634,31280876,40051619,46078862,60036455,66719243,57235891,51768653,44808455,33798903,37569206,67830703,63455891,38978214,0.97
9,j,26667848,54440598,77717901,105190149,157913082,126082523,134659409,146226151,153293065,139899978,131467310,143668669,208737231,257897106,260813167,179979651,72856389,22030458,6887132,2551460,1186292,1419917,3897669,12638111,0.955
10,k,15833,42320,63715,104556,139762,187617,206097,190352,164384,172933,288752,251928,258390,359197,395048,599021,517866,319207,192626,52948,10711,11567,5671,13020,0.96
11,l,42,31,13,10,9,28,52,322,705,970,991,1170,1435,1310,1441,1694,1866,2910,3515,3830,2245,1193,527,126,0.91
12,m,547,969,1790,2273,2824,3688,2599,3540,4138,4054,4427,5000,4978,6790,14431,16190,12870,8192,4068,1894,713,605,587,438,1.0
13,n,86813,19773,5014,2528,1642,2266,5459,34143,216673,897021,1096761,1890068,1230979,1653260,1687368,1385982,1235761,1037727,1111492,1806150,1933591,2165314,1431206,434566,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0.915
15,p,33340292,19212746,8522408,3184720,1008046,333725,380297,926065,2752067,5929646,11397235,17344718,25182693,34668699,37934855,35978272,42323314,60453279,67716237,68229201,63269905,70645064,50639167,34033370,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,6436979,3248967,2562811,3623556,6455848,13448576,30280308,60858862,89421846,108654316,125399126,135951319,146183060,164189220,184886909,212999078,219339170,240896784,258798769,244095762,198931807,121548025,52627379,16426667,0.905
18,s,105016,30634,12948,8474,6826,8794,25332,89068,378601,771799,1014055,988003,1059602,1251108,1237854,1233995,1170146,1287885,1425132,1448375,1737501,1523179,938379,306402,0.9
19,t,14773,20929,47690,153629,163918,154350,113796,229431,250598,197054,200279,256430,335619,472435,571920,460825,280410,147513,85693,50426,36689,32947,23210,16077,0.96
20,u,864,247,98,89,108,358,1330,16616,52180,71743,68109,75147,67483,62109,55591,79827,125159,151371,169189,165444,127707,66088,23367,5691,0.975
21,v,693,3008,11412,18849,24895,16226,14378,16077,23710,21105,16350,11106,19018,55927,92495,96199,43129,11867,2319,472,149,72,97,358,0.95
22,w,4299,3644,1764,2303,5991,6925,12187,13289,18500,8854,16735,10693,5004,6369,7856,6838,10840,23854,22532,10097,8379,9087,14436,9378,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,444214,1378341,3304039,5045523,6134153,4452003,5604544,6484357,6433276,6674171,5953156,4779590,6409426,9000886,12590672,14950294,11481183,5815947,2196974,839026,384484,240387,194808,242275,0.975
