,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,287536,227909,189361,166639,157393,167939,180756,202772,225411,253181,269797,304582,320368,336099,341570,352637,362723,377633,408533,440473,475472,526984,416786,346737,0.93
1,b,970,421,364,292,234,226,295,886,1620,3374,4665,5720,6504,7507,8485,8735,11227,12299,12176,17349,19718,25233,13931,2479,0.91
2,c,413458,248030,131159,76115,54625,60069,91058,137513,218542,425838,781501,1516489,1531859,2044270,2010519,2164947,2554081,2542772,2278216,2703483,3050728,3631384,3568704,1764543,0.945
3,d,79257268,20987730,5864565,1871516,975344,976759,1812219,5883241,19877978,62338943,133335181,205194738,231820485,282083246,306165456,298173204,252288980,242760630,240276837,272711975,413979634,606563484,526785904,212561684,0.915
4,e,74126305248,66467740853,65950007653,72933583837,74419946243,66665866409,54640621589,42574879322,31849437853,26967449368,28889694599,29951617985,30554054349,38312338216,51073619153,67822036719,84703593768,96400595845,103378653267,105615383517,105860688894,106424838847,109648966986,102069961611,0.95
5,f,55946151,18891493,6559285,3393571,2129629,1694352,2808854,4721880,9981799,27541090,73968637,145553009,116132919,149324059,194247746,231054001,233182691,218881984,219839166,210108269,228423618,297236511,255291519,156687918,0.985
6,g,3,3,4,17,8,4,3,6,4,9,14,15,22,17,23,25,24,14,19,19,31,31,20,7,1.0
7,h,52457,16312,8906,7197,8228,12169,30684,71560,150640,243891,409720,545350,578210,837381,1047703,1105076,1201743,1128625,902589,830898,900624,779070,405155,157197,0.955
8,i,23196661,7553266,2763107,1416817,1001850,844532,831030,1525305,3760654,10313964,22726055,38542388,42528937,47325411,68128040,78269710,71873106,65936749,57673703,43674551,49012576,84488620,94354438,80598779,0.97
9,j,18344207,50260222,91488148,112188207,107552895,125314314,150139072,147952552,156077846,175805590,184995682,196349241,274048079,621028427,464719925,319579452,188942577,96356119,37732785,13634464,5334066,3809892,3950482,9052416,0.955
10,k,10139,22396,33939,54623,48163,67710,77304,84510,93311,90351,72282,82620,100594,140892,191875,127518,84412,41558,18189,9616,6301,5494,4306,7005,0.96
11,l,42,21,15,20,11,19,7,36,65,131,277,365,477,608,681,519,455,450,550,606,623,708,420,155,0.91
12,m,291,1049,1787,1600,1286,1410,1176,1979,1942,2082,1938,2536,2431,3512,4231,5384,7287,4341,3137,1889,1695,1045,939,1381,1.0
13,n,511516,101275,27184,12783,5963,4748,6338,18380,57363,246258,566113,912299,1029906,1317136,1502694,1665482,1501037,1251271,1284420,1697845,2688971,3118199,2474880,1569737,0.9
14,o,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.915
15,p,18897405,11603582,7035747,4035482,1682970,737426,358015,466954,1005200,1975856,4112048,8132042,15778905,23173623,28274870,32764622,41507240,53501527,57834259,63014942,63334834,67789130,60914390,42992218,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,19527250,6694590,3065920,2034536,2022490,2882502,6035944,13680625,33769109,64225283,101319407,123125660,145589420,166413336,174985953,192512628,222632699,241380381,274207994,305599965,301700861,233481913,139395401,60674602,0.905
18,s,239534,75273,28587,16501,13723,9870,11236,28187,66350,173265,337295,486937,543256,677413,806244,863546,919571,878844,874698,1032718,1742539,2221511,1557718,951386,0.9
19,t,201007,90044,62038,56474,61680,95573,191595,442790,704464,978237,994430,1114790,1306351,1590503,2199050,2496659,2589235,3271069,4575045,4286866,3093308,2240998,1181531,449011,0.96
20,u,722,214,172,176,61,55,83,286,866,2100,3971,5969,5965,7172,7554,9514,12571,13633,14493,16575,15465,17828,9987,3868,0.975
21,v,246,1218,4587,10110,13972,11736,12258,12451,14233,13795,12174,8624,9988,22988,41533,44510,28417,10179,2441,706,219,160,115,199,0.95
22,w,1350,1446,1703,1414,1549,1428,1613,2094,1608,2636,5622,3633,2876,2730,2730,2713,2261,1890,1779,2091,2204,2283,1865,3132,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,167161,432711,1284534,3142301,5386242,5944862,7386971,8354506,8499262,8760811,8131971,7005771,9289660,13615299,18874761,20930116,16614324,8757419,3297719,1223408,446454,229116,141927,165923,0.975
