,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,234778,179448,141311,126949,108931,107315,117756,139248,165440,192540,212217,238577,259150,266724,266071,263429,251425,250361,258836,270454,290642,299427,303734,279117,0.93
1,b,205,106,146,210,280,607,1272,1965,2763,3518,3825,6288,6057,5548,6498,8064,7176,6210,6422,6459,6371,3689,1279,774,0.91
2,c,110314,61008,31737,36950,55814,94998,141932,215006,297523,363076,404641,532022,649384,659534,741249,814203,866349,814073,687927,635590,766505,725307,474407,246006,0.945
3,d,10042433,2780988,891687,424236,289147,556474,2296857,9884476,30348194,61600591,86524480,99169993,106743329,97303545,100227705,115099498,119034274,124479457,142884456,250493020,337243835,300375780,110429805,28306633,0.915
4,e,29156585708,26751159522,30085929594,34252854930,34631507752,29241827828,24604536242,19680953010,17058914810,16551581742,15900384921,16670950283,19930995407,24791131893,34672737106,46562648791,53409175851,59486491308,62355535093,60990444566,62317871752,61670656652,57313390597,46196613130,0.95
5,f,11019384,3673199,2052065,1364665,802730,1119663,2425489,6915081,17458230,31116222,40469563,45989737,57858532,67115844,66263142,68607203,69222803,73855084,82400868,108368937,179443853,209494089,90576442,30900983,0.985
6,g,3,2,2,2,3,4,5,5,6,7,8,23,18,14,16,14,14,14,7,5,4,5,4,3,1.0
7,h,17478,7276,6290,9719,18476,43337,95969,187352,275148,354224,394618,439638,526420,487382,522018,580619,618375,693967,589566,419593,457302,328581,160568,39358,0.955
8,i,4447351,2200831,1210400,975051,931534,1094626,1775530,4273015,9034482,14023041,18193307,21469795,33451821,47320476,47574555,45166742,31691446,24086825,18861953,17360534,33132092,34650235,25759667,11149206,0.97
9,j,37815048,72123906,91561190,115071894,130572347,133313432,138862867,156113958,178133452,168117117,156470544,203815712,288793206,402363311,407228273,275336561,116494106,38272575,11433748,3793290,1650073,1779959,5396005,15926652,0.955
10,k,7175,13736,23618,31960,29648,39527,49857,51638,58601,50018,51561,64584,77008,73625,84164,71318,43881,21774,10249,4630,2262,1564,1897,4262,0.96
11,l,26,19,19,16,18,32,44,87,153,160,168,339,330,227,208,237,206,242,270,269,286,211,93,43,0.91
12,m,229,265,536,947,1335,1963,2312,2706,3190,3183,3065,3968,3801,4844,7507,8516,6416,3449,1612,675,437,257,232,203,1.0
13,n,56535,12799,5713,2441,2010,2728,9831,63525,213580,450144,627281,715740,734930,633938,652883,737992,742313,817228,1080396,1565570,2228702,2098966,978807,215889,0.9
14,o,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.915
15,p,8232880,6349713,5303542,4518229,2872741,1166060,866883,824557,1183159,1738718,2366387,3578854,5394089,7325423,10264706,13536574,15088277,20631880,23878986,24353087,27376938,30418403,25876831,15712886,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,4575263,1972253,1282534,1313335,2077312,4259609,10118161,20727246,42288274,55792057,62808333,68797905,78633019,81956667,87195463,89709833,95036212,102224804,108907384,134081327,130556770,88027079,37224786,11965663,0.905
18,s,38900,13131,6553,5037,4291,7870,23281,82270,230782,312018,348807,413584,439430,441202,506394,541693,516323,540213,517894,659195,792876,729891,389557,122788,0.9
19,t,10463,16119,29001,58736,82587,102540,129602,161719,183012,196605,201618,230178,203488,267644,375908,348568,216202,112859,56380,31117,24530,21104,18834,14520,0.96
20,u,100,39,34,38,52,154,458,1364,2287,2989,4107,4714,4389,4192,4124,4070,4448,4680,5245,5428,6797,4053,1340,339,0.975
21,v,360,1399,4519,9653,12123,10930,11611,12696,12175,12510,41809,14087,8034,11513,23786,32173,21813,8671,2462,564,173,78,128,539,0.95
22,w,1392,1657,1879,2201,1680,1907,1943,2397,2309,4067,2674,3135,2951,2586,3188,2187,2225,2546,1962,1833,1935,1881,48743,23069,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,329957,766387,1948920,4231067,5839042,5971183,7829422,8268053,8404629,8209940,8073828,8085095,9257445,14148595,18024837,20117554,17167114,8369034,3450683,1292750,546035,292106,208194,224389,0.975
