,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,265844,222056,181506,154772,149888,151546,161056,176516,209941,233595,256740,299720,315156,334634,343768,348532,371334,386092,410552,440862,458587,462985,419144,355853,0.93
1,b,2860,1082,434,210,131,163,158,217,536,1028,1855,2863,3123,4181,4883,5876,8645,10286,10500,10591,13102,11150,6159,2889,0.91
2,c,551002,535474,268687,212923,98496,69199,66423,71768,123494,175888,335797,612163,795524,970538,841925,901663,1229207,1824464,2765353,2236164,1729602,1943219,1294688,776822,0.945
3,d,27805692,73698773,19997430,5623053,1290462,541902,427687,604461,2932230,11443991,36757431,80777482,143908225,189179234,176977338,197505146,221626297,272693900,323264979,378140724,543491692,635280614,564751065,254448392,0.915
4,e,38212374380,39012783114,38176757819,34243039568,34852421593,34538605393,34294329567,26357194768,20639515559,16377496935,16813276494,17070619105,17669936950,20587502278,27873489560,38873349679,51864897739,63555922043,76329484721,77474436604,81013262332,84804131096,83442819780,84542426245,0.95
5,f,33520901,27094567,9529555,4003393,1889800,1153732,1407883,1823207,4257143,8678720,20868286,38599568,56822078,69045341,87941530,114358020,117281556,139421108,173399062,164121369,208625202,274644002,272809006,162038974,0.985
6,g,15,12,5,3,6,8,7,3,8,5,7,18,10,18,13,15,24,16,23,22,14,7,7,3,1.0
7,h,83648,50117,18375,9303,4888,6553,16220,37354,90593,179302,311602,1102406,855481,611638,732375,776332,994386,1042824,948885,884911,830007,652487,402112,178809,0.955
8,i,5954222,5781716,2615407,1291699,727660,525946,406751,524193,1046952,2580330,5601970,9914565,13178796,19698735,37768026,51733934,46252145,46334592,53266223,42637511,49338487,84917848,83063913,61055599,0.97
9,j,11792987,35708019,60155697,82938227,95039135,148997401,123715167,124241453,129139906,140739451,128664466,171017299,269270368,328524534,336836841,271307424,137020058,62276075,22314309,8662430,2986001,1964070,2345946,6728799,0.955
10,k,7445,16578,25549,37125,35253,42110,52538,53580,60499,51322,60746,67477,105133,102571,108115,98374,69514,36322,18310,7967,5160,3529,3385,5825,0.96
11,l,222,74,41,14,7,6,3,6,21,53,93,177,224,264,277,339,525,543,524,479,618,473,218,99,0.91
12,m,453,546,485,640,675,935,759,1590,2038,1464,1373,1557,1371,1617,2849,3822,3631,2720,1926,995,609,463,302,303,1.0
13,n,330859,856011,163082,31419,7213,3646,2285,2705,12600,60724,169179,592296,1058763,1288144,1044738,1082975,1354437,1597913,1446725,1659781,3247562,3085716,2802084,2016239,0.9
14,o,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,2,3,3,2,0,0,0,0,0,0.915
15,p,9194702,7765643,3549034,1298150,889552,515680,243374,161417,156076,323475,862162,2501747,5474373,10515098,12680232,15770684,24483104,30038249,30877061,34553456,43518733,43005999,38110220,25231259,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,25582034,11580622,3771951,1715874,1273175,1404261,2551148,6014508,14184546,31355482,56541068,83143262,103769839,123484881,139057728,154516404,180426309,205497312,240756889,247199568,241943295,200045003,108055599,56476739,0.905
18,s,271270,234214,72672,20260,10441,6735,4522,6066,17721,67384,222406,485776,668340,580881,634993,767666,1051154,1258129,1270879,1264560,1943219,1468025,1380482,621750,0.9
19,t,328870,86437,39419,26241,26328,32377,48171,99703,240160,526449,1056805,1551044,2001171,2465246,2725126,2717910,2685461,3063699,3708080,4038039,3418194,2452972,1212643,488198,0.96
20,u,1377,1079,301,283,88,74,111,196,476,937,1927,2415,3434,4563,5163,4652,5631,6995,8279,9714,9729,11774,7702,3173,0.975
21,v,227,800,2479,5396,7279,7083,6812,8201,11881,7812,6845,6148,6746,13810,21141,24406,18139,7610,2410,744,256,136,68,90,0.95
22,w,1573,1661,1773,1517,1655,1443,1543,1996,1927,1845,4050,3085,2547,2301,2310,2239,3005,2806,2750,2422,2291,2085,1813,1668,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,102302,238227,560441,1375627,2277836,2745509,3960333,4777027,5187130,5429213,4685998,4282354,5615068,10794359,13240216,17103330,18100444,10833739,4652744,1765542,637979,289500,149715,116021,0.975
