,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,234391,172260,125243,117983,136050,221344,160319,183561,209600,240906,244143,281157,320308,346269,362067,365057,378826,417504,455272,476750,487931,455940,397582,311099,0.93
1,b,366,202,133,175,178,4621,6688,7032,4915,8432,10369,9144,9474,17683,19078,20905,18645,16007,17606,21374,23154,13243,6885,4926,0.91
2,c,379814,193378,217123,204839,173844,186816,249654,603546,824657,1258149,1808401,1838396,2074828,2142738,2214812,2710929,2763504,2618789,2798441,3053976,2934711,2654330,1863854,925723,0.945
3,d,32888189,5590219,1765401,743918,640355,1175531,4838497,23869313,90257829,163741958,238381560,474956933,290694881,292662884,583490966,333650057,292954920,251169169,207433028,291436134,536161610,476611566,281587765,90761095,0.915
4,e,83579360343,77141648718,84811547603,89338620737,85192791721,64613261269,46830795857,35669090141,28189088973,26035861281,27227361990,28608245031,31562415328,41142159196,60376550756,85850512814,104982986843,110255123480,110769281040,108877218790,109783542977,110719698818,107194686965,89859038924,0.95
5,f,34617893,7491602,2792349,1772689,1175121,1187777,2587664,7836168,22836307,55048928,78877677,113458272,84495883,123122404,150121975,157585015,174546405,181899102,186035727,175578299,213825475,299966789,238883400,88146560,0.985
6,g,3,3,1,1,1,1,3,2,228,79,5,12,8,35,29,37,41,33,25,23,20,13,49,22,1.0
7,h,29764,8970,4770,5350,8062,16664,54443,128105,277732,342297,518409,517345,538179,687367,743248,920907,966030,992133,1059137,1017370,926723,556937,288350,92242,0.955
8,i,16040144,9475207,4381187,3822895,3238817,2375418,2564553,6564481,12872761,25471914,31443312,40594184,46038173,59643107,78055467,87143208,81369357,66813516,53679083,38275265,41576579,66077729,60216052,43688260,0.97
9,j,28087219,54296955,86627140,119008380,184052319,139346590,164549829,177736338,195804484,172865796,149746408,181868127,331928801,457924126,377059204,252770517,92925442,30328909,9769375,3132562,1424621,1434763,4264982,14909765,0.955
10,k,9659,22732,44631,69707,67351,102141,125964,111869,103392,101529,108350,98728,110789,145720,162799,190867,104388,56273,25110,9866,4097,2488,3941,5403,0.96
11,l,34,26,10,7,8,12,65,390,770,1122,1079,2620,4423,2345,2669,2071,1810,2135,3092,3561,2502,1400,557,161,0.91
12,m,238,467,690,1009,1697,1264,1490,1928,2495,2632,2177,3278,4375,26630,28907,21185,6259,3610,2067,1223,667,542,571,574,1.0
13,n,132730,36172,8832,3695,2329,2327,8159,49409,233708,1087588,1899941,1998149,1867031,2316612,2582988,3236360,2214216,1549986,1368673,1892295,2470549,3071218,2012294,546340,0.9
14,o,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,277,0,0,0,0,0,0,0,0.915
15,p,28772188,19264770,13564943,6564788,2931602,1024958,674332,1037673,2740301,4755661,8068780,11706122,19322571,27902337,34649769,38684591,37234860,55066828,72028193,88302324,95065078,89596321,68277254,50838500,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.92
17,r,7402453,3097798,2174694,2873982,6258888,14883689,37289271,72597023,105445054,131878249,143754830,162427502,179319694,199649505,211788101,221136745,214900339,245060811,261423822,334413585,291060342,174389466,59999207,16557160,0.905
18,s,161235,29108,10990,6863,4620,6489,25580,66054,237846,621635,888668,881366,1074477,1291086,1273145,1175404,1069662,948403,1501831,1446287,1418964,1432543,916274,345859,0.9
19,t,142671,121999,72542,121753,163758,230300,421488,1042319,1462434,1833950,1415965,1806241,2141660,2560035,2840616,2964661,2555622,2846884,3387869,2842041,2317027,1301567,632806,256200,0.96
20,u,471,243,2113,602,54,162,1166,8178,26037,36994,34567,36388,32549,29142,35654,35307,42472,51367,73535,87674,63728,35889,10721,2389,0.975
21,v,517,1862,9732,21315,31181,17992,17215,18961,25567,25079,18552,11567,16286,48802,107426,110338,56110,15660,3502,689,236,406,148,423,0.95
22,w,812,1110,907,932,1277,1254,1174,1324,2823,1790,4905,3486,1940,2863,4803,3417,3051,2719,2506,3150,3419,4045,2057,1878,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,55,0,0.905
25,z,348194,1066839,3268228,5450648,6825366,4684034,6057868,7220218,6881354,7397256,6196267,4750181,6196503,10719554,15006581,15807232,11821824,5640490,1829183,655931,304985,195548,158473,170152,0.975
