,job_type,hour00,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,slo
0,a,229543,190388,154009,128835,119807,116642,128419,154554,186459,210689,224974,260259,277416,277138,274268,273293,258319,257782,269939,282849,302113,316242,311295,279639,0.93
1,b,162,128,184,285,481,850,2044,4572,8032,9360,8313,11269,9803,10460,11406,10032,10368,10309,18712,20549,12254,6322,2601,738,0.91
2,c,281193,202416,176240,294760,176555,152300,261918,453299,818931,870613,901549,987681,942083,1070351,1488377,1348722,1172729,1109470,1163681,1336860,1298557,1111765,649555,282048,0.945
3,d,2908358,1087523,508627,344513,513089,2579587,14663085,57020417,107441043,159426349,170630297,162734536,172640230,197987786,183206661,156846806,117576052,103915770,110837762,178140950,277432790,188394316,70811742,14175552,0.915
4,e,42719829310,45580985712,51374751946,50018080705,39661328821,28561631345,20120012893,17941396326,16497312731,16465879090,17473453028,19437963065,26045633416,67305514780,51554231747,64064238898,69714776181,71750711540,64870716231,63972837519,63710628607,64536876211,56436938590,42553759084,0.95
5,f,5563791,2396421,1392764,881060,799107,1694527,5637072,16236154,32715785,45412388,60003509,52650788,71127360,75737259,75588495,80405795,93364529,100708472,92646773,113682302,142058437,114814749,51701666,14438532,0.985
6,g,3,2,3,3,4,6,11,7,24,30,30,53,38,37,36,41,58,64,42,29,23,29,28,14,1.0
7,h,6720,5185,7981,12008,24896,60758,136459,257952,347669,410141,442908,494677,608767,716667,889203,1055404,1136861,1333658,919944,746311,621897,273885,84166,22498,0.955
8,i,5237948,3482912,2720559,1876170,1708254,2299316,3764729,10667312,21169395,29169443,39460000,41763620,47163998,68916831,73339464,65553797,44207378,29067985,18611150,24168933,59318435,62567745,42763753,17938799,0.97
9,j,33919081,56129329,76162497,98981983,158611701,121123841,128819013,139005230,161706778,142883736,118993736,138290401,198355428,285055805,328142114,193752701,74081997,22880819,7403119,2860686,1581639,1848366,5796422,18438024,0.955
10,k,14196,34816,55807,73035,68431,100312,120947,121290,120383,111277,95505,116357,137485,168022,217386,245301,205415,119882,40015,12599,5371,3608,4764,8128,0.96
11,l,28,18,17,14,30,54,353,728,1128,1211,1275,1547,1678,1442,1419,1401,1537,1929,2117,2131,1304,563,259,107,0.91
12,m,313,923,1365,1509,2129,2353,2198,2690,4909,5541,7393,7760,5689,7801,11263,12774,9728,6603,4515,1735,1151,1083,1083,627,1.0
13,n,13604,4284,2665,1388,2602,5656,40354,211353,807034,928350,1187748,1017548,1274186,1227275,1028547,867952,736059,703464,900861,1254942,2060264,1415290,424073,76709,0.9
14,o,0,0,0,0,0,0,0,0,1,1,1,3,2,1,1,2,4,2,2,1,1,1,2,1,0.915
15,p,7735136,6423208,4847662,5677679,2745096,1164525,1088563,1844986,2699450,3829397,4815021,6772037,8839405,13486463,20143454,25023933,26999324,30715722,39660941,47557972,45843062,34176454,29620444,15483052,0.94
16,q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
17,r,2208305,1384772,1339385,2129005,4575214,11341306,26020453,50499297,66305094,80342243,88173666,101663724,117817062,138676179,153034668,144286276,136525689,148035263,169251266,165131596,118670607,57900796,20146182,6150187,0.905
18,s,19157,9376,7274,5640,7213,21029,73642,278640,713006,881173,756257,817381,991357,905705,766549,710377,701565,734173,766784,944504,1101236,685326,245572,67151,0.9
19,t,24239,40270,83428,217624,254844,235246,153054,284231,339378,273474,232055,318945,398159,509891,641855,581382,345298,154939,77629,49741,39854,32245,28121,20860,0.96
20,u,74,38,34,43,216,828,4178,10418,15157,16173,15487,15671,18735,27855,45712,57453,65054,77470,94548,75031,32004,9603,2017,396,0.975
21,v,634,3065,12702,20720,24741,16368,14958,16354,25779,30557,22341,15183,19261,54831,105714,99289,45463,11340,2391,489,185,113,128,376,0.95
22,w,4237,5923,6229,5796,9571,6779,4387,7874,5792,11661,9605,8510,8034,7894,8867,6739,6532,16178,11173,4314,3996,3430,2910,2013,0.985
23,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955
24,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905
25,z,349847,1066949,2822182,4140980,5062807,3703374,4697307,5960478,6302605,6418208,5796083,4165594,5314434,7972089,10898764,12331827,9763203,4929171,1791825,705020,335979,202727,169743,192977,0.975
